lat,lon,value
-56.0,-68.0,1.2554069757461548
-56.0,-67.0,1.2409628629684448
-55.0,-72.0,1.0865546464920044
-55.0,-71.0,1.09694504737854
-55.0,-70.0,1.2247577905654907
-55.0,-69.0,1.4392242431640625
-55.0,-68.0,1.4132834672927856
-55.0,-67.0,1.3079655170440674
-54.0,-74.0,1.1987833976745605
-54.0,-73.0,1.1730363368988037
-54.0,-72.0,1.1259368658065796
-54.0,-71.0,1.144197940826416
-54.0,-70.0,1.3740181922912598
-54.0,-69.0,1.557502269744873
-53.0,-74.0,1.2037039995193481
-53.0,-73.0,1.3351316452026367
-53.0,-72.0,1.4236632585525513
-53.0,-71.0,1.490958571434021
-53.0,-70.0,1.501613736152649
-53.0,-69.0,1.4108530282974243
-52.0,-75.0,1.1963471174240112
-52.0,-74.0,1.341342568397522
-52.0,-73.0,1.5554660558700562
-52.0,-72.0,1.6039814949035645
-52.0,-71.0,1.6065764427185059
-52.0,-70.0,1.58628511428833
-52.0,-69.0,1.2980321645736694
-52.0,-68.0,1.2509708404541016
-51.0,-75.0,1.2093682289123535
-51.0,-74.0,1.402458667755127
-51.0,-73.0,1.651743769645691
-51.0,-72.0,1.8109731674194336
-50.0,-75.0,1.3695789575576782
-50.0,-74.0,1.603804111480713
-50.0,-73.0,1.9105771780014038
-49.0,-76.0,1.1774110794067383
-49.0,-75.0,1.4315176010131836
-49.0,-74.0,1.7203763723373413
-49.0,-73.0,2.034313678741455
-48.0,-76.0,1.1251877546310425
-48.0,-75.0,1.2511595487594604
-48.0,-74.0,1.6167038679122925
-48.0,-73.0,1.9416967630386353
-48.0,-72.0,2.1489944458007812
-47.0,-76.0,1.063424825668335
-47.0,-75.0,1.2037783861160278
-47.0,-74.0,1.515405297279358
-47.0,-73.0,1.8381887674331665
-47.0,-72.0,2.0597126483917236
-46.0,-75.0,1.1060768365859985
-46.0,-74.0,1.3599443435668945
-46.0,-73.0,1.7419477701187134
-46.0,-72.0,1.9838738441467285
-45.0,-75.0,0.9321470856666565
-45.0,-74.0,1.121830940246582
-45.0,-73.0,1.55937659740448
