quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,country
1980-01-01,,26.08695208994683,,,,COL
1980-04-01,,27.20588262405114,,,,COL
1980-07-01,,26.6666700180118,,,,COL
1980-10-01,,26.24583969639327,,,,COL
1981-01-01,,27.58620767090045,,15.556052474657145,,COL
1981-04-01,,26.8786030230964,,14.702927669345577,,COL
1981-07-01,,28.53184364282039,,15.128383067314367,,COL
1981-10-01,,26.84209877433647,,15.609137055837552,,COL
1982-01-01,,25.30711086327713,,16.577436625169305,-1.4359415054059577,COL
1982-04-01,,24.82916927805357,,17.591492023772304,9.502062430525626,COL
1982-07-01,,24.13794061704909,,17.787823990355655,17.3676200829469,COL
1982-10-01,,24.68881129585934,,18.389277254607418,-4.676734448067609,COL
1983-01-01,,21.96079345744821,,19.75875615559124,-6.552309524412802,COL
1983-04-01,,21.53285301282685,,21.843911262435476,-6.740512616729577,COL
1983-07-01,,18.40278321880441,,24.159459597768794,-6.451567165611749,COL
1983-10-01,,16.97170143486925,,26.000390396252193,19.80594038294614,COL
1984-01-01,,17.04182908348887,,26.972833117723162,18.690373398270708,COL
1984-04-01,,15.0149960224293,,27.616469458149595,15.253555305292243,COL
1984-07-01,,15.98239837756179,,28.344736625175205,19.103328993749248,COL
1984-10-01,,16.64296156022878,,28.31913245546087,1.189558308119909,COL
1985-01-01,,21.15381133548866,,29.74674332290228,0.13443406723452345,COL
1985-04-01,,26.50132384484343,,39.01053784042694,2.7516519208840906,COL
1985-07-01,,25.03160634111956,,44.78306946273158,2.5167767228306825,COL
1985-10-01,,23.53658862586415,,49.10962211759029,2.567933479009654,COL
1986-01-01,,23.24265197017388,,48.64682951454131,25.03200736460829,COL
1986-04-01,,17.33744326493534,,39.13610632537539,50.01941988373766,COL
1986-07-01,,15.67240567575199,,32.68787152870196,44.07500009093117,COL
1986-10-01,,19.54590339726694,,29.056939861951705,55.79508678520957,COL
1987-01-01,,20.42316972260979,,27.326755089334554,13.98946823323637,COL
1987-04-01,,22.33949978225982,,25.94859457642704,-7.367659550831496,COL
1987-07-01,,25.69929281731423,,24.996238779024125,-1.7451145729206474,COL
1987-10-01,,24.52518594340279,,21.81530160920979,-8.314459925073736,COL
1988-01-01,,25.43926922447586,,20.56396046646021,-8.159310562884448,COL
1988-04-01,,29.1157398113759,,22.158707865168537,1.3877764673382753,COL
1988-07-01,,29.55494738314555,,23.787680209698546,3.4938340002814483,COL
1988-10-01,,28.11670918688478,,26.31490851970595,3.24250390311267,COL
1989-01-01,,27.16199404618039,,27.88914152276776,23.430878303192436,COL
1989-04-01,,24.44321135094125,,27.583154167193634,13.786559272134813,COL
1989-07-01,,25.33546364452862,,27.585052019749146,7.564978990828375,COL
1989-10-01,,26.60455729124183,,28.39406758065337,13.091575255828403,COL
1990-01-01,,27.15517575586078,,30.236312790105412,9.13333159741423,COL
1990-04-01,,28.41164016524191,,31.382020041813853,4.889866441341195,COL
1990-07-01,,29.33619415215384,,31.999085474283184,17.00145235767694,COL
1990-10-01,,31.35731631743383,,31.40337088463887,38.67268615362629,COL
1991-01-01,,31.60075383224318,,29.273170011806403,11.982129979899913,COL
1991-04-01,,31.25434926768567,,26.319002414398597,21.974152113181745,COL
1991-07-01,,30.96026340047747,,24.48310591918299,5.9754021235685295,COL
1991-10-01,,28.07345590788769,,20.338696327265502,-5.896491809805681,COL
1992-01-01,,27.27530310585087,,9.65403473922748,8.05208435051268,COL
1992-04-01,,27.50200975445457,,7.771919440930053,-5.259414142958052,COL
1992-07-01,,27.63589639930415,,7.979984333773071,-0.05963583895709501,COL
1992-10-01,,25.73510738843553,,8.619798073109376,-11.436221170443329,COL
1993-01-01,,24.55590962293274,,17.591512930495966,3.5023255287839783,COL
1993-04-01,,22.21525874504684,,17.683750176343736,5.598887385833939,COL
1993-07-01,,21.01823315264705,,14.986660812378005,1.996249072726508,COL
1993-10-01,,22.22651115382197,,12.414605962560653,11.019784255534448,COL
1994-01-01,,23.00053774746665,,8.61450743255805,4.782864107980589,COL
1994-04-01,,23.62861680496163,,7.1283618895938705,18.786820597892874,COL
1994-07-01,,22.44231148526361,,2.265756324319823,29.99581320313114,COL
1994-10-01,,22.37508787295454,,2.739619010809635,32.21429410945136,COL
1995-01-01,,21.07734498167015,,4.474278401356369,13.740400408046227,COL
1995-04-01,,21.37246234695508,,4.913997058635466,14.957457535367947,COL
1995-07-01,,21.13634552737148,,13.334334439962014,6.088795230727473,COL
1995-10-01,,20.04134262450134,,19.008532368572695,3.0380518069144546,COL
1996-01-01,,20.42673586144371,17.24322025969981,20.381452468634897,7.763566260375221,COL
1996-04-01,,19.80019948495665,12.98492407938879,21.481410940118817,3.740102529136591,COL
1996-07-01,,21.09040162089119,15.32882442086432,12.794674287105789,1.9147555187488008,COL
1996-10-01,,21.78688084685068,18.14976534969262,1.3807760728253626,9.926442649721334,COL
1997-01-01,,19.70002720024138,14.06037248177893,2.516357131514968,5.02604498257424,COL
1997-04-01,,18.61256748876292,14.816847464177,0.9115338666030981,13.513476790107326,COL
1997-07-01,,17.94567648977548,16.69153682945739,9.772428550565394,17.932833314026396,COL
1997-10-01,,17.76559337002077,17.27543964610833,27.84310473505265,7.00731332036546,COL
1998-01-01,,18.38363124516925,20.15719870829402,27.277727551478435,5.6748067184066775,COL
1998-04-01,,20.70950023534927,29.98095116394921,28.442607668883312,-5.172780336334037,COL
1998-07-01,,19.00162478206711,24.64376958448428,23.85852573613414,-12.164153821991553,COL
1998-10-01,,16.71420290254016,15.76592950287927,21.28874070806792,-10.423137075336008,COL
1999-01-01,,15.315763954704,15.34320613937429,16.41300622395301,-7.959753687109861,COL
1999-04-01,,10.027810009631,2.176134515517436,18.78414143808933,-4.525285079985908,COL
1999-07-01,,9.129861783529083,1.927308040575816,32.426702035250266,18.196582324660216,COL
1999-10-01,,9.401325609104807,6.578239614393326,24.326099280159987,22.784117944308015,COL
2000-01-01,,8.969392397678634,7.832014432777381,24.390311548611866,23.960370690528876,COL
2000-04-01,,9.877872736632725,12.01148484773457,25.512068252684863,22.862137590882515,COL
2000-07-01,,9.199092026554464,9.533396063156992,15.715897869939322,9.748888674048196,COL
2000-10-01,,8.857939455225358,8.853018228633896,11.831770137014107,-2.8125633821778573,COL
2001-01-01,,8.1123828312836,7.902282526147104,16.00456910775476,1.314084145379768,COL
2001-04-01,,7.922254706692211,8.67477977091144,13.193393080551651,-2.506371077901959,COL
2001-07-01,,8.026383790628431,11.27009971251974,5.469426192537008,-7.9978732145161935,COL
2001-10-01,,7.807765713031597,11.52991587618174,6.747801737070058,-17.536698890314106,COL
2002-01-01,,6.651319306598383,9.063425246651628,1.1885682181087098,-13.947449611428498,COL
2002-04-01,,5.915178952682603,8.430028068344285,-0.5460391731857528,-15.414782050505426,COL
2002-07-01,,6.032783354808792,9.4679036320777,14.213288910785504,-6.981411071032695,COL
2002-10-01,,6.811589471097197,12.05412793265172,20.631102245309172,16.290269711689163,COL
2003-01-01,,7.408322402755202,10.79368295572006,28.92873893737424,15.928192963389787,COL
2003-04-01,,7.591725090127051,10.13801211435772,24.142498846863504,14.302138362169092,COL
2003-07-01,,7.140483865614218,7.177877384908204,8.361869510712605,11.804899286608993,COL
2003-10-01,,6.400626717185794,4.401228001948217,1.894279286114564,1.6715589995765834,COL
2004-01-01,,6.226316501980628,6.147566799544717,-7.774253247157981,11.376340747090087,COL
2004-04-01,,5.640384958327129,5.248613410333836,-6.234187246226741,29.38967017329155,COL
2004-07-01,,6.020774848806963,7.19494037118058,-8.889599693679473,27.45622419209004,COL
2004-10-01,,5.737960167516869,6.854256291489532,-11.79286932967477,42.180764628190246,COL
2005-01-01,,5.238285271503768,5.584686464012414,-13.280117180395868,40.43697692264525,COL
2005-04-01,,4.964181895066712,6.116420903966874,-13.058736265709358,27.884660144290898,COL
2005-07-01,,4.933412870443677,6.608819470205071,-11.282959348801791,31.60338738770927,COL
2005-10-01,,5.07231811971098,7.145539307141067,-8.919526844326043,15.836989846266537,COL
2006-01-01,6.375577659852616,4.279297514859351,5.690198128798841,-3.7536346065556225,10.675516844455357,COL
2006-04-01,5.323016602090624,4.030834916466467,5.149948118044767,3.8954453911255182,14.731739857847392,COL
2006-07-01,7.6542479562028864,4.537832462616622,6.097941562185825,5.432916094389273,9.85630163359894,COL
2006-10-01,7.402100244352661,4.323673567646737,5.392043376108769,0.94544347223946,14.251831172328577,COL
2007-01-01,6.712856351507601,5.250992898435385,7.577920298329218,-1.8577027381166178,3.9019866000455705,COL
2007-04-01,6.861311781205903,6.170888621784284,10.52211769745344,-16.700893273306573,17.731414630853457,COL
2007-07-01,6.854471207574053,5.329668141757503,7.766944635115049,-16.082555850673998,24.303432660842805,COL
2007-10-01,6.542585508764254,5.42585837253556,7.800833679015583,-12.303257273166778,41.677653662665605,COL
2008-01-01,5.174391957047542,6.09026239427582,9.973144713854593,-14.031034731056359,48.51185419960422,COL
2008-04-01,4.785331642685309,6.433786826367768,10.38689223160715,-12.998928619037642,48.78380587335685,COL
2008-07-01,3.319599370691484,7.655226392464566,14.71447783568508,-7.064411870327447,36.90289541599907,COL
2008-10-01,0.2797503424004866,7.779426103590302,14.44187430236921,13.286799413999372,-2.818364131921325,COL
2009-01-01,0.1451201441962091,6.592786187920328,10.68644173710417,26.404351255330873,-11.416283188330157,COL
2009-04-01,0.6953693432989017,4.764181374214776,4.957827106478672,26.72753962038581,-23.057508062782752,COL
2009-07-01,0.5323472970036658,3.205280956999796,0.3287340600913876,6.305524623161429,-17.496745477004726,COL
2009-10-01,3.039149398552188,2.362463875672862,-1.083006178855521,-14.198266640469793,7.006204348150202,COL
2010-01-01,3.8803487825382676,2.006845247942975,-1.734747129752538,-19.37829327450705,21.171688350125063,COL
2010-04-01,4.624551331698057,2.102621318880787,-0.0459239385400966,-12.66884100696335,26.469029553932867,COL
2010-07-01,4.047449752506638,2.277096973031607,0.6887332270377202,-9.140806487322406,14.726938351877283,COL
2010-10-01,5.338523267986206,2.70022965820106,1.985721045857084,-5.046069191991142,18.759997141780826,COL
2011-01-01,6.79920283361326,3.250985044767378,4.106925335934725,-3.5367060604296396,35.48909332251109,COL
2011-04-01,6.782592474966931,3.029917407389797,2.842056434509343,-7.754049998119861,44.21444225700504,COL
2011-07-01,7.918279482557367,3.476766482231275,4.970774010458204,-2.1137696892991498,47.674436777448136,COL
2011-10-01,6.3253515697701435,3.8992870657647,6.367937760480278,2.941770171079261,42.026360334962476,COL
2012-01-01,6.135180170888499,3.501589579123905,4.269904281731838,-4.111203611170811,27.342477874948923,COL
2012-04-01,4.846055517715331,3.352961959617479,4.170782247063453,-0.6668568972162281,5.1739714897143685,COL
2012-07-01,2.247244720974617,3.073267582792063,3.160092633753712,0.20453506819693157,1.474368159264583,COL
2012-10-01,2.696230824250878,2.757270400403672,2.121993114298064,-5.96025800540374,-2.916205175983866,COL
2013-01-01,2.3818342273843385,1.910370443427033,0.4906641155782262,-0.5671952343752618,-10.518681612111603,COL
2013-04-01,5.373305909793724,2.059841255195002,0.5268886068856884,4.264340222012031,-0.7969114237083907,COL
2013-07-01,6.248532898247894,2.254919406016055,1.045623003249891,6.112403711565739,0.6264681420278695,COL
2013-10-01,6.350656018487855,1.842519361482523,-0.4082129711811498,5.958997638027741,3.5917575995283,COL
