quarter,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,country
1980-01-01,,,,,NGA
1980-04-01,,,,,NGA
1980-07-01,,,,,NGA
1980-10-01,,,,,NGA
1981-01-01,,,-0.48025248174242696,,NGA
1981-04-01,,,8.412542571919545,,NGA
1981-07-01,,,24.105150123038975,,NGA
1981-10-01,,,20.414565752882673,,NGA
1982-01-01,,,18.87175022642207,-30.990246862854377,NGA
1982-04-01,,,11.240222663065946,-51.28339784583162,NGA
1982-07-01,,,1.594945361759259,17.430897337956242,NGA
1982-10-01,,,6.25680194286895,-16.40926350120879,NGA
1983-01-01,,,5.075971064707985,-51.936098484303315,NGA
1983-04-01,,,5.935512037681345,-9.57978028148655,NGA
1983-07-01,,,9.639268430269098,-8.371359142761648,NGA
1983-10-01,,,9.488038116396446,-17.878325838959796,NGA
1984-01-01,,,8.748063747732871,65.1402956744362,NGA
1984-04-01,,,5.180428968195461,16.393661976606033,NGA
1984-07-01,,,2.7191594765900495,-21.354016477855975,NGA
1984-10-01,,,6.809524392739585,5.042667895237218,NGA
1985-01-01,,,13.221977981703326,1.440237417590251,NGA
1985-04-01,,,18.56540834976359,16.7298212983513,NGA
1985-07-01,,,17.598979117234204,-14.137015341224512,NGA
1985-10-01,,,16.960414775804345,34.41421791426764,NGA
1986-01-01,,,18.02092346417059,-49.70430631271103,NGA
1986-04-01,,,19.03764671504402,-64.63305240863947,NGA
1986-07-01,,,49.22248605053938,-48.05504558920052,NGA
1986-10-01,,,286.22126217238565,-74.42598228418196,NGA
1987-01-01,,,275.5499830378564,-10.583570501932515,NGA
1987-04-01,,,280.6422388061815,50.07739929685504,NGA
1987-07-01,,,199.3540932614279,64.31570454952092,NGA
1987-10-01,,,17.50252782990338,103.32644185263887,NGA
1988-01-01,,,13.161591879697077,13.315266390330693,NGA
1988-04-01,,,3.38283101103658,-6.540539029855896,NGA
1988-07-01,,,15.000473146370208,-8.15277495983694,NGA
1988-10-01,,,19.983505478537488,-19.291531646915484,NGA
1989-01-01,,,70.0481856854404,-3.375998991267981,NGA
1989-04-01,,,79.41282319916188,19.943277563458437,NGA
1989-07-01,,,56.26345583610388,32.522714098623595,NGA
1989-10-01,,,47.41844890905165,25.69879027699413,NGA
1990-01-01,,,9.296305143176497,45.7633839986763,NGA
1990-04-01,,,6.215765637258386,-1.1248537724470653,NGA
1990-07-01,,,9.893643447939592,-2.1845411462223296,NGA
1990-10-01,,,11.197111797932436,67.32398147481481,NGA
1991-01-01,,,19.294737108574033,-15.213918567841967,NGA
1991-04-01,,,19.23483361185696,-12.699521696048144,NGA
1991-07-01,,,36.536215564550844,-12.628588399209107,NGA
1991-10-01,,,18.249889180414304,-46.71318485544038,NGA
1992-01-01,,,32.270557029177716,27.540753302128262,NGA
1992-04-01,,,95.07414303463766,82.53788902447066,NGA
1992-07-01,,,72.51433301652514,60.990053857764124,NGA
1992-10-01,,,97.5289254523718,76.1773020084653,NGA
1993-01-01,,,78.69089158945974,4.370548000652197,NGA
1993-04-01,,,20.23632745191084,-2.289350601203377,NGA
1993-07-01,,,16.686452576018773,-10.287475720463313,NGA
1993-10-01,,,12.256558869540669,-15.526335828115345,NGA
1994-01-01,,,-1.2591744663658977,-10.959547454801143,NGA
1994-04-01,,,-0.97645962481262,-5.5758515578554935,NGA
1994-07-01,,,0.5021451971799484,0.06630570599244212,NGA
1994-10-01,,,0.5021451971799484,7.972563604540839,NGA
1995-01-01,,,-0.33309086500576957,12.67855935850124,NGA
1995-04-01,,,-0.49963629750863214,0.9953528942408862,NGA
1995-07-01,,,-0.49963629750863214,13.319123778746334,NGA
1995-10-01,,,-0.49963629750863214,6.6654467341279,NGA
1996-01-01,,,-0.16710203411374192,22.534028564936758,NGA
1996-04-01,,,0.0,33.6522625969329,NGA
1996-07-01,,,-0.0001523036691208901,26.30519829828668,NGA
1996-10-01,,,-0.0304607338295404,44.0725108756308,NGA
1997-01-01,,,0.0,19.209673236897018,NGA
1997-04-01,,,0.0,-4.034722781717848,NGA
1997-07-01,,,-0.0003046078022483911,5.159214665185563,NGA
1997-10-01,,,0.030012964991477098,-7.631314671245681,NGA
1998-01-01,,,-0.00045691100744038593,-21.41320751807989,NGA
1998-04-01,,,-0.00045691100744038593,-20.947876199951054,NGA
1998-07-01,,,0.0,-38.231601155091596,NGA
1998-10-01,,,0.0,-43.86303458461145,NGA
1999-01-01,,,292.6441560815133,-21.489084960021778,NGA
1999-04-01,,,324.88379176947217,8.658382286873124,NGA
1999-07-01,,,331.35276737031296,33.97320982251806,NGA
1999-10-01,,,338.7387675530782,61.18192122251287,NGA
2000-01-01,,,15.874063187178677,142.47188402627407,NGA
2000-04-01,,,8.023007475350452,106.74463052684486,NGA
2000-07-01,,,9.130223545429317,100.92312323470507,NGA
2000-10-01,,,8.035245954848701,80.65794119997867,NGA
2001-01-01,,,10.591311101142908,-14.196995049639028,NGA
2001-04-01,,,12.244153017069692,-33.968167399000635,NGA
2001-07-01,,,7.630485705781176,-40.815232632722086,NGA
2001-10-01,,,7.16098890152761,-42.86124109536764,NGA
2002-01-01,,,3.9274741573714023,-30.222950460712962,NGA
2002-04-01,,,3.3895048041389764,-5.024694518633255,NGA
2002-07-01,,,12.761047315577457,25.397612524969702,NGA
2002-10-01,,,13.5748125937031,33.482301030556,NGA
2003-01-01,,,11.81575115046305,129.2911320649501,NGA
2003-04-01,,,9.103698726105502,94.85887247269393,NGA
2003-07-01,,,2.130329990410851,58.37777366102242,NGA
2003-10-01,,,6.160434245403579,70.38740510573098,NGA
2004-01-01,,,5.056182702010581,23.2427141433317,NGA
2004-04-01,,,4.114773346752187,32.90128809892079,NGA
2004-07-01,,,3.6207067569471674,49.81659267694318,NGA
2004-10-01,,,-1.2419610749404009,56.6113292626093,NGA
2005-01-01,,,-1.521201688091811,42.24349896989887,NGA
2005-04-01,,,-0.05311489935855285,45.6350222157984,NGA
2005-07-01,,,-0.9655568514734703,59.82266806524568,NGA
2005-10-01,,,-2.3129494953564977,40.907811723264544,NGA
2006-01-01,,11.20090512364635,-2.1662504028359564,28.42305277207091,NGA
2006-04-01,,10.50422318914768,-2.936976282046444,32.126273251912174,NGA
2006-07-01,,4.328883945124206,-2.070509233352058,14.098036273844183,NGA
2006-10-01,,7.462686567164243,-0.7906126668161595,4.097521965691242,NGA
2007-01-01,,6.744186046511605,-0.9992279582068164,6.208629779999231,NGA
2007-04-01,,5.100291842312524,-0.7083917172660881,-1.3973328756957004,NGA
2007-07-01,,4.38471790315416,-1.365246753246685,3.2005634876892897,NGA
2007-10-01,,5.424357582337973,-5.782284467078924,47.42060790689073,NGA
2008-01-01,,8.124546114742243,-7.9509806673924155,51.52176215495841,NGA
