country,quarter,PRITHVI_MOISTURE_ANOM,PRITHVI_MOISTURE_STD
BRA,2008-10-01,0.0010531234,0.43185788
BRA,2009-01-01,0.0038155017,1.5646358
BRA,2009-04-01,0.00027325345,0.11205397
BRA,2009-07-01,-0.0033546162,-1.3756388
BRA,2009-10-01,0.00089762826,0.36809346
BRA,2010-01-01,0.0024661273,1.0112932
BRA,2010-04-01,-0.001086864,-0.44569403
BRA,2010-07-01,-0.004021913,-1.6492795
BRA,2010-10-01,0.0010581482,0.43391845
BRA,2011-01-01,0.0041324473,1.6946067
BRA,2011-04-01,-0.00080329133,-0.3294084
BRA,2011-07-01,-0.0038829895,-1.5923107
BRA,2011-10-01,0.0012053443,0.49427965
BRA,2012-01-01,0.0028857898,1.1833856
BRA,2012-04-01,-0.0014963825,-0.61362666
BRA,2012-07-01,-0.0040237154,-1.6500187
BRA,2012-10-01,8.332776e-05,0.034170497
BRA,2013-01-01,0.0032771921,1.3438894
BRA,2013-04-01,-0.00080413715,-0.32975525
BRA,2013-07-01,-0.0033906288,-1.3904067
BRA,2013-10-01,0.0011525409,0.47262636
BRA,2014-01-01,0.0026488828,1.0862364
BRA,2014-04-01,-0.00062512996,-0.25634918
BRA,2014-07-01,-0.0036161456,-1.4828851
BRA,2014-10-01,0.000682858,0.2800219
BRA,2015-01-01,0.002684369,1.1007884
BRA,2015-04-01,-0.00067800126,-0.27803028
BRA,2015-07-01,-0.0037488716,-1.5373125
BRA,2015-10-01,-0.00074150274,-0.30407053
BRA,2016-01-01,0.0030686723,1.2583809
BRA,2016-04-01,-0.0015831897,-0.649224
BRA,2016-07-01,-0.003503633,-1.4367467
BRA,2016-10-01,0.000810357,0.33230585
BRA,2017-01-01,0.0035097904,1.4392717
BRA,2017-04-01,-0.00099066,-0.40624332
BRA,2017-07-01,-0.0041040243,-1.6829512
BRA,2017-10-01,0.0005817803,0.23857261
BRA,2018-01-01,0.0030193257,1.2381451
BRA,2018-04-01,-0.0009920847,-0.40682757
BRA,2018-07-01,-0.0035242084,-1.4451841
BRA,2018-10-01,0.0012912438,0.5295047
BRA,2019-01-01,0.002566667,1.0525218
BRA,2019-04-01,-0.00065660104,-0.26925462
BRA,2019-07-01,-0.0038195688,-1.5663035
BRA,2019-10-01,0.00023557292,0.09660219
BRA,2020-01-01,0.0029738166,1.219483
BRA,2020-04-01,-0.0005206115,-0.21348892
BRA,2020-07-01,-0.0041920887,-1.7190641
BRA,2020-10-01,-9.516316e-05,-0.03902388
BRA,2021-01-01,0.0028696486,1.1767665
BRA,2021-04-01,-0.0014920342,-0.6118435
BRA,2021-07-01,-0.003987953,-1.6353534
BRA,2021-10-01,0.0017517707,0.7183546
BRA,2022-01-01,0.0031174642,1.2783892
BRA,2022-04-01,-0.0012632939,-0.5180432
BRA,2022-07-01,-0.0039961985,-1.6387347
BRA,2022-10-01,0.0007147325,0.2930928
BRA,2023-01-01,0.002899032,1.188816
BRA,2023-04-01,-0.0014249994,-0.58435434
BRA,2023-07-01,-0.0044056647,-1.8066459
BRA,2023-10-01,-0.0014967137,-0.6137625
BRA,2024-01-01,0.0023868817,0.9787967
BRA,2024-04-01,-0.0012878434,-0.5281103
BRA,2024-07-01,-0.004803789,-1.969906
BRA,2024-10-01,-0.0002114616,-0.08671478
CHL,1981-01-01,0.00047173133,0.7275222
CHL,1981-04-01,0.0003704444,0.5713136
CHL,1981-07-01,8.993782e-06,0.013870557
CHL,1981-10-01,-0.000111573994,-0.1720737
CHL,1982-01-01,0.00053338223,0.8226026
CHL,1982-04-01,-0.00017969776,-0.2771368
CHL,1982-07-01,-0.0004619658,-0.7124615
CHL,1982-10-01,0.000375384,0.5789316
CHL,1983-01-01,3.1606603e-05,0.04874492
CHL,1983-04-01,-0.0003370374,-0.5197921
CHL,1983-07-01,0.00026037637,0.40156245
CHL,1983-10-01,-7.938951e-05,-0.12243756
CHL,1984-01-01,0.000795302,1.2265453
CHL,1984-04-01,3.2704943e-07,0.00050438824
CHL,1984-07-01,-0.0011530416,-1.7782651
CHL,1984-10-01,0.00015493979,0.2389541
CHL,1985-01-01,0.0008887495,1.3706636
CHL,1985-04-01,0.00042862663,0.6610445
CHL,1985-07-01,-0.00011020666,-0.16996495
CHL,1985-10-01,-0.00058538653,-0.9028056
CHL,1986-01-01,0.0013995925,2.1585054
CHL,1986-04-01,0.001632609,2.5178726
CHL,1986-07-01,-0.0008035254,-1.2392278
CHL,1986-10-01,-8.318713e-05,-0.1282944
CHL,1987-01-01,0.0006653505,1.0261292
CHL,1987-04-01,6.233171e-05,0.09613036
CHL,1987-07-01,0.00027035177,0.41694692
CHL,1987-10-01,-0.00024862945,-0.38344592
CHL,1988-01-01,-0.00039401618,-0.6076669
CHL,1988-04-01,-0.00066376635,-1.023686
CHL,1988-07-01,-0.0014961549,-2.3074276
CHL,1988-10-01,0.00076470553,1.1793584
CHL,1989-01-01,0.00012550798,0.19356325
CHL,1989-04-01,0.00026303483,0.40566245
CHL,1989-07-01,-0.000841635,-1.2980019
CHL,1989-10-01,0.0009145296,1.4104228
