country,quarter,PRITHVI_HEAT_ANOM,PRITHVI_HEAT_STD
BRA,2014-01-01,0.66278964,0.8338299
BRA,2014-04-01,-0.36699423,-0.46170115
BRA,2014-07-01,0.2108504,0.2652627
BRA,2014-10-01,1.2451311,1.5664511
BRA,2015-01-01,0.81523323,1.0256132
BRA,2015-04-01,-0.23085022,-0.2904237
BRA,2015-07-01,0.85939026,1.0811654
BRA,2015-10-01,2.3365536,2.9395273
BRA,2016-01-01,1.4814543,1.86376
BRA,2016-04-01,0.04764493,0.059940234
BRA,2016-07-01,0.3515129,0.4422247
BRA,2016-10-01,1.3850111,1.7424285
BRA,2017-01-01,0.82092476,1.0327735
BRA,2017-04-01,-0.028461456,-0.03580625
BRA,2017-07-01,0.40884528,0.5143523
BRA,2017-10-01,1.3760605,1.7311682
BRA,2018-01-01,0.7101803,0.8934502
BRA,2018-04-01,-0.54519206,-0.68588495
BRA,2018-07-01,0.09179624,0.11548528
BRA,2018-10-01,1.1703491,1.4723707
BRA,2019-01-01,1.1045138,1.3895458
BRA,2019-04-01,0.22699611,0.28557497
BRA,2019-07-01,0.3997167,0.50286806
BRA,2019-10-01,1.4619356,1.8392043
BRA,2020-01-01,0.9513772,1.1968907
BRA,2020-04-01,-0.6540044,-0.8227775
BRA,2020-07-01,0.19382031,0.24383779
BRA,2020-10-01,1.3249931,1.6669223
BRA,2021-01-01,0.4743805,0.5967997
BRA,2021-04-01,-0.63961726,-0.8046776
BRA,2021-07-01,0.16170311,0.2034324
BRA,2021-10-01,0.9440613,1.1876868
BRA,2022-01-01,0.54438657,0.68487155
BRA,2022-04-01,-0.858057,-1.0794882
BRA,2022-07-01,-0.07821846,-0.0984036
BRA,2022-10-01,0.6000366,0.75488275
BRA,2023-01-01,0.3330555,0.41900417
BRA,2023-04-01,-0.5079625,-0.6390479
BRA,2023-07-01,0.8901965,1.1199216
BRA,2023-10-01,2.4991474,3.1440802
BRA,2024-01-01,1.4946684,1.8803841
BRA,2024-04-01,0.35246786,0.4434261
BRA,2024-07-01,0.642917,0.80882883
BRA,2024-10-01,1.7110506,2.1526062
CHL,1981-01-01,3.473409,1.2250077
CHL,1981-04-01,-1.502914,-0.53005016
