country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,CPIF_YoY,quarter
BRA,9.875797029415525,9.066543584,7.292618399526352,3.657898861976317,,1/1/97
BRA,8.770625712381385,7.766597549961229,7.2182397451214575,12.12906207750073,,4/1/97
BRA,9.088158289183523,5.723454342708467,7.332354380812522,22.091434740173476,,7/1/97
BRA,2.4125177567111855,5.304925809611993,7.408120069270718,11.996038959549216,,10/1/97
BRA,6.5119988463785194,4.6476678705221985,7.372793354,11.57495786198528,,1/1/98
BRA,5.875646211148444,3.734814038367973,7.428730615656054,-0.410202577,,4/1/98
BRA,4.457202382999359,2.625121001671138,8.135716891645384,-14.53638537,,7/1/98
BRA,2.8831679389404563,1.8203736347780497,8.267646005016127,-12.24810923,,10/1/98
BRA,5.277228416030355,2.303229438323573,51.32758924,-15.58678662,,1/1/99
BRA,7.088404134284443,3.267167650579706,52.88270377733597,-11.86691224,,4/1/99
BRA,7.019240964716733,5.501465123661897,62.06983805668016,-6.043450264,,7/1/99
BRA,12.630055804729778,8.361596152745188,47.94407214362537,12.840899802229425,,10/1/99
BRA,6.804952313945334,7.872625713380899,1.469904717638859,21.821661829567866,,1/1/00
BRA,4.763689809890503,6.582804049735702,1.7244303725900467,20.94909781,,4/1/00
BRA,7.224945322764609,7.561886412590546,-4.090554254,33.10347249438455,,7/1/00
BRA,4.084226966335813,6.201552025833301,9.305446818029296,17.746984427672686,,10/1/00
BRA,7.787430107699333,6.211650853336859,23.72172917263098,13.469488399420882,,1/1/01
BRA,7.896383491841141,6.997733795396455,28.06247220987106,5.428926862,,4/1/01
BRA,7.103575066995571,6.635793151473424,44.90748277,-8.553747429,,7/1/01
BRA,9.716725294143648,7.492045298517702,18.673897472628664,-10.69456621,,10/1/01
BRA,8.168589542388993,7.627150208282263,7.497223251,-14.39115149,,1/1/02
BRA,11.341631372427386,7.804495324375682,23.414782344516283,-16.78288527,,4/1/02
BRA,10.097884807665626,7.635178366176798,45.81913499344692,19.63791798308616,,7/1/02
BRA,9.574280129907065,10.645281321330003,52.28918779099847,21.457460406472784,,10/1/02
BRA,13.68380973597214,15.63239368125413,44.32150852419494,26.76678580009788,,1/1/03
BRA,12.821748298075786,16.858262959862525,0.9706006470671102,37.377970701808906,,4/1/03
