country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD_OLD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star,country_add,dates,PRITHVI_MOISTURE_STD_ALL,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_FARM,PRITHVI_MOISTURE_NO_FARM
BRA,9.875797029415525,9.066543584,7.292618399526352,3.657898861976317,,1/1/97,1997,6.965380321446263,7.3128331486827625,4.314068944306992,10.2,2.5045976004904213,-0.383333333,0.043015907,1.6344575594575017,0.004921423,0.024744968,,10.909475696863938,3.5405499711404875,,BRA,1-Jan-97,0.000476166,-7.19E-06,-7.19E-06,-4.69E-05
BRA,8.770625712381385,7.766597549961229,7.2182397451214575,12.12906207750073,,4/1/97,1997,6.965380321446263,7.3128331486827625,4.311271716,10.1,-4.801525394,0.63,-1.361999876,-0.33890129,0.054962779,0.000510063,,10.09533588901645,2.5626407326036595,,BRA,1-Apr-97,0.000453403,-5.39E-06,-5.39E-06,-0.000130368
BRA,9.088158289183523,5.723454342708467,7.332354380812522,22.091434740173476,,7/1/97,1997,6.965380321446263,7.3128331486827625,4.674702492340366,8.7,-5.42730203,1.86,-0.029501661,-1.458110657,0.1749931072511717,0.1303556658395368,,9.108325305,15.87014843325985,,BRA,1-Jul-97,0.00034417,-4.15E-06,-4.15E-06,-0.000210617
BRA,2.4125177567111855,5.304925809611993,7.408120069270718,11.996038959549216,,10/1/97,1997,6.965380321446263,7.3128331486827625,4.483552816031211,8.6,-11.52826123,2.3533333333333335,1.9926512136525232,0.1092428210744836,0.066115247,0.2520540391508133,,9.378830498567318,29.89991548922201,,BRA,1-Oct-97,0.000132673,-1.20E-06,-1.20E-06,-0.00030067
BRA,6.5119988463785194,4.6476678705221985,7.372793354,11.57495786198528,,1/1/98,1998,3.2069941363348398,7.801221716604834,4.855526883310857,7.3,-20.35027766,1.9166666666666667,1.8056248738605043,1.006613665503671,0.019851117,0.2114281775572098,,11.669900102085187,41.912027712037194,,BRA,1-Jan-98,-0.000153626,-3.01E-06,-3.01E-06,-0.000559702
BRA,5.875646211148444,3.734814038367973,7.428730615656054,-0.410202577,,4/1/98,1998,3.2069941363348398,7.801221716604834,4.092790086,7,-18.2629279,0.32,-0.099122187,-0.494824736,0.069520265,0.072277364,,13.989036454068287,74.96700109953002,,BRA,1-Apr-98,-0.000376802,-7.56E-06,-7.56E-06,-0.000629689
BRA,4.457202382999359,2.625121001671138,8.135716891645384,-14.53638537,,7/1/98,1998,3.2069941363348398,7.801221716604834,4.103452727565782,7.9,-22.54974208,-1.176666667,0.3471294833890417,-1.331039129,0.2150399779432037,0.1349048800661704,,17.21676185718047,38.50472084047159,,BRA,1-Jul-98,-0.000327708,-9.23E-06,-9.23E-06,-0.00062416
BRA,2.8831679389404563,1.8203736347780497,8.267646005016127,-12.24810923,,10/1/98,1998,3.2069941363348398,7.801221716604834,4.883126568525764,9.2,-24.64637002,-1.536666667,1.0135909635607312,0.4317560340891618,0.031968569,0.093644886,,16.75628781,13.997876729102945,,BRA,1-Oct-98,-0.000175831,-5.33E-06,-5.33E-06,-0.000359956
BRA,5.277228416030355,2.303229438323573,51.32758924,-15.58678662,,1/1/99,1999,4.858364591327591,53.55605080406397,4.816336792733988,9,-16.1433267,-1.32,0.4912282864805974,1.3331742373900772,0.004480287,0.05970499,,12.80445067321886,9.465398841506065,2.646672777276007,BRA,1-Jan-99,2.52979621389321e-05,-5.32E-06,-5.32E-06,-0.0002206
BRA,7.088404134284443,3.267167650579706,52.88270377733597,-11.86691224,,4/1/99,1999,4.858364591327591,53.55605080406397,4.721885912228041,7.9,-3.119260323,-1.15,-1.311597507,-0.184151542,0.051943755,0.000496278,,9.053467936,0.7637201946725478,2.236087630038406,BRA,1-Apr-99,0.000217618,-6.40E-06,-6.40E-06,-0.000153172
