country,quarter,PRITHVI_HEAT_ANOM,PRITHVI_HEAT_STD
COL,2021-01-01,0.9382745993190392,1.4923480290425946
COL,2021-04-01,0.22260791603003346,0.35406317615099353
COL,2021-07-01,0.14033362524989101,0.22320396310639773
COL,2021-10-01,0.7586342039289716,1.2066257147101322
COL,2022-01-01,0.8678179076080449,1.380284987920012
COL,2022-04-01,0.05274190007258639,0.083887244393496
COL,2022-07-01,0.14061386106549514,0.2236496848251648
COL,2022-10-01,0.3795952967924438,0.6037553328345199
COL,2023-01-01,0.7175265873509543,1.1412430744645519
COL,2023-04-01,0.8385924713270198,1.3338012375727775
COL,2023-07-01,1.2711347447091097,2.0217699938706084
COL,2023-10-01,1.5466497956842886,2.459983224403316
COL,2024-01-01,2.2558027582286138,3.5879078497857075
COL,2024-04-01,1.3332739030646057,2.1206038006959154
COL,2024-07-01,1.0898283064334013,1.7333977987692422
COL,2024-10-01,1.1620333363536126,1.8482416133269346
EGY,1981-01-01,-8.423524174606777,-1.450829904904465
EGY,1981-04-01,3.7081692481591766,0.6386783875915667
EGY,1981-07-01,5.797905709388494,0.9986051935785936
EGY,1981-10-01,-4.219041514843184,-0.7266687283002508
EGY,1982-01-01,-8.472625060658787,-1.4592868206044651
EGY,1982-04-01,3.077091901587077,0.5299844647469395
EGY,1982-07-01,5.815208890712371,1.0015854156797352
EGY,1982-10-01,-4.731902801817179,-0.815001648914727
EGY,1983-01-01,-9.727667165268715,-1.6754496260453744
EGY,1983-04-01,2.973669006315209,0.5121713705832686
EGY,1983-07-01,5.849231047449959,1.0074452388844979
EGY,1983-10-01,-4.19686305255004,-0.7228488097397167
EGY,1984-01-01,-7.398230323330182,-1.274237904939534
EGY,1984-04-01,3.569792600641449,0.6148450164042021
EGY,1984-07-01,5.540403233501969,0.954254125681225
EGY,1984-10-01,-4.04161660964224,-0.6961098608945684
EGY,1985-01-01,-6.494658027018126,-1.118610677954823
EGY,1985-04-01,4.110994809388495,0.7080592498740331
EGY,1985-07-01,5.65713995785185,0.9743603338640136
EGY,1985-10-01,-4.070166949122143,-0.701027242913544
EGY,1986-01-01,-6.594951341557132,-1.1358847472136047
EGY,1986-04-01,2.867465419790386,0.49387934266901207
EGY,1986-07-01,6.769605395913316,1.1659663757363352
EGY,1986-10-01,-5.0638542577746275,-0.8721754741803411
EGY,1987-01-01,-7.249557631746259,-1.2486311894459368
EGY,1987-04-01,2.6891917952040956,0.4631742956549366
EGY,1987-07-01,6.70747165383294,1.155264739551141
EGY,1987-10-01,-4.107680010233255,-0.7074883237814042
EGY,1988-01-01,-7.230910369807724,-1.2454194689469835
EGY,1988-04-01,4.935175912461781,0.8500124949303628
EGY,1988-07-01,7.211887830192278,1.2421431123094
EGY,1988-10-01,-4.9608329160252165,-0.8544315417887177
EGY,1989-01-01,-9.061888728625691,-1.5607789435732924
EGY,1989-04-01,4.7052628829109535,0.8104133091400406
EGY,1989-07-01,6.798633992367216,1.1709661305847492
EGY,1989-10-01,-4.162962305150513,-0.7170098975330994
EGY,1990-01-01,-8.091539119642238,-1.3936502926970376
EGY,1990-04-01,3.6231386467407405,0.6240330993710177
EGY,1990-07-01,5.678299375582346,0.9780047367739395
EGY,1990-10-01,-2.0241179215807734,-0.3486249639474139
EGY,1991-01-01,-6.899324921935384,-1.1883086832672132
EGY,1991-04-01,4.625732141303388,0.7967152920284707
EGY,1991-07-01,5.884358916953506,1.0134955050812715
EGY,1991-10-01,-4.3540026034011055,-0.7499138189795843
EGY,1992-01-01,-9.123008564985028,-1.5713059491988366
EGY,1992-04-01,3.434285062579985,0.5915058077209516
EGY,1992-07-01,6.025448914353034,1.037796211444435
EGY,1992-10-01,-3.860229793330182,-0.6648686117444487
EGY,1993-01-01,-8.54929498895666,-1.4724921041028802
EGY,1993-04-01,3.708954369435775,0.6388136133478481
EGY,1993-07-01,6.773958250523247,1.1667160918300847
EGY,1993-10-01,-1.8375146869472019,-0.3164852623751882
EGY,1994-01-01,-7.276188098058314,-1.2532179011483322
EGY,1994-04-01,3.8255313013506673,0.6588922996005688
EGY,1994-07-01,7.07731579354925,1.218965030181474
EGY,1994-10-01,-3.736606532124508,-0.6435762974373694
EGY,1995-01-01,-7.293572985646968,-1.2562121959689083
EGY,1995-04-01,3.8945389717998418,0.6707778702809816
EGY,1995-07-01,7.605826011279749,1.3099932522221347
EGY,1995-10-01,-4.280631079145785,-0.7372766377533534
EGY,1996-01-01,-6.7804133339921195,-1.1678278863641973
EGY,1996-04-01,3.77303281246178,0.6498501960743629
EGY,1996-07-01,7.2816577167171,1.2541599636573368
EGY,1996-10-01,-3.4990396974672984,-0.602658854691351
EGY,1997-01-01,-7.995139346261625,-1.377046829449645
EGY,1997-04-01,3.6691641219180453,0.6319603201387778
EGY,1997-07-01,6.804028999459416,1.1718953423332157
EGY,1997-10-01,-3.5121647575145793,-0.6049194559819209
EGY,1998-01-01,-7.74038008432309,-1.3331682403804719
EGY,1998-04-01,4.449451407260834,0.7663534915152803
EGY,1998-07-01,7.96610481246178,1.3720460519794786
EGY,1998-10-01,-2.8775024993585503,-0.4956080840952309
EGY,1999-01-01,-6.521941192739166,-1.1233098076668115
EGY,1999-04-01,3.6164813309014967,0.6228864732433115
EGY,1999-07-01,7.66630641860835,1.3204101254683296
EGY,1999-10-01,-2.7352530303278186,-0.47110767555497746
EGY,2000-01-01,-8.313778612077227,-1.4319278229791328
EGY,2000-04-01,3.83338915170528,0.6602457003917843
EGY,2000-07-01,6.956993819553978,1.1982413147304376
EGY,2000-10-01,-3.6912665796185977,-0.6357671480102421
EGY,2001-01-01,-6.240821656923561,-1.074891043624601
EGY,2001-04-01,3.895789958088257,0.6709933345308889
EGY,2001-07-01,7.679001580546886,1.322596683042837
EGY,2001-10-01,-3.7724039650795906,-0.6497418862305506
EGY,2002-01-01,-6.834626041580773,-1.177165239206677
EGY,2002-04-01,3.533527458797478,0.608598871536304
EGY,2002-07-01,8.301418112225374,1.4297989060967313
EGY,2002-10-01,-2.834626144512216,-0.48822325364482605
EGY,2003-01-01,-7.607708107396374,-1.3103174159893778
EGY,2003-04-01,4.507132521918045,0.7762882271862694
EGY,2003-07-01,7.179167793312845,1.2365075603705378
EGY,2003-10-01,-2.8249918326918855,-0.48656388312337057
EGY,2004-01-01,-6.561617861533492,-1.1301435385875738
EGY,2004-04-01,4.032861569908589,0.6946019322413215
EGY,2004-07-01,6.7392382292466495,1.1607360715769395
EGY,2004-10-01,-2.901613004677699,-0.4997607690539598
EGY,2005-01-01,-6.49725694290465,-1.1190583035341342
EGY,2005-04-01,3.701235402769109,0.6374841332581821
EGY,2005-07-01,7.560460372745467,1.3021796787490467
EGY,2005-10-01,-3.259470559642239,-0.5613965442564195
EGY,2006-01-01,-6.067300979524036,-1.0450046228496215
EGY,2006-04-01,3.8337445954405034,0.6603069204215348
EGY,2006-07-01,7.5629442167171,1.302607484859466
EGY,2006-10-01,-4.097703005103232,-0.7057699293061253
EGY,2007-01-01,-6.871874218649331,-1.183580697638808
EGY,2007-04-01,4.391858916244286,0.7564340199814256
EGY,2007-07-01,7.0609213963861315,1.2161413329754
EGY,2007-10-01,-2.8668080081055956,-0.4937661130382356
EGY,2008-01-01,-6.915896983873917,-1.1911629806548591
EGY,2008-04-01,4.730552727828209,0.8147691182450894
EGY,2008-07-01,7.732116622154449,1.3317449788353275
EGY,2008-10-01,-2.599390076899921,-0.4477072517280894
EGY,2009-01-01,-6.572177038247439,-1.1319622036771746
EGY,2009-04-01,4.092247467780929,0.7048302921031622
EGY,2009-07-01,7.408943699932229,1.2760831287240886
EGY,2009-10-01,-2.564111769807722,-0.4416310748378919
EGY,2010-01-01,-4.057826398531127,-0.698901762002074
EGY,2010-04-01,4.977661434447597,0.8573300100872985
EGY,2010-07-01,8.314238180546889,1.4320069769846673
EGY,2010-10-01,-1.0432936263089043,-0.17969220023231441
EGY,2011-01-01,-6.335689466687157,-1.091230648351175
EGY,2011-04-01,3.4125265169535055,0.5877582137178041
EGY,2011-07-01,7.277620618371945,1.253464632001989
EGY,2011-10-01,-4.222407240256896,-0.7272484257025127
EGY,2012-01-01,-7.962960078767534,-1.3715044171966966
EGY,2012-04-01,5.095637940830574,0.8776497527494682
EGY,2012-07-01,7.610337765889678,1.3107703365369643
EGY,2012-10-01,-2.1749554751268714,-0.374604545525278
EGY,2013-01-01,-5.477337544512214,-0.9433919751533538
EGY,2013-04-01,4.471589032083529,0.7701663764136396
EGY,2013-07-01,6.9157712067880235,1.1911413173754783
EGY,2013-10-01,-3.1882520479401113,-0.5491301882255651
EGY,2014-01-01,-5.726406826899923,-0.9862905477449201
EGY,2014-04-01,4.68712715028684,0.8072896921487421
EGY,2014-07-01,7.915250407024428,1.363287117989942
EGY,2014-10-01,-2.876814192975571,-0.49548953330063905
EGY,2015-01-01,-6.520956057632783,-1.1231401324283858
EGY,2015-04-01,3.4038695708542157,0.5862671802707989
EGY,2015-07-01,8.775378126173365,1.5114316464689384
EGY,2015-10-01,-2.699937581675336,-0.4650251015695432
EGY,2016-01-01,-5.941766096521671,-1.0233830594050057
EGY,2016-04-01,5.9652527850386114,1.027428300964385
EGY,2016-07-01,7.450044631610716,1.283162168276007
EGY,2016-10-01,-2.982265221722617,-0.5136519440491423
EGY,2017-01-01,-7.587255376758077,-1.3067947296847016
EGY,2017-04-01,4.579259907970054,0.7887111236459604
EGY,2017-07-01,7.842444249104806,1.3507473129176883
EGY,2017-10-01,-3.2227883099968473,-0.5550785586174467
EGY,2018-01-01,-4.835610603850276,-0.8328638141371061
EGY,2018-04-01,5.6560950985137906,0.9741803719926337
EGY,2018-07-01,8.008310205605989,1.379315319005085
EGY,2018-10-01,-2.8891998753632797,-0.4976227875097154
EGY,2019-01-01,-7.7453380842285275,-1.3340221839772632
EGY,2019-04-01,4.822642708442866,0.8306302821769961
EGY,2019-07-01,7.934448862579983,1.366593773597573
EGY,2019-10-01,-2.014397034228528,-0.34695068204586
EGY,2020-01-01,-7.499216904701341,-1.2916313793583554
EGY,2020-04-01,3.876732221445232,0.6677109157156328
EGY,2020-07-01,8.025395441539795,1.382258003172816
EGY,2020-10-01,-2.1975679646067774,-0.37849921897569483
EGY,2021-01-01,-6.25131511330654,-1.0766983893400834
EGY,2021-04-01,4.821726708679276,0.8304725144989608
EGY,2021-07-01,8.039527419081166,1.3846920314022675
EGY,2021-10-01,-2.5478620400204885,-0.4388322944897562
EGY,2022-01-01,-8.678110944843185,-1.4946787847789345
EGY,2022-04-01,4.97259469023956,0.8564573368610872
EGY,2022-07-01,7.834569066835303,1.3493909269554316
EGY,2022-10-01,-2.755935975599686,-0.47467001299236344
EGY,2023-01-01,-6.6599207960488584,-1.1470747937461567
EGY,2023-04-01,4.28326102499133,0.7377296077931972
EGY,2023-07-01,8.62264963255634,1.4851263778809327
EGY,2023-10-01,-1.311135134819543,-0.22582401659171825
EGY,2024-01-01,-6.084622101013397,-1.0479879348841503
EGY,2024-04-01,5.786029115298658,0.9965596224474642
EGY,2024-07-01,9.29220465028684,1.6004475216880132
EGY,2024-10-01,-3.2585983045594964,-0.5612463109653982
