date,SOI,PDO,WestenV,NINO1+2,NINO3,NINO4,NINO3+4
5/31/85,-0.6,0.338,,-1.27,-1.02,-0.95,-0.91
6/30/85,-0.2,0.84,0.288990709,-1.4,-1.1,-0.72,-0.74
7/31/85,1.6,0.687,,-1.23,-0.88,-0.58,-0.56
8/31/85,0,0.565,,-0.99,-0.86,-0.48,-0.7
9/30/85,-0.6,0.441,-0.077767184,-0.92,-0.8,-0.4,-0.49
10/31/85,-0.3,-0.402,,-0.79,-0.7,-0.35,-0.37
11/30/85,0.4,0.401,,-0.38,-0.73,-0.24,-0.41
12/31/85,1.6,1.053,-0.106386032,0,-0.8,-0.25,-0.66
1/31/86,-1.7,1.57,,-0.1,-0.53,-0.23,-0.71
2/28/86,0.8,1.769,,-0.73,-0.37,-0.16,-0.42
3/31/86,0.5,1.261,-0.230697735,-0.85,-0.38,-0.34,-0.33
4/30/86,-0.4,0.99,,-1.18,-0.6,-0.33,-0.53
5/31/86,1.6,0.835,,-1.08,-0.45,-0.19,-0.31
6/30/86,0.5,1.304,-0.227596836,-0.49,-0.14,-0.08,-0.11
7/31/86,-0.6,0.475,,-0.1,0.17,0.06,0.32
8/31/86,-0.8,0.617,,0.18,0.3,0.22,0.53
9/30/86,1.1,1.266,-0.648723701,0.25,0.53,0.23,0.81
10/31/86,-2,1.763,,0.36,0.78,0.38,1.01
11/30/86,-2.4,1.519,,0.6,0.92,0.32,1.12
12/31/86,-1.1,1.423,-0.523048793,0.99,1.02,0.3,1.14
1/31/87,-2.1,1.59,,0.97,1.14,0.5,1.13
2/28/87,-2.1,1.501,,1.44,1,0.47,0.98
3/31/87,-2.3,1.572,-0.400821888,1.56,0.77,0.08,0.58
4/30/87,-2.1,1.267,,1.52,0.89,0.19,0.62
5/31/87,-1.8,0.548,,0.98,0.86,0.4,0.92
6/30/87,-2.2,1.694,-0.034895238,1.03,1.11,0.49,1.29
7/31/87,-1.5,1.917,,0.82,1.45,0.59,1.57
8/31/87,-1.7,1.769,,1.1,1.66,0.78,1.65
9/30/87,-0.6,1.1,-0.527925326,1.45,1.16,0.82,1.24
10/31/87,0,1.092,,1.14,0.99,0.82,1.07
11/30/87,-0.8,0.861,,0.67,1,0.76,0.94
12/31/87,-0.2,0.399,-0.516750438,0.02,0.68,0.65,0.9
1/31/88,-0.6,0.643,,-0.31,-0.01,0.45,0.28
2/29/88,1.1,0.633,,-0.81,-0.15,0.14,0.1
3/31/88,0.2,0.475,-0.301871772,-0.83,-0.65,-0.36,-0.44
4/30/88,1.5,0.49,,-1.26,-1.57,-0.62,-1.25
5/31/88,0.1,0.307,,-1.66,-2.18,-0.88,-1.74
6/30/88,1.7,0.172,0.17407727,-1.37,-2.06,-0.94,-1.74
7/31/88,2.5,-0.362,,-1.46,-1.48,-0.77,-1.19
8/31/88,3,-0.334,,-1.29,-1.09,-0.92,-1
9/30/88,2.3,-0.05,0.408489315,-1.2,-1.55,-1.64,-1.9
10/31/88,2.8,0.056,,-0.96,-1.67,-1.73,-2.05
11/30/88,2,-0.136,,-0.75,-1.61,-1.77,-1.96
