country,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,quarter
BRA,6.301183511536568,6.869537208989662,20.49686433357745,94.25019161802508,2005-01-01
BRA,6.922831885869396,,,-5.133297134747316,2005-04-01
BRA,7.09940035362433,,,11.47538646335584,2005-07-01
BRA,7.67277930896737,,,101.10349455019887,2005-10-01
BRA,7.235902609741807,4.1835681289690285,11.454058802481226,-56.02405993188471,2006-01-01
BRA,6.003275446314005,,,-76.7310492630709,2006-04-01
BRA,6.526609053039811,,,33.50210898612551,2006-07-01
BRA,7.249242612062878,,,4.611051566211377,2006-10-01
BRA,8.293997097584427,3.641272991026523,12.112426970877532,-155.66005032174624,2007-01-01
BRA,8.118946661818406,,,163.75864760341838,2007-04-01
BRA,5.745643580808757,,,-100.95245544643834,2007-07-01
BRA,4.330856824375906,,,-228.00061238379055,2007-10-01
BRA,6.865293015252494,5.678593902841711,7.754180337850758,2215.16440060304,2008-01-01
BRA,8.364416954324438,,,-771.535913645796,2008-04-01
BRA,10.18754166794713,,,13358.940123462886,2008-07-01
BRA,11.005246562367832,,,98.51355500538884,2008-10-01
BRA,7.955262985140621,4.888034798768026,-8.826111450082418,-47.248568665496094,2009-01-01
BRA,6.504215463921326,,,-62.65458769849522,2009-04-01
BRA,6.26625335301132,,,-23.811223567946605,2009-07-01
BRA,7.104611344803846,,,98.7297495764459,2009-10-01
BRA,7.16105290451019,5.03872690108067,12.308613640663712,259.897721153408,2010-01-01
BRA,8.131802624925854,,,539.2811530805765,2010-04-01
BRA,9.471286397949696,,,263.6739269381643,2010-07-01
BRA,8.843777334923853,,,52.850564000519086,2010-10-01
BRA,8.861803037537586,6.636449622130858,5.353484419586785,-3.646689595460151,2011-01-01
BRA,9.66371389170737,,,-1.8051115934678896,2011-04-01
BRA,7.6391736485657,,,-13.902937714552088,2011-07-01
BRA,6.795701648893404,,,6.769804822969805,2011-10-01
BRA,10.520813448931833,5.403499140370083,-14.212562172595822,10.88019537867384,2012-01-01
BRA,7.646555152657952,,,13.065017798247958,2012-04-01
BRA,7.445419804609843,,,-7.332692390092821,2012-07-01
