quarter,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO
1948-01-01,2.6115130887197857,,,,
1948-04-01,4.584425869542463,,,,
1948-07-01,5.401227748440474,,,,
1948-10-01,3.893671831519563,,,,
1949-01-01,0.9432142598815307,,,,
1949-04-01,-1.0349235073725427,,,,
1949-07-01,-0.5828532996763891,,,,
1949-10-01,-1.5273316105121282,,,,
1950-01-01,3.7728563296203443,,,,-1.7
1950-04-01,7.3033578207718275,,,,-1.5200000000000002
1950-07-01,10.31016190305496,,,,-0.9866666666666667
1950-10-01,13.37239384907627,,,,-1.1900000000000002
1951-01-01,10.564876919352262,,,,-0.9066666666666667
1951-04-01,9.149921288242213,,,,-0.08
1951-07-01,7.252998354921925,,,,0.32666666666666666
1951-10-01,5.468163272004611,,,,0.45
1952-01-01,5.165331710079579,,,,0.003333333333333336
1952-04-01,3.5962738991806464,,,,-0.23333333333333336
1952-07-01,2.2373637292217197,,,,-0.56
1952-10-01,5.364084180388229,,,,-0.5433333333333333
1953-01-01,6.189877102033248,,,,0.24333333333333332
1953-04-01,6.781988440997866,,,,0.32
1953-07-01,5.420994313817573,,,,0.17333333333333334
1953-10-01,0.5240615047921171,,,,0.25
1954-01-01,-1.7819250203068182,,,,0.11
1954-04-01,-2.4287768660382403,,,,-0.9700000000000001
1954-07-01,-0.7683311027168682,,,,-1.4033333333333333
1954-10-01,2.728619424977574,,,,-1.3133333333333332
1955-01-01,6.170198707152275,,,,-0.98
1955-04-01,7.780241231188367,,,,-1.2266666666666666
1955-07-01,8.015915391937867,,,,-1.3099999999999998
1955-10-01,6.579017260658704,,,,-2.263333333333333
1956-01-01,3.2169536928957188,,,,-1.0066666666666666
1956-04-01,2.403458081833021,,,,-0.8966666666666666
1956-07-01,0.9479719442729406,,,,-1.07
1956-10-01,1.9968256280694208,,,,-1.0
1957-01-01,3.0497555743857596,,,,-0.18333333333333335
1957-04-01,1.9809816095332389,,,,0.5533333333333333
1957-07-01,3.0727752848411116,,,,0.8099999999999999
1957-10-01,0.3546985657322921,,,,0.9733333333333333
1958-01-01,-2.8722901975747894,,,,1.4166666666666667
1958-04-01,-2.019544786757199,,,,0.3666666666666667
1958-07-01,-0.7259560645533125,,,,-0.09999999999999999
1958-10-01,2.6573288629399228,,,,-0.06666666666666667
1959-01-01,7.415106238167812,,,,0.3833333333333333
1959-04-01,9.118833932250613,,,,-0.17333333333333334
1959-07-01,6.726222850606911,,,,-0.81
1959-10-01,4.584935628476705,,,,-0.52
1960-01-01,4.92379619042107,,,,-0.3466666666666667
1960-04-01,2.0590973393856515,,,,-0.3566666666666667
1960-07-01,2.487655452956039,,,,-0.27999999999999997
1960-10-01,0.8851013654155082,,,,-0.44
1961-01-01,-0.6675232238545603,,-1.8826619964973812,-1.0044304407185844,-0.2833333333333333
1961-04-01,1.5657846818091237,,-0.08752735229761166,1.4320866383361386,-0.2333333333333333
1961-07-01,3.0115335873595495,,-1.2345679012345734,-0.6739162183172498,-0.6733333333333333
1961-10-01,6.397498989994466,,0.8130081300813163,2.2677895599539033,-0.7566666666666667
1962-01-01,7.569160858836588,,-1.2048192771084265,-1.4353844071121502,-0.5466666666666666
1962-04-01,6.730272632782075,,-2.715724923346463,-3.1715453638650914,-0.7433333333333333
1962-07-01,6.0068727611334305,,-1.294642857142847,-0.8233507421840258,-0.6133333333333334
1962-10-01,4.3098468185995165,,-0.5376344086021612,0.21679938396974574,-0.8766666666666666
1963-01-01,3.601109802250946,,2.0776874435411097,4.129122790712225,-0.47000000000000003
1963-04-01,3.824586006509767,,4.592525889239085,7.658355542316042,-0.14666666666666667
1963-07-01,4.818697418135365,,3.9800995024875663,6.485137948981223,0.5966666666666667
1963-10-01,5.159809846807195,,6.351351351351364,9.866935020537348,0.81
1964-01-01,6.217339646105979,,4.513274336283168,5.92613299026401,0.30333333333333334
1964-04-01,6.182313598326505,,1.721911321566938,-0.4145705062649552,-1.0433333333333332
1964-07-01,5.521285465939152,,2.740321879077845,-1.0822801899545986,-1.2066666666666668
1964-10-01,5.157812790498717,,2.8377806014400653,-4.0254044637134445,-1.3866666666666667
1965-01-01,5.478300000024183,,1.4817950889077114,-3.738136735053721,-0.5966666666666667
1965-04-01,5.660274908434038,,2.877697841726623,-2.0662577233172663,-0.006666666666666672
1965-07-01,6.347484807761239,,0.677392040643543,-1.564934137258922,1.0066666666666666
1965-10-01,8.46227065873435,,-0.16474464579901982,-1.6841682875138875,1.4100000000000001
1966-01-01,8.477019498128314,,4.547350855235721,1.6349019012333876,0.9500000000000001
1966-04-01,7.489340026826796,,3.2496914849856173,2.998952435036295,-0.036666666666666674
1966-07-01,6.042108531485502,,3.8267451640033645,7.2801977338854185,-0.25666666666666665
1966-10-01,4.504402897482795,,-0.28877887788778533,3.454249698427647,-0.5133333333333333
1967-01-01,2.925069232407873,,-4.549082202713484,0.027409738996886368,-0.6966666666666667
1967-04-01,2.637737713577337,,-5.019920318725113,0.318086626077152,-0.6433333333333334
1967-07-01,2.7387436004856935,,-3.6046982584042153,-2.3387780085779575,-0.5366666666666666
1967-10-01,2.6709272243796267,,0.12412081092263438,0.5169960181304445,-0.6699999999999999
1968-01-01,3.8448152772550426,,1.9230769230769162,-0.7005080871669289,-0.9566666666666667
1968-04-01,5.514676233925897,,-1.6359060402684533,-3.5601879945306503,-0.44
1968-07-01,5.335354450306062,,-3.6974789915966366,-6.095921617936573,0.15
1968-10-01,4.9578561546840705,,-4.090909090909078,-4.481215241185421,0.4033333333333333
1969-01-01,4.469434131486105,,-2.4610336341263306,-1.0642574173437946,0.8666666666666667
1969-04-01,3.064780019887059,,3.965884861407254,2.8180615172461287,0.20666666666666667
1969-07-01,2.947610114439625,,7.242582897033145,5.905565012276459,0.12666666666666668
1969-10-01,2.0442073487201062,,8.315381301163294,6.570414256506107,0.4666666666666666
1970-01-01,0.3227914619529093,,10.55508830950378,7.211947374400807,0.11333333333333334
1970-04-01,0.1611246078731865,,8.490566037735835,6.661813497211688,-0.35666666666666663
1970-07-01,0.42134368087578533,,5.248169243287215,6.180105529550195,-1.1366666666666667
1970-10-01,-0.16735247777361906,,2.545743834526637,5.493106494492528,-1.1933333333333334
