quarter,ENSO,ENSO_STD
1948-01-01,,
1948-04-01,,
1948-07-01,,
1948-10-01,,
1949-01-01,,
1949-04-01,,
1949-07-01,,
1949-10-01,,
1950-01-01,-1.7,-1.7882953226518026
1950-04-01,-1.5200000000000002,-1.5769602830640685
1950-07-01,-0.9866666666666667,-0.9507823879892993
1950-10-01,-1.1900000000000002,-1.1895127104865553
1951-01-01,-0.9066666666666667,-0.8568557037280841
1951-04-01,-0.08,0.1137200336378078
1951-07-01,0.32666666666666666,0.591180678632319
1951-10-01,0.45,0.7359843168683594
1952-01-01,0.003333333333333336,0.21156032974324043
1952-04-01,-0.23333333333333336,-0.06630611119618829
1952-07-01,-0.56,-0.4498400719294843
1952-10-01,-0.5433333333333333,-0.43027201270839766
1953-01-01,0.24333333333333332,0.49334038252688645
1953-04-01,0.32,0.5833534549438845
1953-07-01,0.17333333333333334,0.411154533798323
1953-10-01,0.25,0.5011676062153211
1954-01-01,0.11,0.3367959087581942
1954-04-01,-0.9700000000000001,-0.9312143287682128
1954-07-01,-1.4033333333333333,-1.4399838685164625
1954-10-01,-1.3133333333333332,-1.334316348722595
1955-01-01,-0.98,-0.9429551643008647
1955-04-01,-1.2266666666666666,-1.2325624407729452
1955-07-01,-1.3099999999999998,-1.3304027368783777
1955-10-01,-2.263333333333333,-2.449695724324527
1956-01-01,-1.0066666666666666,-0.9742640590546031
1956-04-01,-0.8966666666666666,-0.8451148681954319
1956-07-01,-1.07,-1.0486226840947321
1956-10-01,-1.0,-0.9664368353661685
1957-01-01,-0.18333333333333335,-0.0076019335329286855
1957-04-01,0.5533333333333333,0.8573062840390959
1957-07-01,0.8099999999999999,1.1586543960438285
1957-10-01,0.9733333333333333,1.3504213764104764
1958-01-01,1.4166666666666667,1.870931751691378
1958-04-01,0.3666666666666667,0.6381440207629268
1958-07-01,-0.09999999999999999,0.09023836257250398
1958-10-01,-0.06666666666666667,0.12937448101467702
1959-01-01,0.3833333333333333,0.6577120799840132
1959-04-01,-0.17333333333333334,0.004138901999723241
1959-07-01,-0.81,-0.7433609602457822
1959-10-01,-0.52,-0.40287672979887656
1960-01-01,-0.3466666666666667,-0.19936891389957664
1960-04-01,-0.3566666666666667,-0.21110974943222857
1960-07-01,-0.27999999999999997,-0.1210966770152305
1960-10-01,-0.44,-0.3089500455376612
1961-01-01,-0.2833333333333333,-0.12501028885944782
1961-04-01,-0.2333333333333333,-0.06630611119618822
1961-07-01,-0.6733333333333333,-0.5829028746328726
1961-10-01,-0.7566666666666667,-0.6807431707383051
1962-01-01,-0.5466666666666666,-0.43418562455261495
1962-04-01,-0.7433333333333333,-0.6650887233614359
1962-07-01,-0.6133333333333334,-0.5124578614369611
1962-10-01,-0.8766666666666666,-0.8216331971301281
1963-01-01,-0.47000000000000003,-0.344172552135617
1963-04-01,-0.14666666666666667,0.03544779675346169
1963-07-01,0.5966666666666667,0.9081832380139208
1963-10-01,0.81,1.1586543960438285
1964-01-01,0.30333333333333334,0.563785395722798
1964-04-01,-1.0433333333333332,-1.0173137893409934
1964-07-01,-1.2066666666666668,-1.2090807697076416
1964-10-01,-1.3866666666666667,-1.420415809295376
1965-01-01,-0.5966666666666667,-0.4928898022158746
1965-04-01,-0.006666666666666672,0.1998194942105885
1965-07-01,1.0066666666666666,1.3895574948526492
1965-10-01,1.4100000000000001,1.8631045280029435
1966-01-01,0.9500000000000001,1.3230260935009552
1966-04-01,-0.036666666666666674,0.16459698761263275
1966-07-01,-0.25666666666666665,-0.09370139410570938
1966-10-01,-0.5133333333333333,-0.3950495061104419
1967-01-01,-0.6966666666666667,-0.6102981575423936
1967-04-01,-0.6433333333333334,-0.5476803680349169
1967-07-01,-0.5366666666666666,-0.422444789019963
1967-10-01,-0.6699999999999999,-0.5789892627886551
1968-01-01,-0.9566666666666667,-0.9155598813913435
1968-04-01,-0.44,-0.3089500455376612
1968-07-01,0.15,0.38375925088880186
1968-10-01,0.4033333333333333,0.681193751049317
1969-01-01,0.8666666666666667,1.2251857973955225
1969-04-01,0.20666666666666667,0.4502906522404961
1969-07-01,0.12666666666666668,0.3563639679792807
1969-10-01,0.4666666666666666,0.7555523760894458
1970-01-01,0.11333333333333334,0.34070952060241155
1970-04-01,-0.35666666666666663,-0.21110974943222852
1970-07-01,-1.1366666666666667,-1.1268949209790782
1970-10-01,-1.1933333333333334,-1.1934263223307724
1971-01-01,-1.5533333333333335,-1.6160964015062413
1971-04-01,-1.0966666666666667,-1.0799315788484705
1971-07-01,-1.09,-1.072104355160036
1971-10-01,-1.2066666666666668,-1.2090807697076416
1972-01-01,-0.52,-0.40287672979887656
1972-04-01,0.3,0.5598717838785806
1972-07-01,1.0566666666666666,1.448261672515909
1972-10-01,1.843333333333333,2.371874067751193
1973-01-01,1.09,1.487397790958082
1973-04-01,-0.91,-0.8607693155723012
1973-07-01,-1.61,-1.6826278028579356
1973-10-01,-2.203333333333333,-2.3792507111286154
1974-01-01,-1.7333333333333332,-1.8274314410939756
1974-04-01,-1.2833333333333334,-1.2990938421246396
1974-07-01,-0.6866666666666666,-0.5985573220097417
1974-10-01,-1.0,-0.9664368353661685
1975-01-01,-0.7399999999999999,-0.6611751115172185
1975-04-01,-1.1966666666666665,-1.1973399341749895
1975-07-01,-1.5233333333333334,-1.5808738949082857
1975-10-01,-1.8066666666666666,-1.9135309016667565
1976-01-01,-1.3633333333333333,-1.3930205263858548
1976-04-01,-0.6833333333333332,-0.5946437101655243
1976-07-01,0.08666666666666667,0.30940062584867306
1976-10-01,0.65,0.9708010275213977
1977-01-01,0.4466666666666667,0.7320707050241421
