quarter,GDP_YoY,CPI_YoY,FX_YoY,CA_YoY,country
2014-07-01,21.63014406105328,,,4.38788261704266,COL
2014-09-30,,,,,COL
2014-10-01,8.141409808333044,,,-13.562813164987752,COL
2014-12-31,,,,,COL
2015-01-01,11.336161594812475,,,-19.215860313172872,COL
2015-03-31,,4.989831158495295,-26.51001814950652,,COL
2015-04-01,8.268105522634151,,,-22.65478762377787,COL
2015-06-30,,,,,COL
2015-07-01,7.841758497041384,,,-27.97832092323863,COL
2015-09-30,,,,,COL
2015-10-01,7.946630997025306,,,-21.86882537568605,COL
2015-12-31,,,,,COL
2016-01-01,-0.9339624769168386,,,-18.1437169966039,COL
2016-03-31,,7.513460246276837,-11.04401810100274,,COL
2016-04-01,6.748754092616038,,,-9.056874028446572,COL
2016-06-30,,,,,COL
2016-07-01,-1.6327938491886296,,,-4.607453087163826,COL
2016-09-30,,,,,COL
2016-10-01,2.3382704514556485,,,9.416724289802602,COL
2016-12-31,,,,,COL
2017-01-01,6.59867038944244,,,19.34604075924884,COL
2017-03-31,,4.314313256950086,3.3575680840858046,,COL
2017-04-01,0.6592272084119832,,,10.814761518465788,COL
2017-06-30,,,,,COL
2017-07-01,9.269130942906331,,,13.803699510966116,COL
2017-09-30,,,,,COL
2017-10-01,2.3432914056203513,,,14.390156026774514,COL
2017-12-31,,,,,COL
2018-01-01,1.68259688251855,,,11.89764551495065,COL
2018-03-31,,3.2405693293056537,0.0135498441070636,,COL
2018-04-01,8.50984331552851,,,14.32219498693912,COL
2018-06-30,,,,,COL
2018-07-01,2.557684024697049,,,9.886840655366802,COL
2018-09-30,,,,,COL
2018-10-01,6.523902633627476,,,4.012003867725067,COL
2018-12-31,,,,,COL
2019-01-01,12.042524194912607,,,2.5037131084911346,COL
2019-03-31,,3.5230193274144117,-9.975030613006496,,COL
2019-04-01,6.406512212601401,,,2.592027733530977,COL
2019-06-30,,,,,COL
2019-07-01,7.4302747160998495,,,-3.07850611387116,COL
2019-09-30,,,,,COL
2019-10-01,4.983181770514311,,,-4.450507496800771,COL
2019-12-31,,,,,COL
2020-01-01,-7.619563316654244,,,-8.691880935016306,COL
2020-03-31,,2.5266350008471106,-11.01710697025262,,COL
2020-04-01,-37.64119357685944,,,-39.74314411671629,COL
2020-06-30,,,,,COL
2020-07-01,-21.45484115657677,,,-25.119963279768676,COL
2020-09-30,,,,,COL
2020-10-01,-7.667466197658635,,,-18.459503195629356,COL
2020-12-31,,,,,COL
2021-01-01,8.950264074320003,,,-1.1711158366669585,COL
2021-03-31,,3.495057573994531,-1.5033979184886026,,COL
2021-04-01,48.48248330991829,,,47.84439165056165,COL
2021-06-30,,,,,COL
2021-07-01,20.77297644613931,,,39.00402662817712,COL
2021-09-30,,,,,COL
2021-10-01,22.526125370968582,,,46.47898274547799,COL
2021-12-31,,,,,COL
2022-01-01,26.206530302374187,,,45.59748815372045,COL
2022-03-31,,10.177231354616543,-11.466304497151548,,COL
2022-04-01,22.57239682342478,,,55.6400323205481,COL
2022-06-30,,,,,COL
2022-07-01,28.643079161955697,,,39.90031179319309,COL
2022-09-30,,,,,COL
2022-10-01,19.191361733815416,,,13.425793201221904,COL
2022-12-31,,,,,COL
2023-01-01,6.755013991377412,,,4.6013463529811505,COL
2023-03-31,,11.735904494868944,-1.8929213637754791,,COL
2023-04-01,-5.240828380707541,,,-9.08415665900215,COL
2023-06-30,,,,,COL
2023-07-01,-11.490878700832551,,,-5.362744063593916,COL
2023-09-30,,,,,COL
2023-10-01,-14.73971694940318,,,1.8529939574747356,COL
2023-12-31,,,,,COL
2024-01-01,-5.963659272240607,,,-2.3062836236234507,COL
2024-03-31,,6.609085937282266,5.867833141540513,,COL
2024-04-01,9.04883429159844,,,7.588908698605468,COL
2024-07-01,9.79467611748912,,,6.06556554683122,COL
2024-10-01,20.55390338244771,,,5.0220936035551,COL
2000-01-01,,,,,IDN
2000-03-31,,,,,IDN
2000-04-01,,,,,IDN
2000-06-30,,,,,IDN
2000-07-01,,,,,IDN
2000-09-30,,,,,IDN
2000-10-01,,,,,IDN
2000-12-31,,,,,IDN
2001-01-01,18.5600207759556,,,1.5890970236997817,IDN
2001-03-31,,11.500116055088691,-18.107639628646087,,IDN
2001-04-01,23.173944650104698,,,-4.797861246823443,IDN
2001-06-30,,,,,IDN
2001-07-01,18.325248715206843,,,-20.626465518918906,IDN
2001-09-30,,,,,IDN
2001-10-01,14.230478735749074,,,-18.721839280978404,IDN
2001-12-31,,,,,IDN
2002-01-01,13.268705199491038,,,-12.843557194569966,IDN
2002-03-31,,11.900120033841375,9.883595015054446,,IDN
2002-04-01,8.0715339197728,,,-1.6078829420015484,IDN
2002-06-30,,,,,IDN
2002-07-01,10.43511496094196,,,16.361102072956847,IDN
2002-09-30,,,,,IDN
2002-10-01,11.044562144417291,,,14.436621151322338,IDN
2002-12-31,,,,,IDN
2003-01-01,13.750731891579449,,,22.987398266938964,IDN
2003-03-31,,6.757312563335582,8.308053752883415,,IDN
2003-04-01,10.31893701205866,,,-3.610938909873096,IDN
2003-06-30,,,,,IDN
2003-07-01,9.233739240172278,,,-1.8038917038592064,IDN
2003-09-30,,,,,IDN
2003-10-01,9.017613673115378,,,3.874473920042676,IDN
2003-12-31,,,,,IDN
2004-01-01,8.362121985784366,,,21.186842062381594,IDN
2004-03-31,,6.064061891336525,-3.980211133097722,,IDN
2004-04-01,13.339761579672494,,,31.46826787185713,IDN
2004-06-30,,,,,IDN
2004-07-01,15.226958539747027,,,21.109226432482675,IDN
2004-09-30,,,,,IDN
2004-10-01,18.925283814127525,,,34.115049279001155,IDN
2004-12-31,,,,,IDN
2005-01-01,18.07372697125864,,,16.582922765941245,IDN
2005-03-31,,10.453200187334756,-7.912623994826062,,IDN
2005-04-01,18.921286463202037,,,25.74524490385488,IDN
2005-06-30,,,,,IDN
2005-07-01,19.539410214710703,,,37.18567944248032,IDN
2005-09-30,,,,,IDN
2005-10-01,26.271689702568413,,,23.988635307813546,IDN
2005-12-31,,,,,IDN
2006-01-01,24.05142860085947,,,-3.613993374407676,IDN
2006-03-31,,13.108670985345938,5.855440714302684,,IDN
2006-04-01,21.402459073064705,,,6.775693085664658,IDN
2006-06-30,,,,,IDN
2006-07-01,21.924713682156515,,,0.8994051244676671,IDN
2006-09-30,,,,,IDN
2006-10-01,15.024674091487087,,,5.183832794115428,IDN
2006-12-31,,,,,IDN
2007-01-01,17.68432609174564,,,20.77800470983313,IDN
2007-03-31,,6.406560879660006,0.2075135665664751,,IDN
2007-04-01,18.44606934418276,,,14.46435441013727,IDN
2007-06-30,,,,,IDN
2007-07-01,18.31846038203,,,14.521513226614502,IDN
2007-09-30,,,,,IDN
2007-10-01,18.7633388140916,,,15.041915869143915,IDN
2007-12-31,,,,,IDN
2008-01-01,24.22054200014856,,,31.59314106572042,IDN
2008-03-31,,10.22666632724829,-5.113529330905098,,IDN
2008-04-01,26.502252152847895,,,39.378435203275416,IDN
2008-06-30,,,,,IDN
2008-07-01,26.90940304574234,,,38.07406816959882,IDN
2008-09-30,,,,,IDN
2008-10-01,23.45917409581655,,,6.587266303882355,IDN
2008-12-31,,,,,IDN
2009-01-01,14.222941272815692,,,-31.281050750368223,IDN
2009-03-31,,4.38641311792074,-6.718675802086294,,IDN
2009-04-01,10.938803833796172,,,-31.081570519612967,IDN
2009-06-30,,,,,IDN
2009-07-01,8.47470176315943,,,-23.140619405491925,IDN
2009-09-30,,,,,IDN
2009-10-01,10.733654419524342,,,4.565202655310574,IDN
2009-12-31,,,,,IDN
