country,quarter,PRITHVI_HEAT_EXTENT
BRA,1981-01-01,0.030148883374689826
BRA,1981-04-01,0.0
BRA,1981-07-01,0.02777777777777778
BRA,1981-10-01,0.018679349324510614
BRA,1982-01-01,0.018886131789357597
BRA,1982-04-01,0.0
BRA,1982-07-01,0.010504549214226633
BRA,1982-10-01,0.05113041080783016
BRA,1983-01-01,0.10026192445547284
BRA,1983-04-01,0.013688999172870142
BRA,1983-07-01,0.03855803694513372
BRA,1983-10-01,0.030300523848910948
BRA,1984-01-01,0.07794320374965537
BRA,1984-04-01,0.00035842293906810036
BRA,1984-07-01,0.00293631100082713
BRA,1984-10-01,0.03607664736696995
BRA,1985-01-01,0.04551971326164875
BRA,1985-04-01,0.004342431761786601
BRA,1985-07-01,0.010201268265784396
BRA,1985-10-01,0.040515577612351805
BRA,1986-01-01,0.03846153846153846
BRA,1986-04-01,0.0006617038875103391
BRA,1986-07-01,0.007499310725117177
BRA,1986-10-01,0.01994761510890543
BRA,1987-01-01,0.05315687896333058
BRA,1987-04-01,0.0018196856906534326
BRA,1987-07-01,0.07122966639095671
BRA,1987-10-01,0.13879239040529365
BRA,1988-01-01,0.08688999172870142
BRA,1988-04-01,0.0019851116625310174
BRA,1988-07-01,0.07102288392610973
BRA,1988-10-01,0.037827405569341055
BRA,1989-01-01,0.03711055969120485
BRA,1989-04-01,0.0
BRA,1989-07-01,0.025448028673835124
BRA,1989-10-01,0.030727874276261374
BRA,1990-01-01,0.053322304935208155
BRA,1990-04-01,0.002453818582850841
BRA,1990-07-01,0.01389578163771712
BRA,1990-10-01,0.08898538737248414
BRA,1991-01-01,0.021753515301902403
BRA,1991-04-01,6.892748828232699e-05
BRA,1991-07-01,0.011538461538461539
BRA,1991-10-01,0.05595533498759306
BRA,1992-01-01,0.03409153570443893
BRA,1992-04-01,0.004438930245381858
BRA,1992-07-01,0.015508684863523574
BRA,1992-10-01,0.03516680452164323
BRA,1993-01-01,0.04269368624207334
BRA,1993-04-01,0.0038185828508409156
BRA,1993-07-01,0.02606837606837607
BRA,1993-10-01,0.08327819134270747
BRA,1994-01-01,0.05256410256410257
BRA,1994-04-01,0.00012406947890818859
BRA,1994-07-01,0.047477253928866835
BRA,1994-10-01,0.08476702508960572
BRA,1995-01-01,0.07077474496829335
BRA,1995-04-01,0.0007719878687620623
BRA,1995-07-01,0.0985663082437276
BRA,1995-10-01,0.07766749379652606
BRA,1996-01-01,0.06439205955334988
BRA,1996-04-01,0.0009098428453267163
BRA,1996-07-01,0.04807003032809484
BRA,1996-10-01,0.031196581196581197
BRA,1997-01-01,0.024744968293355388
BRA,1997-04-01,0.0005100634132892197
BRA,1997-07-01,0.1303556658395368
BRA,1997-10-01,0.2520540391508133
BRA,1998-01-01,0.2114281775572098
