country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,CPIF_YoY,quarter
ALB,4.577988155125157,,31.01704758976458,-18.71388839928416,-24.160783239961916,-26.054553241555013,,1997-01-01
ALB,-0.7035229767890505,,50.00138864459029,-38.05397977710715,-36.22858088392955,-35.63442234643054,,1997-04-01
ALB,-2.0885517852196056,,45.67745274116473,-37.06041475712092,-36.26343505297353,-36.04594176991124,,1997-07-01
ALB,-0.8406238364212948,,42.217615237601706,-37.44330463351949,-30.075816579442005,-28.049395021341414,,1997-10-01
ALB,10.757694934579142,,22.070404172099156,16.804635636284782,20.251785756862283,21.56926369369927,,1998-01-01
ALB,16.494558261402425,,-3.4993519718570565,46.29331147532474,40.08602071819916,38.14152770705055,,1998-04-01
ALB,18.003148904563247,,-6.664716391712755,47.96229502204534,26.6934781601851,20.98135335862523,,1998-07-01
ALB,18.33484937735197,,-3.4917091836734637,79.37297017925174,27.322236659211185,14.87489646037423,,1998-10-01
ALB,18.26483635779992,,-9.6979536036229,50.049989728063714,-9.352685320858733,-31.166190107277323,,1999-01-01
ALB,15.960554228359868,,-9.709004860578164,44.9848971020643,40.21610122179658,38.634076566515986,,1999-04-01
ALB,15.784198393427353,,-9.60216714800637,38.61173961447306,27.003664403202144,23.190836619084987,,1999-07-01
ALB,15.06154396302226,,-5.069505086025816,7.822416884381833,-2.3779785937432796,-6.186869921878346,,1999-10-01
ALB,14.904310421934696,,-1.368689974925441,1.9758308530317237,47.68048478587341,84.26640926699254,,2000-01-01
ALB,14.015473888907248,,1.6579425174187978,-10.571044362428816,2.243033112654813,6.688778945335083,,2000-04-01
ALB,13.318864708119316,,7.127643766407488,-11.1805859337489,14.982244252472832,24.65150580913207,,2000-07-01
ALB,13.40571969373354,,10.493995972453574,-8.971552560686124,32.164535863319045,49.818815475563014,,2000-10-01
ALB,13.255872308438631,,2.867462597792536,4.763628527282937,18.167638549932377,24.10562814215178,,2001-01-01
ALB,16.28783051645153,,2.325116882935907,26.41660832860948,17.55259985407136,14.974813848729385,,2001-04-01
ALB,11.8457743622566,,0.2730257074162745,22.305526055192782,17.58095399403612,16.33677908759754,,2001-07-01
ALB,10.684696759164812,,-5.814733147331519,29.62568818214173,30.417336923859462,30.62376573445458,,2001-10-01
ALB,9.824834552106832,,-1.2107435126250232,-4.985077793189285,5.701365073729936,9.697654291880898,,2002-01-01
ALB,4.073599011009366,,-1.9679052137004385,12.105629849915566,11.619264349863334,11.463746272239362,,2002-04-01
ALB,10.371581008361709,,-4.177377743860921,14.26990590987607,22.33913541758796,24.573119491419423,,2002-07-01
ALB,13.466117021428037,,-1.9068004548527084,20.06293768688472,10.953467243542224,8.596249015653967,,2002-10-01
ALB,12.16827274174186,,-7.608144115057947,44.946198143532065,31.502193816403224,27.147607908526528,,2003-01-01
ALB,13.442033393855745,,-14.451956471405412,37.58145519476513,33.923601839767834,32.74724739928514,,2003-04-01
ALB,10.892375952818444,,-13.17759887590172,24.099450578247605,15.362837071112722,13.144136688726448,,2003-07-01
ALB,5.529589115556743,,-17.064928945925107,23.315320077462907,18.22700762875819,16.77129861291715,,2003-10-01
ALB,5.664478316654864,,-18.84448758557271,27.428329162033815,18.98069651335852,15.861434375146844,,2004-01-01
ALB,7.156234641260473,,-14.491098348498754,41.09131620570825,16.084644388522705,7.74971021056956,,2004-04-01
ALB,8.685673286674511,,-15.119427880857028,42.53344069784366,26.846636159937255,22.477175582095143,,2004-07-01
ALB,12.059582320752437,,-13.838175552945865,30.208823043158063,32.23855423500375,32.85177979809208,,2004-10-01
ALB,9.452026949857494,,-8.708667970171291,13.002089546020912,19.49528175602051,22.132233611037,,2005-01-01
ALB,11.958430322513824,,-5.904873438898872,20.834392748198383,26.757225714547552,29.34222209332187,,2005-04-01
ALB,8.285210311429791,,-1.5719055060330225,-2.3668591206657985,8.598112641675893,12.15248124625472,,2005-07-01
ALB,5.333106790429687,,5.528290421349347,-10.057938528045607,2.4738495135872896,6.184651684708453,,2005-10-01
ALB,9.259172284387684,,5.736973757022779,14.346969408210184,10.438188926669987,8.969460849948963,,2006-01-01
ALB,6.151737699799709,,-1.1886751924205186,-0.705950193306315,6.558902643316866,9.521055879179151,,2006-04-01
ALB,8.676337900624453,,-4.145490732068002,29.231502668903243,19.46669381016772,16.7111516018402,,2006-07-01
ALB,10.677332237740188,,-7.043817187006551,34.67103815056345,24.947056491770248,22.508122857702585,,2006-10-01
ALB,10.533529547816766,,-6.364438675763207,18.538152773459498,35.44942175901278,42.1174306477016,,2007-01-01
ALB,11.256838831718664,,-5.421036958219549,24.003259934456533,32.186151756537626,35.211066314202895,,2007-04-01
ALB,12.100354972152294,,-7.240850437696212,40.16865048381586,35.64072676156804,34.22591564626312,,2007-07-01
ALB,15.096821545659743,,-12.416502527662088,51.4147236496439,35.88891937450314,31.60817513000822,,2007-10-01
ALB,13.640313777628554,3.695556533216014,-13.776348637199042,87.84788715736696,31.267894819265997,12.660153285136031,6.352567496029645,2008-01-01
ALB,12.10701283073956,4.170363797692999,-15.52351813106785,37.641337905905026,44.00952804838523,46.16848105403335,6.905927134312121,2008-04-01
ALB,11.346688996529508,2.959363957597169,-8.967799923221321,-1.6499202795935308,40.56449748143971,54.33896063147385,3.789929615592848,2008-07-01
ALB,6.995589075436803,2.475032566217976,11.237188590521075,23.14110096473474,6.1370399879935755,0.7431377706413222,3.870292887029294,2008-10-01
ALB,8.169255300058431,1.909206618582944,19.45116432510097,-36.309745493737786,-18.938891660692992,-9.413388544297652,3.484320557491284,2009-01-01
ALB,8.327997881593374,2.129471890971031,23.22909731539764,-19.824096814336333,-24.98287711720892,-26.629785163429187,5.03560528992879,2009-04-01
ALB,3.4611019927474285,2.145002145002149,13.111706916510755,14.11723577046664,-16.8833052523355,-23.329186438704596,5.372978612415227,2009-07-01
ALB,1.868557164641138,2.881355932203381,-0.5962708651028659,-17.888327082843425,0.8413081882875373,8.103492960946346,5.689828801611284,2009-10-01
ALB,3.783097645462963,3.951632686082922,1.6663764553533689,41.56002283004665,7.667254556554237,-5.399952408362063,6.773146180075902,2010-01-01
ALB,6.244157830558628,3.802358789559758,11.90257796083658,54.598512186049966,3.0130488815091727,-14.982857452851428,5.617788963903443,2010-04-01
ALB,8.174628951472496,3.463301588820025,14.860516078450292,23.645895861500744,-0.5754628906261439,-8.071516724287086,4.266733673920797,2010-07-01
ALB,7.97989484362589,3.293580527841314,9.73389964599014,41.09672513255156,0.173078572637686,-11.879430665702806,4.105127237711048,2010-10-01
ALB,7.373337439121186,4.357217877636118,1.8590575010808184,40.61703333410416,16.32518063908921,2.3104215920448423,5.815328241075483,2011-01-01
ALB,0.5019238866167175,3.647852158251681,-8.747373625015465,10.92837586530042,26.19980999021776,35.88760671812157,4.504429004003243,2011-04-01
ALB,2.377018050288182,3.178538371369177,-6.16660883828033,39.86726666141107,16.223735323622,6.381898787170748,4.309362285395372,2011-07-01
ALB,6.38487259421836,2.529988696596803,1.8896299202301847,19.107125191245487,10.96353233183882,7.12328814689438,2.869011761553715,2011-10-01
ALB,-0.7068584451937032,1.055119676299276,3.9538983936267647,-15.611270526245336,-2.474776148762426,7.9417411082687295,0.0705938162392502,2012-01-01
ALB,3.648095600707824,1.898827135918025,10.313886161243424,4.072345886691742,-13.755617344380722,-22.987913531493987,1.89846810776806,2012-04-01
ALB,3.3158616941562524,2.735376903220814,11.153691004437285,0.264510162041387,-8.106291813370369,-12.687491513593796,4.142488774160594,2012-07-01
ALB,-0.8663521478749048,2.458629056429489,3.757299621382249,1.7791152146868994,-8.722431919309193,-14.22860578645645,3.452652297037517,2012-10-01
ALB,4.288718868498731,2.51774351222821,-0.3172210182480928,23.510909611784104,-10.079258570033511,-30.902592375973903,4.989043746158456,2013-01-01
ALB,3.859646770610059,2.213392398351566,-0.7612265569845955,25.22468749419733,-1.3708082407895783,-19.98278679265376,5.332317078056059,2013-04-01
ALB,-2.5950397545982273,1.510481725346824,-3.8952398233835006,29.61621968273114,-0.1498403293997974,-18.85684605957327,3.572145286279693,2013-07-01
ALB,3.148061627718435,1.505988844699083,-4.270649720134811,33.662099868841096,12.718531142572642,-0.3120421316548105,3.055310443346455,2013-10-01
ALB,1.547090149377328,1.918127624828279,-3.100384397252498,14.35255578403236,14.664499179613966,15.01016580055592,2.791411635821562,2014-01-01
ALB,1.4207787002090244,1.581038711419744,-5.251925396678104,16.99052567019159,18.08294077162578,19.27934704953993,1.994319170536507,2014-04-01
ALB,7.827767020489174,1.741476796169008,-0.4814651645792756,-0.6382534583690647,5.367125014867757,11.39592361332127,2.633105079709015,2014-07-01
ALB,3.139691541194511,1.261299386805211,8.424861093164449,-11.198270765883544,-4.53820701894182,1.0177234601721483,1.354104851661989,2014-10-01
ALB,1.0859348821385284,1.897275086839868,21.56142290433771,-22.25470603388471,-16.73200713958701,-10.647258244873626,3.91922327400055,2015-01-01
ALB,4.582249940622329,1.826375308706404,24.62703620278788,-24.353785604552325,-22.248720554348157,-19.987505083091463,3.922426803028971,2015-04-01
ALB,3.0382470978653764,1.811743794537643,19.07351778656119,-22.451283233204663,-17.843243636440633,-13.716984363636186,3.841158294307291,2015-07-01
ALB,3.238724977089147,2.049493198749175,13.022881658920271,-12.645166994894495,-13.018709936026184,-13.292641953824546,5.484508625733157,2015-10-01
ALB,4.557793916812791,0.6418937487289911,0.7436137488296746,-8.328429655788517,4.031732107971986,15.880731479248178,2.869481248345201,2016-01-01
ALB,0.8127594396479809,0.7321482808725625,-3.78500144065802,-5.5549126510837326,15.355729367856942,36.59175208307885,2.326306957740874,2016-04-01
ALB,1.6755839000921702,1.893392938268975,-2.3660939533154512,-1.4230672307701364,6.876983888136645,13.556890307669534,4.257774261291373,2016-07-01
ALB,4.893932546041935,1.850560992852148,-0.3295110056676154,4.567162109883394,3.807103514427368,3.245564000600809,3.611191744040877,2016-10-01
ALB,6.114130785538507,2.393310720429316,1.5771446778005016,16.75009545915749,7.009184265866963,-0.3780274967227104,4.333754194240344,2017-01-01
ALB,8.208600079594408,2.041618355972855,-0.1551780463900698,9.58424612409643,3.604166631952954,-0.5950440823549785,3.934995849673875,2017-04-01
ALB,5.956856571573499,1.725180075120803,-7.640211064570501,40.2339258231392,35.064559707759855,31.45305061366439,3.811961946721692,2017-07-01
ALB,4.575383973293157,1.784270829521967,-9.9947103940756,35.017265763082285,38.467846882807336,41.04980628449981,3.525010592385829,2017-10-01
ALB,6.77096148781664,1.915754071728397,-15.482133988551094,48.1236814055715,36.733706337162445,26.61078537204682,2.680685311447528,2018-01-01
ALB,5.36280991333562,2.189358122254913,-12.613496932515334,46.862511132824736,25.6396579130884,9.210906112435268,3.03149289934326,2018-04-01
ALB,5.266924317728283,2.195033235288959,-4.296610419059366,9.198288471106618,-0.1529766014191302,-7.122518155852886,2.796183996001363,2018-07-01
ALB,3.40705513053281,1.814584195783315,-3.893508859569239,9.29825786392291,0.7645540860272027,-5.347842800853786,2.210408941694873,2018-10-01
ALB,1.727585449106228,1.573715180718867,1.8061483268386525,-2.7633425838940573,1.347436840071592,5.621697871593279,3.372514228614686,2019-01-01
ALB,3.210798187340158,1.399779767822063,2.514899060813147,-4.035397359053638,3.749370522365436,11.853220734243596,2.814286446063634,2019-04-01
ALB,4.2670598633508305,1.405396990407507,0.9415964059326764,-0.9591168438519372,4.009373483205558,8.363125535396932,2.560477938758349,2019-07-01
ALB,2.45873137845607,1.263934541454537,1.6449581116614542,-6.741718871804436,-3.8459980038458297,-1.4509545269377866,2.918960405341273,2019-10-01
ALB,-2.4808174240261938,1.597577711438045,1.4885472993498627,-9.181425032809807,-8.334023139421564,-7.5228694012636765,2.949557722731267,2020-01-01
ALB,-10.33435273843779,1.939254073819805,3.369350175011432,-25.5982677127511,-21.452253231196316,-17.7493775827114,4.41643504979434,2020-04-01
ALB,-1.0873102370405507,1.392820276475927,-2.92342397268629,-4.8264686867931506,-3.762509081158183,-2.9103957403970093,3.303049839804869,2020-07-01
ALB,1.3333287899890855,1.553127117234648,-6.253760077006387,5.075679986275605,5.236757209320775,5.362831294028214,3.765838470610606,2020-10-01
ALB,8.1317004594188,0.9287799900849152,-7.974137931034475,22.24411499517769,19.706598087014783,17.321188140113897,2.49616143259314,2021-01-01
ALB,21.444149634928444,1.783840800921127,-9.881632412696572,62.02401146949814,44.20963799772668,29.8175859794233,3.660055867570867,2021-04-01
ALB,9.297023637112687,2.380580947334329,-2.6440571518292044,27.77659872818337,27.97883381261157,28.137605177529306,4.418555297402835,2021-07-01
ALB,12.115784894241056,3.089689882348166,2.2653617840526774,33.325030139825614,44.28920957549851,52.84741292169946,5.078482078725687,2021-10-01
ALB,15.856129543937405,4.444820790092603,6.0109289617486406,37.43287900316976,17.471624742266712,-2.0804755350878112,7.63783832783511,2022-01-01
ALB,11.841915382113587,6.741461799135115,10.723387571064505,22.182700943199563,10.070353860356573,-2.142757745969348,11.27626045852919,2022-04-01
ALB,16.41557984280837,7.850419819804456,12.495564945327931,10.099170053934367,6.3932759309975,3.49203760760457,13.73927031972617,2022-07-01
ALB,15.37071722362966,7.856482869088911,7.599385020865346,2.494375808418914,-11.938064101902512,-21.76458592664754,14.47297960479807,2022-10-01
ALB,10.490984088344678,6.525238308229225,-0.960358370152148,3.3237509001460053,1.6765259285087986,-0.5880133373068808,12.57984763100349,2023-01-01
ALB,11.08814971608485,4.613068516769384,-10.363550519357911,-6.220478085331804,7.745545228007478,25.3283247372188,9.960565595168829,2023-04-01
ALB,9.277150658934952,4.058700393930426,-16.761762766292996,5.311224280636462,2.0699285832902925,-0.6295889864663673,8.209334850544424,2023-07-01
ALB,9.391744253505042,3.897002256223671,-15.178024669757685,4.56617668442183,2.330721270204972,0.3367324138001226,7.067019207070346,2023-10-01
ALB,8.579970509894297,2.730427305080013,-11.106292016481332,-12.593257618703134,12.776861885034196,49.02709984478433,3.331532216846641,2024-01-01
ALB,6.742752101730121,2.13448370984519,-7.545430603107706,0.6537110277743174,8.495272791550823,15.882409133882993,1.814059950937916,2024-04-01
ALB,6.366517186554477,1.995343180903614,-6.0624849299025225,-7.182027554345516,13.249847951732342,31.283899839671104,2.326939534940659,2024-07-01
ALB,5.059175955062645,2.008457834195336,-4.7751650165016475,-14.802461763069353,8.002675761958876,29.201934986332432,3.071198298241901,2024-10-01
ALB,4.525468132130528,1.978961129533574,-1.6902488325085452,6.566085749725947,-1.6781014627393565,-8.587112378460093,2.814261455872936,2025-01-01
ALB,5.890677206050476,2.308499139484676,-7.274604757157088,7.536119932780849,7.217244907962339,6.956325533346086,3.884513400274517,2025-04-01
ALB,,2.058805114901466,-8.334861207876488,19.635633920352525,4.8909331975144354,-4.310207068576788,2.478695241007738,2025-07-01
ARG,,,-0.0499999999999944,9.48900443115459,32.163720828459795,-556.9115454471108,,1997-01-01
ARG,,,-0.0150052518381404,12.44167415867614,24.52624962888148,-533.6679168303011,,1997-04-01
ARG,,,0.0,2.1572182704675535,18.736596253681313,299.9275379178498,,1997-07-01
ARG,,,0.0,-3.325918324099819,22.784397673260127,1141.897531402009,,1997-10-01
ARG,,,0.0,-2.5516332412328535,16.190752822247045,132.86961314983324,,1998-01-01
ARG,,,0.0,18.432163579650783,11.21214039992542,-75.25726975686939,,1998-04-01
ARG,,,0.0,1.935304689367201,2.794128918243799,6.514832998198106,,1998-07-01
ARG,,,0.0,-10.045131135202768,-11.274941727013388,-15.378157781863068,,1998-10-01
ARG,,,0.0,-6.846391057325041,-21.411974092702344,-59.35718013740756,,1999-01-01
ARG,,,0.0,-12.91021860608057,-27.115209190141183,-841.4198273160379,,1999-04-01
ARG,,,0.0,-15.254361995337984,-16.956376016972786,-24.013024928489035,,1999-07-01
ARG,,,0.0,3.9306049388654785,-3.9609722682089177,-31.950280519015628,,1999-10-01
ARG,,,0.0,18.437391805782077,-0.6722524000442376,-114.77536609642746,,2000-01-01
ARG,,,0.0,-2.538891438073043,3.453447763044304,-36.89671966318714,,2000-04-01
ARG,,,0.0,19.099087304034224,-3.936194760286915,-110.45029641600676,,2000-07-01
ARG,,,0.0,12.410162543699554,-8.674173633696537,-122.88450810237688,,2000-10-01
ARG,,,0.0,13.855190270914951,-2.0186994386123813,757.7455213007786,,2001-01-01
