country,combination,exo_spec,max_em_iter,update_P0,coeff_method,stability,coefficients,forecast_path,counterfactual,overall,reason,rho,max_norm,norm_H,max_abs_theta,max_tail_theta_jump,max_abs_gdp_cpi,max_step_gdp_cpi,max_ci_width_gdp_cpi,ci_growth_ratio,max_counterfactual_gap_gdp_cpi,max_abs_counterfactual_gdp_cpi,horizon,hist_last,fc_start,fc_end,ragged
BRA,OIL_YoY+HeatDry | lag1 | KF | coeff=last | EM=20 | P0=fixed,OIL_YoY+HeatDry,20,False,last,Failed,—,—,—,REJECT,exception: LinAlgError: SVD did not converge,,,,,,,,,,,,,,,,
BRA,OIL_YoY+HeatDry | lag1 | KF | coeff=last | EM=20 | P0=update,OIL_YoY+HeatDry,20,True,last,Failed,—,—,—,REJECT,exception: LinAlgError: SVD did not converge,,,,,,,,,,,,,,,,
BRA,OIL_YoY+HeatDry | lag1 | KF | coeff=last | EM=30 | P0=fixed,OIL_YoY+HeatDry,30,False,last,Failed,—,—,—,REJECT,no EM result / insufficient complete data,,,,,,,,,,,,,,,,
BRA,OIL_YoY+HeatDry | lag1 | KF | coeff=last | EM=30 | P0=update,OIL_YoY+HeatDry,30,True,last,Failed,—,—,—,REJECT,no EM result / insufficient complete data,,,,,,,,,,,,,,,,
BRA,OIL_YoY+HeatDry | lag1 | KF | coeff=last | EM=50 | P0=fixed,OIL_YoY+HeatDry,50,False,last,Failed,—,—,—,REJECT,no EM result / insufficient complete data,,,,,,,,,,,,,,,,
BRA,OIL_YoY+HeatDry | lag1 | KF | coeff=last | EM=50 | P0=update,OIL_YoY+HeatDry,50,True,last,Failed,—,—,—,REJECT,no EM result / insufficient complete data,,,,,,,,,,,,,,,,
BRA,OIL_YoY+HeatDryF | lag1 | KF | coeff=last | EM=20 | P0=fixed,OIL_YoY+HeatDryF,20,False,last,Failed,—,—,—,REJECT,exception: LinAlgError: SVD did not converge,,,,,,,,,,,,,,,,
BRA,OIL_YoY+HeatDryF | lag1 | KF | coeff=last | EM=20 | P0=update,OIL_YoY+HeatDryF,20,True,last,Failed,—,—,—,REJECT,exception: LinAlgError: SVD did not converge,,,,,,,,,,,,,,,,
BRA,OIL_YoY+HeatDryF | lag1 | KF | coeff=last | EM=30 | P0=fixed,OIL_YoY+HeatDryF,30,False,last,Failed,—,—,—,REJECT,no EM result / insufficient complete data,,,,,,,,,,,,,,,,
BRA,OIL_YoY+HeatDryF | lag1 | KF | coeff=last | EM=30 | P0=update,OIL_YoY+HeatDryF,30,True,last,Failed,—,—,—,REJECT,no EM result / insufficient complete data,,,,,,,,,,,,,,,,
