country,spec,exo,max_em_iter,update_P0,coeff_method,overall,rho,max_norm_Ak,bench_dist,reason,GDP_YoY_2026,GDP_YoY_min,GDP_YoY_max,GDP_YoY_last,GDP_YoY_ci_max_width,GDP_YoY_monotone_steps,CPI_YoY_2026,CPI_YoY_min,CPI_YoY_max,CPI_YoY_last,CPI_YoY_ci_max_width,CPI_YoY_monotone_steps,counterfactual_max_abs_gdp_cpi
KEN,ENSO,ENSO,10,True,last,REJECT,1.0026079722857646,3.225635376410028,6.722657019513621,rho>=1; CI wide; counterfactual large,2.7102869590632452,-1.8935353517017024,4.091833230979036,-1.8935353517017024,3861.3700691097456,4.0,-2.32157329762811,-20.366031477097003,3.236107920945497,-20.366031477097003,6553.559895951634,4.0,21.5629971378796
KEN,ENSO,ENSO,10,True,avg4,REJECT,1.2416754597351867,4.53221780760689,5.2884341986589884,rho>=1; CI wide; counterfactual large,4.936754160932465,4.286429709189719,6.114113744516872,6.114113744516872,3897.5445377865726,4.0,-2.186133396210873,-28.077267837337438,3.5162572801012173,-28.077267837337438,6777.6874564583795,4.0,25.72477700390195
KEN,ENSO,ENSO,10,False,last,REJECT,1.0101021298731088,3.224995315168995,6.702717442139758,rho>=1; CI wide; counterfactual large,2.7694639440139763,-1.5945189799493997,4.0842286814534425,-1.5945189799493997,3885.5972848554197,4.0,-2.386968976922891,-20.879429823158823,3.2502383999180546,-20.879429823158823,6574.221096059074,4.0,21.97191528995562
KEN,ENSO,ENSO,10,False,avg4,REJECT,1.2455550289220694,4.57105798803089,5.454823814847866,rho>=1; CI wide; counterfactual large,5.0361348875691165,4.2854683629552,6.390809061187635,6.390809061187635,3913.9903832910722,4.0,-2.297814878797915,-28.769080832549584,3.529494161500371,-28.769080832549584,6801.081324215102,4.0,26.276758188995423
KEN,ENSO,ENSO,30,True,last,REJECT,3.066277916765541e+33,3.502197442757145e+167,4.6909222106711485e+165,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide,-2.0064572484838057e+165,-5.653216954627573e+232,1.8435043596898826e+199,-5.653216954627573e+232,inf,2.0,4.474108270312239e+165,-4.10863947493329e+199,1.259982243439697e+233,1.259982243439697e+233,inf,2.0,0.0
KEN,ENSO,ENSO,30,True,avg4,REJECT,1.5322659973095457e+32,4.1287741769189044e+161,9.599969846803155e+161,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide,-8.360960057529939e+161,-6.311990765056859e+226,5.0401684639885344e+194,-6.311990765056859e+226,inf,3.0,-2.065016315455359e+161,-6.195048946366077e+161,9.611096437367012e+226,9.611096437367012e+226,inf,3.0,0.0
KEN,ENSO,ENSO,30,False,last,REJECT,3.463755976557287e+19,6.316313825348565e+97,3.175044728795545e+97,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide,2.9355169384516304e+97,7.350077970568546e+58,1.0567673080431279e+137,1.0567673080431279e+137,4.201414531925974e+145,4.0,-3.992129839065242e+96,-1.4307737586405387e+136,-8.477516014087923e+57,-1.4307737586405387e+136,2.691383608169964e+145,4.0,0.0
KEN,ENSO,ENSO,30,False,avg4,REJECT,1.80351653497866e+19,3.4083494490107983e+96,2.0374385546508907e+96,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide,-6.905096070552526e+95,-1.1462135355839505e+135,1.449312491924213e+116,-1.1462135355839505e+135,4.17894327223321e+145,2.0,2.2448815793260635e+96,-5.7936808116156505e+115,1.9116019492197523e+135,1.9116019492197523e+135,2.679324938040249e+145,2.0,0.0
KEN,ENSO,ENSO,50,True,last,REJECT,3.927369275091702e+59,1.2398181552720556e+298,1.0571165835702422e+295,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide,4.9336765904351077e+294,-3.760677804255113e+235,1.4801029771305323e+295,,inf,1.0,-9.39581540877886e+294,-2.818744622633658e+295,7.184592331117854e+235,,inf,1.0,0.0
KEN,ENSO,ENSO,50,True,avg4,REJECT,6.58966745891269e+59,1.378411123497573e+299,1.6155989127165755e+296,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide,-8.422473295655414e+295,-inf,-5.917447608143226e+176,,inf,3.0,1.2889193052517234e+296,9.486167012635403e+176,inf,,inf,3.0,0.0
KEN,ENSO,ENSO,50,False,last,REJECT,8.0784566514287e+67,5.8644942743778504e+271,inf,rho>=1; finite-horizon amplification; GDP/CPI extreme; CI wide,inf,-9.185607132461573e+270,inf,,inf,1.0,-inf,-inf,7.420128081400019e+270,,inf,1.0,0.0
KEN,ENSO,ENSO,50,False,avg4,REJECT,,,,LinAlgError: SVD did not converge,,,,,,,,,,,,,
KEN,HeatDry,HeatDry,10,True,last,KEEP,0.7472701508967251,0.8202165932072911,0.7431212613472289,ok,4.836830424996976,4.584919714605204,5.508971698442337,5.508971698442337,0.7313681465426587,4.0,5.222848606082913,4.960210999760303,6.692434193667505,6.692434193667505,1.3931275933443086,6.0,0.5882630662758519
