country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,CPIF_YoY,quarter
AUS,4.512439190759254,1.359516616314199,-2.837462163,6.008781099299787,3.806444119681515,1997-01-01
AUS,5.508290106,0.2998500749625187,2.951678925740886,6.592645900235383,3.680467938686129,1997-04-01
AUS,5.6700765948696885,-0.448430493,7.159469267943974,4.1177825655688505,2.190733084602198,1997-07-01
AUS,6.940312013609873,-0.298507463,14.910971559144205,2.243368058708084,1.680229225597347,1997-10-01
AUS,6.747520243277938,-0.149031297,16.888237506647073,-10.21680626,1.753383601509535,1998-01-01
AUS,4.9388759895935275,0.7473841554559043,22.37398323963631,-11.29058994,1.824225734849569,1998-04-01
AUS,6.1129180218497225,1.351351351351351,22.85868432346272,-13.47863843,3.779623333601401,1998-07-01
AUS,5.335698135687306,1.497005988023952,11.013658939442571,-10.20734114,4.866730799097515,1998-10-01
AUS,5.5261796461901325,1.194029850746269,5.083331483988407,-6.81738281,5.221641960259592,1999-01-01
AUS,5.293568810396532,1.038575667655786,-3.786410818,-8.654127794,4.563952794019009,1999-04-01
AUS,5.308210206434039,1.777777777777778,-7.955096639,5.316159161471878,2.985416873006755,1999-07-01
AUS,5.184956684918118,1.91740413,-3.165001496,11.697352743738332,1.396446831,1999-10-01
AUS,7.351237091,2.802359882,0.3239594860574568,19.56776453419362,0.2711625345851651,2000-01-01
AUS,8.142132879304786,3.083700440528634,10.73722484704649,20.15038094920638,1.081085002301297,2000-04-01
AUS,8.885337048254582,6.113537118,13.307440586555286,10.804463823203946,-0.423172645,2000-07-01
AUS,6.429933036805324,5.788712011577424,20.95231555,3.7249001008676785,0.1652417359487903,2000-10-01
AUS,6.206111216549637,6.025824964131994,18.93590148405433,-1.324019444,4.787419128,2001-01-01
AUS,5.887964789268207,6.125356125356125,15.008700268381167,2.9050099024744425,4.460454020669119,2001-04-01
AUS,5.4643591501028155,2.469135802469136,11.79200685935642,2.3694256461189944,6.313124250050029,2001-07-01
AUS,7.426691772,3.146374829001368,3.980562026,-4.479626042,9.570824904,2001-10-01
AUS,6.820720157255189,2.976995940460081,2.4842258033114906,0.214271894,5.238238581090982,2002-01-01
AUS,7.562031207680864,2.818791946308725,-6.954901357,0.3243532117536807,3.453970641030289,2002-04-01
AUS,6.831955027701508,3.212851406,-6.238711478,2.220131472,4.130771748730051,2002-07-01
AUS,7.160682509231409,2.917771883289125,-8.253039287,8.563213732968645,2.250374678736497,2002-10-01
AUS,5.980573591,3.285151117,-12.59289066,10.458927865521318,4.172644994,2003-01-01
AUS,5.190700829402162,2.610966057441253,-13.82469344,7.461905967145288,4.828918860338864,2003-04-01
AUS,6.164390506027506,2.594033722438392,-16.76228386,4.966086797356661,2.777738615880836,2003-07-01
AUS,7.051208529269504,2.448453608247423,-22.02244349,12.005839677846009,3.067284115028818,2003-10-01
AUS,7.945206830894902,2.035623409669211,-22.54787868,18.53440772,3.121821481020916,2004-01-01
AUS,8.583823076810337,2.544529262086514,-10.47320347,20.715393649300307,1.912479627084669,2004-04-01
AUS,7.610948228934888,2.275600505689001,-7.201865452,24.82615277073108,1.470448825816686,2004-07-01
AUS,6.811289729029735,2.515723270440252,-5.37146128,21.806520222166892,1.184496972420837,2004-10-01
AUS,6.762234215,2.369077306733167,-1.503049722,13.899403337940242,-0.263130976,2005-01-01
AUS,7.328924281279514,2.481389578163772,-7.029614546,26.813800286081467,1.182229355854356,2005-04-01
AUS,8.312884660611196,3.090234857849197,-6.642208601,24.21399730838283,3.051895269592448,2005-07-01
AUS,8.812228788242216,2.822085889570552,0.7997116702960216,22.10092031024473,3.692946686,2005-10-01
AUS,8.068706635677625,2.923264312,5.082984323160944,19.398459562937532,4.465507718312109,2006-01-01
AUS,7.220824949698179,3.995157384987893,3.003285789670551,10.635603823488603,10.63139742365246,2006-04-01
AUS,7.857596427620384,3.956834532374101,0.3484091173804771,18.75184522973552,13.21972695087875,2006-07-01
AUS,8.336639933306888,3.341288782816229,-2.631888204,15.692996666099823,11.04524367,2006-10-01
AUS,9.780103136065144,2.485207100591716,-5.929201398,17.653194427497777,4.930418557849137,2007-01-01
AUS,9.947377886201746,2.095459837,-10.19172995,19.175650181170155,1.458896910510088,2007-04-01
AUS,8.518849112145087,1.845444059976932,-10.64030037,12.735849344842109,0.7667460853079873,2007-07-01
AUS,7.695495022215981,2.886836027713626,-13.42372533,15.428840498590034,-0.262479645,2007-10-01
AUS,7.820330116352481,4.272517321016166,-13.26399078,22.487971085192623,6.250422581618961,2008-01-01
AUS,9.026419657,4.446978335233751,-11.93948843,37.33666153388033,3.079395430678202,2008-04-01
AUS,10.743324361312268,4.983012457531144,-5.260839487,47.53237259378766,2.255526708701738,2008-07-01
AUS,8.875926651139455,3.703703703703704,32.30102538700426,17.137784268696432,5.491386894782845,2008-10-01
AUS,6.548079143118146,2.436323366555925,36.55668848979232,-3.407584746,5.790041168178721,2009-01-01
AUS,2.347895569362235,1.419213973799127,24.59034039014414,-26.32569612,4.808259560360455,2009-04-01
AUS,-0.486730279,1.186623516720604,7.432170089378398,-28.38981508,1.708171812276005,2009-07-01
AUS,1.5895753139395508,2.056277056277056,-26.03892703,-5.847042868,1.191697238400191,2009-10-01
AUS,3.4664907983166904,2.918918918918919,-26.57452325,11.55870277477742,-0.20920008,2010-01-01
AUS,8.679663749864574,3.121636167922497,-14.15468656,49.88300720012171,0.9088832668144752,2010-04-01
AUS,9.892427355910783,2.878464818763326,-7.795803413,45.91999772680646,1.492585836684368,2010-07-01
AUS,9.357782208722345,2.757158006362672,-7.916632305,42.973021620819665,2.389087770733482,2010-10-01
AUS,8.668176217,3.256302521008403,-10.03172667,36.922041839823486,5.288573632628917,2011-01-01
AUS,7.5906313406753245,3.549060542797495,-16.98683321,29.47231389268492,7.620577977851955,2011-04-01
AUS,7.961179639541749,3.419689119170984,-14.02175235,32.08677543613263,7.853422453335329,2011-07-01
AUS,6.355720403966969,2.992776057791538,-2.356649285,16.668559752712554,2.261783414706999,2011-10-01
AUS,4.874363156953887,1.627670396744659,-4.769915059,9.123061032148772,-5.146011825,2012-01-01
AUS,3.7722788466779233,1.209677419354839,5.172191093023959,-3.581030805,-5.989330078,2012-04-01
AUS,2.211216704591079,2.004008016032064,1.097584867769541,-13.02805539,-2.81004,2012-07-01
AUS,2.380857012392945,2.204408817635271,-2.659808038,-8.943472539,-0.764044594,2012-10-01
AUS,3.1486122615303147,2.502502502502503,1.6061829195288535,-1.014337273,1.355843952,2013-01-01
