country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD_OLD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star,country_add,dates,PRITHVI_MOISTURE_STD
AUS,4.512439190759254,1.359516616314199,-2.837462163,6.008781099299787,3.806444119681515,1/1/97,1997,0.22810718381917944,5.546164397457266,4.314068944306992,10.2,2.5045976004904213,-0.383333333,,,,,,,6.034583491826007,,AUS,1-Jan-97,-2.25E-07
AUS,5.508290106,0.2998500749625187,2.951678925740886,6.592645900235383,3.680467938686129,4/1/97,1997,0.22810718381917944,5.546164397457266,4.311271716,10.1,-4.801525394,0.63,,,,,,,5.475311305217639,,AUS,1-Apr-97,-7.42E-07
AUS,5.6700765948696885,-0.448430493,7.159469267943974,4.1177825655688505,2.190733084602198,7/1/97,1997,0.22810718381917944,5.546164397457266,4.674702492340366,8.7,-5.42730203,1.86,,,,,,,10.028822271724422,,AUS,1-Jul-97,-4.24E-06
AUS,6.940312013609873,-0.298507463,14.910971559144205,2.243368058708084,1.680229225597347,10/1/97,1997,0.22810718381917944,5.546164397457266,4.483552816031211,8.6,-11.52826123,2.3533333333333335,,,,,,,15.811922343774588,,AUS,1-Oct-97,-7.26E-06
AUS,6.747520243277938,-0.149031297,16.888237506647073,-10.21680626,1.753383601509535,1/1/98,1998,0.8616775494578017,18.28364100229717,4.855526883310857,7.3,-20.35027766,1.9166666666666667,,,,,,,29.640810057267387,,AUS,1-Jan-98,-1.13E-05
AUS,4.9388759895935275,0.7473841554559043,22.37398323963631,-11.29058994,1.824225734849569,4/1/98,1998,0.8616775494578017,18.28364100229717,4.092790086,7,-18.2629279,0.32,,,,,,,31.215054806697303,,AUS,1-Apr-98,-5.83E-06
AUS,6.1129180218497225,1.351351351351351,22.85868432346272,-13.47863843,3.779623333601401,7/1/98,1998,0.8616775494578017,18.28364100229717,4.103452727565782,7.9,-22.54974208,-1.176666667,,,,,,,31.45558443871323,,AUS,1-Jul-98,-3.34E-06
AUS,5.335698135687306,1.497005988023952,11.013658939442571,-10.20734114,4.866730799097515,10/1/98,1998,0.8616775494578017,18.28364100229717,4.883126568525764,9.2,-24.64637002,-1.536666667,,,,,,,15.520921991738062,,AUS,1-Oct-98,-1.33E-06
AUS,5.5261796461901325,1.194029850746269,5.083331483988407,-6.81738281,5.221641960259592,1/1/99,1999,1.4819468565449583,-2.455794367,4.816336792733988,9,-16.1433267,-1.32,,,,,,,27.06323041696765,1.8147792616538168,AUS,1-Jan-99,-3.26E-07
AUS,5.293568810396532,1.038575667655786,-3.786410818,-8.654127794,4.563952794019009,4/1/99,1999,1.4819468565449583,-2.455794367,4.721885912228041,7.9,-3.119260323,-1.15,,,,,,,28.683131768547007,3.693240935610519,AUS,1-Apr-99,-9.28E-07
AUS,5.308210206434039,1.777777777777778,-7.955096639,5.316159161471878,2.985416873006755,7/1/99,1999,1.4819468565449583,-2.455794367,4.791118246732284,7.7,18.299252699131777,-1.16,,,,,,,29.326902824619168,9.051793926,AUS,1-Jul-99,-2.08E-06
