country,method,iter,obj,log_likelihood,trace_Q,eig_min_Q,eig_max_Q,trace_R,eig_min_R,eig_max_R,trace_P0,eig_min_P0,eig_max_P0,theta0_change_norm,theta0_change_std
BRA,fixed_P0,1,0.7438896503242847,-658.5329039027247,3.6155589919488555,3.3811417754601906e-05,2.2107596425715217,6.605805274029596,0.01864776815855297,6.32979225327712,274.4529892445134,0.00028809304106095727,187.88737089981524,1.6124322524580053,13.961794212559903
BRA,fixed_P0,2,0.5267700975384189,-536.2399412646324,2.8245757089856456,3.380754723318574e-05,1.788037986619469,1.9588653983595719,0.021451448719258512,1.5732520139127133,274.4529892445134,0.00028809304106095727,187.88737089981524,0.3773496845558525,1.8664143453190551
BRA,fixed_P0,3,0.4567468168598563,-484.05983989921833,2.090592965919241,3.3802428683305256e-05,1.2723066064563244,1.148770735209075,0.024500691127685714,0.6930214126776026,274.4529892445134,0.00028809304106095727,187.88737089981524,0.30359095191231017,1.1198774741094866
BRA,fixed_P0,4,0.45364087201474423,-451.7750741916735,1.5374732000113411,3.3789086940396415e-05,0.8665661197282089,0.9119292574517506,0.027736910299008634,0.42379587500020666,274.4529892445134,0.00028809304106095727,187.88737089981524,0.1801882600593756,0.7960082712501609
BRA,fixed_P0,5,0.4672634270775241,-429.13673442316656,1.1690333319462716,3.3768022641779645e-05,0.608873563854907,0.8278472203084459,0.03095411559092272,0.42153322504899027,274.4529892445134,0.00028809304106095727,187.88737089981524,0.10016360362249953,0.6348402941305494
BRA,fixed_P0,6,0.4856845596877489,-413.2129427382602,0.9297535962591935,3.3740924823978486e-05,0.45816723181779173,0.7989959519307259,0.033941479146361885,0.43488438047483535,274.4529892445134,0.00028809304106095727,187.88737089981524,0.07758014955931396,0.5156570002611871
BRA,fixed_P0,7,0.5051583151037831,-402.09434616151617,0.7698644554579845,3.37091539783133e-05,0.3694581581631944,0.7930602233625186,0.03655522769154426,0.44542805372283656,274.4529892445134,0.00028809304106095727,187.88737089981524,0.07020454557740281,0.4155103101025443
BRA,fixed_P0,8,0.5241896050347838,-394.13787473023837,0.6577962810821437,3.3673668540574924e-05,0.3133158232898096,0.7968867061752696,0.038735141046995804,0.45381533764437415,274.4529892445134,0.00028809304106095727,187.88737089981524,0.06383175845287081,0.33537508982877295
BRA,fixed_P0,9,0.5421078174263447,-388.1635587761752,0.5754010144883162,3.363517126472684e-05,0.2744557146118992,0.804579707069898,0.040487885515216676,0.4606018862688906,274.4529892445134,0.00028809304106095727,187.88737089981524,0.05865988132670586,0.27870014870766163
BRA,fixed_P0,10,0.5586333057259114,-383.451619468387,0.5123283325396263,3.359421865649446e-05,0.24558506330697558,0.8134233401687236,0.04185919741431251,0.4661979539335037,274.4529892445134,0.00028809304106095727,187.88737089981524,0.054928433801946494,0.24080771307770044
BRA,fixed_P0,11,0.5736940750766304,-379.58793081691687,0.46248611418250873,3.355126962113956e-05,0.22308177522782124,0.822187388889037,0.042909604259960786,0.4708935519886608,274.4529892445134,0.00028809304106095727,187.88737089981524,0.052110192426599124,0.21454918990197708
BRA,fixed_P0,12,0.5873272712014436,-376.3277636029526,0.4221181465273439,3.350669973484971e-05,0.20497348430836348,0.8303485535942909,0.043698983274333844,0.47488377850926033,274.4529892445134,0.00028809304106095727,187.88737089981524,0.04973398683538475,0.1950285072109121
BRA,fixed_P0,13,0.5996226953452891,-373.51703443185147,0.38879265421740944,3.346080640494345e-05,0.19008063789182333,0.8377183629686215,0.0442792479698807,0.47829849172092054,274.4529892445134,0.00028809304106095727,187.88737089981524,0.04756623135431872,0.17976077635819443
BRA,fixed_P0,14,0.6106912372754559,-371.0524999811552,0.3608625318420313,3.341381586778547e-05,0.17763994328130606,0.8442637910477018,0.04469236046536732,0.4812276201096064,274.4529892445134,0.00028809304106095727,187.88737089981524,0.045525000649425336,0.16755355779944972
BRA,fixed_P0,15,0.6206480223014632,-368.86154819429794,0.33716747075325304,3.3365893384920644e-05,0.16712586485201236,0.8500207947581826,0.04497103974199662,0.48373807126500434,274.4529892445134,0.00028809304106095727,187.88737089981524,0.04359369906479148,0.15774382517161453
BRA,fixed_P0,16,0.6296038549127558,-366.89122987038235,0.316862665684036,3.331715480880358e-05,0.15815898859796534,0.8550527216625932,0.04514044143863225,0.48588326601670184,274.4529892445134,0.00028809304106095727,187.88737089981524,0.04177636014951904,0.1498710090807987
BRA,fixed_P0,17,0.6376612231200732,-365.101837889734,0.2993159809264858,3.32676776875498e-05,0.150455379984563,0.859430475012151,0.04521992123862056,0.4877079246534897,274.4529892445134,0.00028809304106095727,187.88737089981524,0.04007963930016041,0.1435685573030593
