lat,lon,6,7,8,9,10,11,12,1,2,3,4
-56,-68,-16.28269005,-5.191436291,-5.133333206,-10.74483871,-10.77532673,-13.64855671,-13.99385834,-14.52685833,-14.73300362,0,0
-56,-67,-15.77254105,-6.361541271,-4.930232048,-9.587957382,-9.49813652,-12.16352844,-12.59581089,-11.8073082,-11.77872944,0,0
-55,-72,-8.400551796,-2.35086298,-13.87673759,-22.31009674,-26.06825638,-25.65727043,-20.59917259,-25.40983582,-24.25009727,0,0
-55,-71,-14.84521961,-4.596806526,-12.44585228,-20.13666916,-23.24396706,-23.95562363,-20.84512901,-26.1140213,-25.45441246,0,0
-55,-70,-22.03086853,-7.575648308,-12.89779663,-18.32945442,-20.17169762,-23.80386925,-19.6934166,-21.78152466,-23.7600975,0,0
-55,-69,-17.93989754,-4.951956272,-7.280040741,-12.24230289,-12.15476322,-14.5445137,-13.03057575,-12.24421978,-16.43605995,0,0
-55,-68,-14.38058567,-3.630249977,-2.727832317,-5.66585207,-5.561227322,-7.09637022,-8.923347473,-5.990239143,-10.10508156,0,0
-55,-67,-13.0057888,-3.759032726,-2.115779877,-2.96099782,-2.464322329,-5.650452614,-7.472167492,-5.439859867,-6.851883411,0,0
-54,-74,1.9082133769989016,-2.138525724,-17.34974289,-27.87322044,-34.52188873,-31.97596931,-19.96576881,-31.75936317,-29.86933136,0,0
-54,-73,-7.095614433,-4.052571297,-18.16234589,-27.51981163,-32.47419357,-31.421772,-18.65370369,-31.92750359,-31.52248383,0,0
-54,-72,-16.04682159,-6.272366524,-17.21849442,-24.68558693,-27.42226601,-28.27952003,-21.11729622,-30.07840347,-30.04167747,0,0
-54,-71,-16.17876244,-4.576076508,-11.58948708,-18.91394615,-21.47507286,-20.74818993,-19.34631538,-24.28995132,-25.42111969,0,0
-54,-70,-11.69532585,-2.210103035,-7.687815666,-13.62456226,-17.06800652,-16.0626297,-16.02400398,-18.05081558,-21.5338192,0,0
-54,-69,-7.80968523,0.1777760684490203,-4.546326637,-8.898159027,-12.01658344,-12.25837898,-12.38434887,-11.35206795,-14.9754343,0,0
-53,-74,-2.087000132,-2.388553858,-21.3163681,-32.01216125,-40.75893784,-39.75989914,-20.60640717,-40.02001572,-39.20994186,0,0
-53,-73,-12.09768391,-4.951202869,-23.03547096,-30.37203407,-35.53258896,-36.9405365,-22.52993393,-37.79681396,-36.57870865,0,0
-53,-72,-12.43292427,-1.670981884,-13.2882452,-18.75510979,-19.76098824,-21.53794289,-16.75840569,-24.58384895,-24.4859333,0,0
-53,-71,-9.114372253,0.984002173,-5.920993805,-9.315276146,-8.685420036,-10.07315826,-10.22120857,-10.97913265,-13.17904949,0,0
-53,-70,-5.607978821,2.7940170764923096,-2.885597467,-5.247535706,-5.477856636,-7.529469013,-7.760393143,-5.033984184,-8.976904869,0,0
-53,-69,-3.214942217,2.9792356491088867,-0.846378148,-2.372769594,-3.815764666,-6.364583969,-6.167414665,-3.157315254,-6.903784275,0,0
-52,-75,2.997933149337769,-0.743970037,-19.13653374,-33.5032959,-41.66240311,-39.24509811,-19.49505615,-43.05984116,-42.09279251,0,0
-52,-74,-10.00749302,-4.900897503,-25.06027603,-35.07303238,-42.9094429,-44.29281998,-24.96496391,-46.56814194,-42.66179657,0,0
-52,-73,-14.27725887,-3.161407709,-18.30871964,-23.06819534,-25.98520088,-29.99755478,-20.68486595,-33.19868088,-29.91308594,0,0
-52,-72,-10.73163891,0.4580890536308288,-7.73864603,-9.284524918,-8.069754601,-12.81706619,-13.15626526,-15.91879463,-14.83296204,0,0
-52,-71,-6.61947298,3.3757715225219727,-3.046584129,-2.455417633,-0.334769726,-5.717984676,-8.164923668,-4.28614521,-6.659597397,0,0
-52,-70,-2.847347975,4.666846275,-0.385972083,-0.291652918,1.8086832761764529,-3.177021503,-5.846579075,0.4119755327701568,-3.535125256,0,0
-52,-69,-3.001757622,3.0244648456573486,0.2104802429676056,0.5194653868675232,1.738343596458435,-2.350130081,-4.032124996,0.8648874759674072,-4.594134331,0,0
-52,-68,-5.263498783,0.9045512676239014,0.006792658,0.092242323,1.549615740776062,-2.203513384,-3.437102318,-0.092149265,-5.420247078,0,0
-51,-75,-3.901311159,-3.984743834,-23.88735962,-39.95809174,-50.37896729,-48.31270599,-28.39396477,-54.26854706,-49.09805298,0,0
-51,-74,-25.24033737,-10.79914665,-33.18927765,-45.82256699,-55.22687531,-58.3950882,-36.14228821,-57.93344498,-51.82207489,0,0
-51,-73,-20.76611519,-7.064932346,-16.38839531,-23.58376884,-26.17965889,-30.43759155,-21.79577446,-31.99178886,-28.0606041,0,0
-51,-72,-11.04448509,-0.074741878,-2.886107206,-5.915006161,-2.840237379,-7.041948318,-10.08556557,-9.465514183,-8.876870155,0,0
-50,-75,-2.463417053,-4.257193089,-27.58148193,-47.9577446,-64.7997818,-57.78853226,-30.42410088,-67.32883453,-57.05326843,0,0
-50,-74,-28.14916611,-15.49708366,-41.97053528,-57.79779816,-78.88169098,-78.63056946,-48.33638763,-78.86392975,-65.76229095,0,0
-50,-73,-21.04893112,-3.590621948,-10.10554886,-22.98089027,-27.14817047,-31.42271996,-23.04648018,-35.79922867,-28.77701759,0,0
-49,-76,11.109006881713867,-4.299434185,-19.50520515,-35.01303101,-50.81692123,-43.75305939,-21.647789,-50.31544876,-35.15590286,0,0
-49,-75,-0.58570075,-4.42124033,-30.05394363,-50.65433502,-71.83904266,-60.50778198,-31.78253174,-72.20184326,-56.66093445,0,0
-49,-74,-24.95879173,-10.23647499,-36.24475479,-56.05983734,-81.94616699,-76.26840973,-43.77115631,-81.38050842,-63.19515991,0,0
-49,-73,-23.39746475,-1.999753833,-15.2774353,-30.12230873,-41.14689636,-44.00474548,-27.49348831,-48.19200134,-35.84631348,0,0
-48,-76,7.504318237304688,-4.196657181,-16.49887085,-29.40534782,-43.67351532,-38.09580994,-17.60225677,-44.46733093,-29.32386208,0,0
-48,-75,-1.999398232,1.487955093383789,-20.85502052,-41.1452446,-62.95587921,-55.5334816,-23.15528679,-68.7620163,-47.55237579,0,0
-48,-74,-26.49864197,-5.047976494,-27.43306732,-49.05847931,-73.85593414,-69.23561096,-32.37431335,-76.32189941,-54.14422226,0,0
-48,-73,-30.82376099,-7.049581528,-18.24488831,-30.20733452,-41.43891907,-47.48861694,-22.70755386,-43.20028305,-32.50854111,0,0
-48,-72,-17.15007782,4.450926780700684,-1.620452523,-9.381216049,-8.576633453,-14.73368168,-5.818105221,-12.76159286,-9.521391869,0,0
-47,-76,-0.629930437,-0.747154474,-10.35415173,-22.12454605,-31.80373573,-31.45325851,-11.71465206,-32.78549194,-20.28681755,0,0
-47,-75,-12.84639359,-0.476534158,-9.213709831,-30.90361214,-45.28422928,-47.74402618,-17.13230324,-49.31695557,-38.90007782,0,0
