lat,lon, 5, 6, 7, 8, 9,10,11,12, 1, 2, 3, 4
90,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0.03744207,0.03744207,0.03744207,0.03744207,0.04622482,0.04622482,0.04622482,0.008782757,0,0.03744207,0.03744207,0.03744207
53,0,0.1311884,0.1311884,0.1311884,0.1311884,0.1619609,0.1619609,0.1619609,0.03077252,0,0.1311884,0.1311884,0.1311884
52,0,0.1375787,0.1375787,0.1375787,0.1375787,0.1698501,0.1698501,0.1698501,0.0322714,0,0.1375787,0.1375787,0.1375787
51,0,0.03717044,0.03717044,0.03717044,0.03717044,0.04588953,0.04588953,0.04588953,0.008719094,0,0.03717044,0.03717044,0.03717044
50,0,0.01396998,0.01396998,0.01396998,0.01396998,0.01396998,0.01396998,0.01396998,0,0,0.01396998,0.01396998,0.01396998
49,0,0.1191601,0.1191601,0.1191601,0.1191601,0.1191601,0.1191601,0.1191601,0,0,0.1191601,0.1191601,0.1191601
48,0,0.09125455,0.09125455,0.09125455,0.09125455,0.09125455,0.09125455,0.09125455,0,0,0.09125455,0.09125455,0.09125455
47,0,0.07761284,0.07761284,0.07761284,0.07761284,0.07761284,0.07761284,0.07761284,0,0,0.07761284,0.07761284,0.07761284
46,0,0.06124998,0.06124998,0.06124998,0.06124998,0.06124998,0.06124998,0.06124998,0,0,0.06124998,0.06124998,0.06124998
45,0,0.04974313,0.04974313,0.04974313,0.04974313,0.04974313,0.04974313,0.04974313,0,0,0.04974313,0.04974313,0.04974313
44,0,0.0383775,0.0383775,0.0383775,0.0383775,0.0383775,0.0383775,0.0383775,0,0,0.0383775,0.0383775,0.0383775
43,0,0.02065843,0.02065843,0.02065843,0.02065843,0.02223329,0.02223329,0.02223329,0.001574862,0,0.01999871,0.01999871,0.02065843
42,0,0.007108246,0.007108246,0.007108246,0.007108246,0.02273081,0.02273081,0.02273081,0.01562256,0,0,0,0.007108246
41,0,0.007128521,0.007128521,0.007128521,0.007128521,0.01934026,0.01934026,0.01934026,0.01221174,0,0,0,0.007128521
40,0,0.0003664576,0.0003664576,0.0003664576,0.0003664576,0.0008508374,0.0008508374,0.0008508374,0.0004843799,0,0,0,0.0003664576
39,0,0.0002545596,0.0002545596,0.0002545596,0.0002545596,0.0005270507,0.0005270507,0.0005270507,0.0002724911,0,0,0,0.0002545596
38,0,1.437943e-05,1.437943e-05,1.437943e-05,1.437943e-05,2.976469e-05,2.976469e-05,2.976469e-05,1.538527e-05,0,0,0,1.437943e-05
37,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0.05276601,0.05276601,0.05276601,0.05276601,0.05276601,0,0,0,0,0,0.05276601,0.05276601
35,0,0.1299613,0.1299613,0.1299613,0.1299613,0.1299613,0,0,0,0,0,0.1299613,0.1299613
34,0,0.001611906,0.001611906,0.001611906,0.001611906,0.001611906,0,0,0,0,0,0.001611906,0.001611906
33,0,0.0009672834,0.0009672834,0.0009672834,0.0009672834,0.0009672834,0,0,0,0,0,0.0009672834,0.0009672834
32,0,1.783433e-06,1.783433e-06,1.783433e-06,1.783433e-06,1.783433e-06,0,0,0,0,0,1.783433e-06,1.783433e-06
31,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,4.530396e-05,4.530396e-05,4.530396e-05,4.530396e-05,4.530396e-05,0,0,0,0,0,4.530396e-05,4.530396e-05
29,0,0.003781612,0.003781612,0.003781612,0.003781612,0.003781612,0,0,0,0,0,0.003781612,0.003781612
28,0,0.005857404,0.005857404,0.005857404,0.005857404,0.005857404,0,0,0,0,0,0.005857404,0.005857404
27,0,0.005217263,0.005217263,0.005217263,0.005217263,0.005217263,0,0,0,0,0,0.005217263,0.005217263
26,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,7.150718e-06,7.150718e-06,7.150718e-06,7.150718e-06,7.150718e-06,7.150718e-06,7.150718e-06,0,0,0,7.150718e-06,7.150718e-06
14,0,5.601453e-06,5.601453e-06,5.601453e-06,5.601453e-06,5.601453e-06,5.601453e-06,5.601453e-06,0,0,0,5.601453e-06,5.601453e-06
13,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0,0
-4,0,0,0,0,0,0,0,0,0,0,0,0,0
-5,0,0,0,0,0,0,0,0,0,0,0,0,0
-6,0,0,0,0,0,0,0,0,0,0,0,0,0
-7,0,0,0,0,0,0,0,0,0,0,0,0,0
-8,0,0,0,0,0,0,0,0,0,0,0,0,0
-9,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,0,0,0,0,0,0,0,0,0,0,0,0,0
-11,0,0,0,0,0,0,0,0,0,0,0,0,0
-12,0,0,0,0,0,0,0,0,0,0,0,0,0
-13,0,0,0,0,0,0,0,0,0,0,0,0,0
-14,0,0,0,0,0,0,0,0,0,0,0,0,0
-15,0,0,0,0,0,0,0,0,0,0,0,0,0
-16,0,0,0,0,0,0,0,0,0,0,0,0,0
-17,0,0,0,0,0,0,0,0,0,0,0,0,0
