quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,country,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star
1980-01-01,,,,,,ALB,1980,,,1.420553641544986,,47.61723941522688,0.2633333333333333,,,,,,,,
1980-04-01,,,,,,ALB,1980,,,-0.775068743967744,,18.084202394746995,0.0733333333333333,,,,,,,,
1980-07-01,,,,,,ALB,1980,,,-1.623745716089553,,3.575191402683142,-0.24,,,,,,,,
1980-10-01,,,,,,ALB,1980,,,-0.0390515314881989,,2.6314079656942324,-0.1033333333333333,,,,,,,,
1981-01-01,,,,,,ALB,1981,,,1.6000011986558205,,-0.5723472668810348,-0.5466666666666667,,,,,,,,
1981-04-01,,,,,,ALB,1981,,,2.9686706612209957,,-5.698024335993701,-0.52,,,,,,,,
1981-07-01,,,,,,ALB,1981,,,4.325718700878034,,-3.248338532483397,-0.4533333333333333,,,,,,,,
1981-10-01,,,,,,ALB,1981,,,1.2998250196119887,,-9.337807039756918,-0.3033333333333333,,,,,,,,
1982-01-01,,,,,-22.87806628981851,ALB,1982,,,-2.190515056799669,,-14.009443114934362,0.03,,,,,,,,
1982-04-01,,,,,-5.879983856442239,ALB,1982,,,-1.01074523771415,,-6.021505376344094,0.3966666666666666,,,,,,,,
1982-07-01,,,,,3.1261987565750493,ALB,1982,,,-2.5560417516138023,,-7.815237961729871,0.8633333333333333,,,,,,,,
1982-10-01,,,,,-5.727469581894862,ALB,1982,,,-1.4431837563933958,,-8.847147545562429,2.036666666666666,,,,,,,,
1983-01-01,,,,,3.7956050711938527,ALB,1983,,,1.4314731652409485,,-7.717186912373064,1.89,,,,,,,,
1983-04-01,,,,,-23.556061880788835,ALB,1983,,,3.268479687025838,,-6.237543367535259,0.7966666666666667,,,,,,,,
