quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,country
1980-01-01,,,,,,ALB
1980-04-01,,,,,,ALB
1980-07-01,,,,,,ALB
1980-10-01,,,,,,ALB
1981-01-01,,,,,,ALB
1981-04-01,,,,,,ALB
1981-07-01,,,,,,ALB
1981-10-01,,,,,,ALB
1982-01-01,,,,,-22.87806628981851,ALB
1982-04-01,,,,,-5.879983856442239,ALB
1982-07-01,,,,,3.1261987565750493,ALB
1982-10-01,,,,,-5.727469581894862,ALB
1983-01-01,,,,,3.7956050711938527,ALB
1983-04-01,,,,,-23.556061880788835,ALB
1983-07-01,,,,,-25.684159150413567,ALB
1983-10-01,,,,,-3.49858892792424,ALB
1984-01-01,,,,,8.338739983790244,ALB
1984-04-01,,,,,-8.732890571042173,ALB
1984-07-01,,,,,-3.822381025465149,ALB
1984-10-01,,,,,-6.531476822444981,ALB
1985-01-01,,,,,-17.75711734262243,ALB
1985-04-01,,,,,14.490890886574848,ALB
1985-07-01,,,,,2.714044745090005,ALB
1985-10-01,,,,,-21.399926486304764,ALB
1986-01-01,,,,,23.418710060069348,ALB
1986-04-01,,,,,21.827061171818208,ALB
1986-07-01,,,,,83.05431977587601,ALB
1986-10-01,,,,,51.64259219346299,ALB
1987-01-01,,,,,-4.745067208858766,ALB
1987-04-01,,,,,-8.13822755188599,ALB
1987-07-01,,,,,-36.80514689918722,ALB
1987-10-01,,,,,-20.343229107760365,ALB
1988-01-01,,,,,2.719704778546883,ALB
1988-04-01,,,,,-10.871003377588927,ALB
1988-07-01,,,,,25.89999219483623,ALB
1988-10-01,,,,,35.99659763659684,ALB
1989-01-01,,,,,38.44979373202195,ALB
1989-04-01,,,,,36.62830032824316,ALB
1989-07-01,,,,,7.123467081745716,ALB
1989-10-01,,,,,-0.371389870059613,ALB
1990-01-01,,,,,-13.891696896846362,ALB
1990-04-01,,,,,-18.415995826087062,ALB
1990-07-01,,,,,-25.47650951124195,ALB
1990-10-01,,,,,-22.024602056363097,ALB
1991-01-01,,,,,-45.42911232657262,ALB
1991-04-01,,,,,-55.87443301329817,ALB
1991-07-01,,,,,-50.32706554416508,ALB
1991-10-01,,,,,38.92151918550824,ALB
1992-01-01,,,,,-24.564932788038163,ALB
1992-04-01,,,,,-6.299204087453914,ALB
1992-07-01,,,,,-10.085616791558438,ALB
1992-10-01,,,,,-55.87155911496253,ALB
1993-01-01,,,,112.08,5.3837263395654755,ALB
1993-04-01,,,,109.0333333333334,20.819627513816453,ALB
1993-07-01,,,,-1.982800584131128,-0.4629703335037316,ALB
1993-10-01,,,,-0.41062140706269457,3.5103423095091513,ALB
1994-01-01,,,,-5.290456431535273,40.73156701844736,ALB
1994-04-01,,,,-5.112422261202399,2.3058675355374536,ALB
1994-07-01,,,,-12.710237054694751,15.122692519766057,ALB
1994-10-01,,,,-6.191588785046709,10.0030902729209,ALB
1995-01-01,,,,-6.950114507617244,13.315792010154226,ALB
1995-04-01,,,,-6.792820650712528,36.68226551469969,ALB
1995-07-01,,,,4.767684430115682,77.33138347141563,ALB
1995-10-01,,,,2.003516225917501,49.395815010263576,ALB
1996-01-01,29.60592627550551,,,4.408774745853394,23.771728562832095,ALB
1996-04-01,27.565179643601144,,,16.857307706177195,8.901616879335483,ALB
1996-07-01,25.675664727988988,,,18.930562595032917,-5.141989560958438,ALB
1996-10-01,20.15984217284208,,,10.851377069194545,-4.767791314110015,ALB
1997-01-01,4.577988155125157,,,31.01704758976458,-18.713888399284162,ALB
1997-04-01,-0.7035229767890505,,,50.00138864459029,-38.05397977710715,ALB
1997-07-01,-2.0885517852196056,,,45.67745274116473,-37.06041475712092,ALB
1997-10-01,-0.8406238364212948,,,42.217615237601706,-37.44330463351949,ALB
1998-01-01,10.757694934579142,,,22.070404172099156,16.804635636284782,ALB
1998-04-01,16.494558261402425,,,-3.4993519718570565,46.29331147532474,ALB
1998-07-01,18.003148904563247,,,-6.664716391712755,47.96229502204534,ALB
1998-10-01,18.33484937735197,,,-3.4917091836734637,79.37297017925174,ALB
1999-01-01,18.26483635779992,,,-9.6979536036229,50.049989728063714,ALB
1999-04-01,15.960554228359868,,,-9.709004860578164,44.9848971020643,ALB
1999-07-01,15.784198393427351,,,-9.60216714800637,38.61173961447306,ALB
