country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star
ALB,-14.1768299112793,,31.01704758976458,-18.71388839928416,-24.160783239961916,-26.054553241555013,,1997-01-01,1997,,42.22837605328033,4.314068944,10.2,-0.004413997,-3.353378989,-0.1,,,,,,,,
ALB,-12.813956944072036,,50.00138864459029,-38.05397977710715,-36.22858088392955,-35.63442234643054,,1997-04-01,1997,,42.22837605328033,4.31127341,10.1,-6.031676182,-11.64235996,0.95,,,,,,,,
ALB,-11.602314441189565,,45.67745274116473,-37.06041475712092,-36.26343505297353,-36.04594176991124,,1997-07-01,1997,,42.22837605328033,4.674700735,8.7,-7.776594469,-13.62180186,2.01,,,,,,,,
ALB,-9.389588706685814,,42.217615237601706,-37.44330463351949,-30.075816579442005,-28.049395021341414,,1997-10-01,1997,,42.22837605328033,4.483552742,8.6,-11.74609332,-5.575669695,2.36,,,,,,,,
ALB,4.8016962544854325,,22.070404172099156,16.804635636284782,20.251785756862283,21.56926369369927,,1998-01-01,1998,,2.1036566562139702,4.855526883,7.3,-13.06143405,5.763242531,1.82,,,,,,,,
ALB,7.559671494091447,,-3.4993519718570565,46.29331147532474,40.08602071819916,38.14152770705055,,1998-04-01,1998,,2.1036566562139702,4.09279002,7.0,-9.617365075,9.708304434,0.14,,,,,,,,
ALB,10.299694865825405,,-6.664716391712755,47.96229502204534,26.6934781601851,20.98135335862523,,1998-07-01,1998,,2.1036566562139702,4.103452728,7.9,-12.89007443,6.656583063,-1.41,,,,,,,,
ALB,12.19858018016513,,-3.4917091836734637,79.37297017925174,27.322236659211185,14.87489646037423,,1998-10-01,1998,,2.1036566562139702,4.883124901,9.2,-13.89777945,8.580019556,-1.63,,,,,,,,
ALB,15.339631683771993,,-9.6979536036229,50.049989728063714,-9.352685320858733,-31.166190107277323,,1999-01-01,1999,,-8.519657674558312,4.816338367,9.0,-13.27152829,-11.14045739,-1.28,,,,,,,,
ALB,13.86777660775953,,-9.709004860578164,44.9848971020643,40.21610122179658,38.634076566515986,,1999-04-01,1999,,-8.519657674558312,4.721884279,7.9,-6.511298726,-16.14548312,-1.01,,,,,,,,
ALB,12.274536457407436,,-9.60216714800637,38.61173961447306,27.003664403202144,23.190836619084987,,1999-07-01,1999,,-8.519657674558312,4.791119787,7.7,8.028596873,-10.42963047,-0.96,,,,,,,,
ALB,9.306852502571218,,-5.069505086025816,7.822416884381833,-2.3779785937432796,-6.186869921878346,,1999-10-01,1999,,-8.519657674558312,4.823574271,6.8,18.92080027,-10.71839934,-1.38,,,,,,,,
ALB,8.104241136129975,,-1.368689974925441,9.169822886101263,47.68048478587341,84.26640926699254,,2000-01-01,2000,,4.477723070338604,4.224744798,8.8,33.32654589,-2.31141697,-1.4,,,,,,,19.864033068940653,
ALB,6.760475142333977,,1.6579425174187978,-10.749151309909411,2.243033112654813,6.688778945335083,,2000-04-01,2000,,4.477723070338604,5.244456811,9.2,28.20114123,4.737926428,-0.63,,,,,,,20.53656915739515,
ALB,6.613953088744928,,7.127643766407488,-14.836157874342016,14.982244252472832,24.65150580913207,,2000-07-01,2000,,4.477723070338604,3.973170824,8.9,23.58391285,-0.723836869,-0.37,,,,,,,22.085128931046672,
ALB,8.243165312541855,,10.493995972453574,-13.12940422448674,32.164535863319045,49.818815475563014,,2000-10-01,2000,,4.477723070338604,2.905595756,7.6,19.92049539,-0.026906846,-0.69,,,,,,,25.249425088211616,
ALB,8.28000447279904,,2.867462597792536,-3.9966207156650224,18.167638549932377,24.10562814215178,,2001-01-01,2001,,-0.08728198979670032,2.197503713,9.5,6.926041503,-1.657046314,-0.55,,,,,,,9.398108025852238,
ALB,9.75110187436632,,2.325116882935907,26.521490742716992,17.55259985407136,14.974813848729385,,2001-04-01,2001,,-0.08728198979670032,0.996298327,8.6,0.144938506,-2.29734062,-0.34,,,,,,,9.632163124673145,
ALB,9.19748891673029,,0.2730257074162745,28.670876948111367,17.58095399403612,16.33677908759754,,2001-07-01,2001,,-0.08728198979670032,0.489236293,8.0,-9.971647845,7.581183167,0.0,,,,,,,6.5434609713715375,
ALB,6.962210223262888,,-5.814733147331519,37.47507212929253,30.417336923859462,30.62376573445458,,2001-10-01,2001,,-0.08728198979670032,0.167316886,7.5,-23.36182497,0.622530745,-0.25,,,,,,,4.016756078941193,
ALB,5.6777905853586885,,-1.2107435126250232,-2.5145552428943785,5.701365073729936,9.697654291880898,,2002-01-01,2002,,-2.3157067312597728,1.337260067,9.0,-17.44242736,3.32999179,-0.03,,,,,,,7.490865991853166,
ALB,3.974186812057368,,-1.9679052137004385,9.32324080318474,11.619264349863334,11.463746272239362,,2002-04-01,2002,,-2.3157067312597728,1.325378753,8.9,-6.338137233,2.415577069,0.37,,,,,,,5.114244979113208,
ALB,3.8893868854433578,,-4.177377743860921,12.939482767960818,22.33913541758796,24.573119491419423,,2002-07-01,2002,,-2.3157067312597728,2.14651839,9.7,3.360036781,2.693157543,1.08,,,,,,,4.991805103378686,
ALB,6.069159335954333,,-1.9068004548527084,21.08329784360976,10.953467243542224,8.596249015653967,,2002-10-01,2002,,-2.3157067312597728,1.992524822,9.2,22.22363153,12.68349005,1.47,,,,,,,4.270840517989862,
ALB,5.980701960573054,,-7.608144115057947,48.20533676008534,31.502193816403224,27.147607908526528,,2003-01-01,2003,,-13.075657102072547,1.679256989,11.2,32.04818535,9.556251675,0.49,,,,,,,-2.4727626850005637,
ALB,6.119230233643846,,-14.451956471405412,35.812632893604416,33.923601839767834,32.74724739928514,,2003-04-01,2003,,-13.075657102072547,1.955066536,9.2,13.55093657,9.595027301,-0.43,,,,,,,-4.2104040603972885,
ALB,5.986515254039793,,-13.17759887590172,27.549441756183523,15.362837071112722,13.144136688726448,,2003-07-01,2003,,-13.075657102072547,3.231133966,10.1,11.68794671,6.154345421,0.16,,,,,,,-2.1527550280992456,
