country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star,OIL_YoY,IOD,HeatDry,HeatDryYoY,HeatDryF
ALB,-15.081949034520958,,31.01704758976458,31.01704758976458,-24.160783239961916,-26.054553241555013,,1997-01-01,1997,,42.22837605328033,4.314068944,10.2,-0.004413997,-3.353378989,-0.1,,,,,,,,,0.1420882669537138,0.1233333333333333,,,
ALB,-13.14473525991897,,50.00138864459029,50.00138864459029,-36.22858088392955,-35.63442234643054,,1997-04-01,1997,,42.22837605328033,4.31127341,10.1,-6.031676182,-11.64235996,0.95,,,,,,,,,-0.0753459764223476,0.06,,,
ALB,-11.259035213982449,,45.67745274116473,45.67745274116473,-36.26343505297353,-36.04594176991124,,1997-07-01,1997,,42.22837605328033,4.674700735,8.7,-7.776594469,-13.62180186,2.01,,,,,,,,,-0.1122302158273381,0.5366666666666666,,,
ALB,-8.094757169037836,,42.217615237601706,42.217615237601706,-30.075816579442005,-28.049395021341414,,1997-10-01,1997,,42.22837605328033,4.483552742,8.6,-11.74609332,-5.575669695,2.36,,,,,,,,,-0.2059322033898306,1.18,,,
ALB,4.634964933459451,,22.070404172099156,22.070404172099156,20.251785756862283,21.56926369369927,,1998-01-01,1998,,2.1036566562139702,4.855526883,7.3,-13.06143405,5.763242531,1.82,,,,,,,,,-0.3360037700282752,0.2566666666666666,,,
ALB,6.12223263332925,,-3.4993519718570565,-3.4993519718570565,40.08602071819916,38.14152770705055,,1998-04-01,1998,,2.1036566562139702,4.09279002,7.0,-9.617365075,9.708304434,0.14,,,,,,,,,-0.2610864745011085,-0.04,,,
ALB,9.82907154863888,,-6.664716391712755,-6.664716391712755,26.6934781601851,20.98135335862523,,1998-07-01,1998,,2.1036566562139702,4.103452728,7.9,-12.89007443,6.656583063,-1.41,,,,,,,,,-0.3284710967044841,-0.6866666666666666,,,
ALB,11.613634000385264,,-3.4917091836734637,-3.4917091836734637,27.322236659211185,14.87489646037423,,1998-10-01,1998,,2.1036566562139702,4.883124901,9.2,-13.89777945,8.580019556,-1.63,,,,,,,,,-0.4028815368196371,-0.6766666666666666,,,
ALB,18.68537345946695,,-9.6979536036229,-9.6979536036229,-9.352685320858733,-31.166190107277323,,1999-01-01,1999,,-8.519657674558312,4.816338367,9.0,-13.27152829,-11.14045739,-1.28,,,,,,,,,-0.1923349893541518,-0.16,,,
ALB,13.08942300532394,,-9.709004860578164,-9.709004860578164,40.21610122179658,38.634076566515986,,1999-04-01,1999,,-8.519657674558312,4.721884279,7.9,-6.511298726,-16.14548312,-1.01,,,,,,,,,0.1605401350337585,-0.1466666666666667,,,
