country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star,OIL_YoY,IOD,HeatDry,HeatDryYoY,HeatDryF
ALB,-14.17682991,,31.01704758976458,-18.7138884,-24.16078324,-26.05455324,,1997-01-01,1997,,42.22837605328033,4.314068944,10.2,-0.004413997,-3.353378989,-0.1,,,,,,,,,0.1420882669537138,0.1233333333333333,,,
ALB,-12.81395694,,50.00138864459029,-38.05397978,-36.22858088,-35.63442235,,1997-04-01,1997,,42.22837605328033,4.31127341,10.1,-6.031676182,-11.64235996,0.95,,,,,,,,,-0.0753459764223476,0.06,,,
ALB,-11.60231444,,45.67745274116473,-37.06041476,-36.26343505,-36.04594177,,1997-07-01,1997,,42.22837605328033,4.674700735,8.7,-7.776594469,-13.62180186,2.01,,,,,,,,,-0.1122302158273381,0.5366666666666666,,,
ALB,-9.389588707,,42.217615237601706,-37.44330463,-30.07581658,-28.04939502,,1997-10-01,1997,,42.22837605328033,4.483552742,8.6,-11.74609332,-5.575669695,2.36,,,,,,,,,-0.2059322033898306,1.18,,,
ALB,4.8016962544854325,,22.070404172099156,16.804635636284782,20.251785756862283,21.56926369369927,,1998-01-01,1998,,2.1036566562139702,4.855526883,7.3,-13.06143405,5.763242531,1.82,,,,,,,,,-0.3360037700282752,0.2566666666666666,,,
ALB,7.559671494091447,,-3.499351972,46.29331147532474,40.08602071819916,38.14152770705055,,1998-04-01,1998,,2.1036566562139702,4.09279002,7.0,-9.617365075,9.708304434,0.14,,,,,,,,,-0.2610864745011085,-0.04,,,
ALB,10.299694865825405,,-6.664716392,47.96229502204534,26.69347816,20.98135335862523,,1998-07-01,1998,,2.1036566562139702,4.103452728,7.9,-12.89007443,6.656583063,-1.41,,,,,,,,,-0.3284710967044841,-0.6866666666666666,,,
ALB,12.19858018016513,,-3.491709184,79.37297017925174,27.322236659211185,14.87489646037423,,1998-10-01,1998,,2.1036566562139702,4.883124901,9.2,-13.89777945,8.580019556,-1.63,,,,,,,,,-0.4028815368196371,-0.6766666666666666,,,
ALB,15.339631683771993,,-9.697953604,50.049989728063714,-9.352685321,-31.16619011,,1999-01-01,1999,,-8.519657675,4.816338367,9.0,-13.27152829,-11.14045739,-1.28,,,,,,,,,-0.1923349893541518,-0.16,,,
ALB,13.86777660775953,,-9.709004861,44.9848971,40.21610122179658,38.634076566515986,,1999-04-01,1999,,-8.519657675,4.721884279,7.9,-6.511298726,-16.14548312,-1.01,,,,,,,,,0.1605401350337585,-0.1466666666666667,,,
