country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star
SYC,,,1.8122352688863863,-59.2098961658454,23.799921655678947,212.12484297852973,,1997-07-01,1997,,1.1341624969646802,4.674702492,8.7,-7.776594469,-13.62180186,1.86,,,,,,,,
SYC,,,1.2863949533222565,-57.35666151792075,-42.74971588729785,-38.68832015753965,,1997-10-01,1997,,1.1341624969646802,4.483552816,8.6,-11.74609332,-5.575669695,2.353333333,,,,,,,,
SYC,,,3.4552736982643717,-3.5135125987319937,33.16516648543724,42.36878175248506,,1998-01-01,1998,,4.685002652059339,4.855526883,7.3,-13.06143405,5.763242531,1.916666667,,,,,,,,
SYC,,,3.299284098718336,22.877771233967657,18.12071024166304,16.678575585159262,,1998-04-01,1998,,4.685002652059339,4.092790086,7.0,-9.617365075,9.708304434,0.32,,,,,,,,
SYC,,,4.3281636737058315,73.05421422948655,17.191070058305,0.6284063649185656,,1998-07-01,1998,,4.685002652059339,4.103452728,7.9,-12.89007443,6.656583063,-1.176666667,,,,,,,,
SYC,,,7.657289137548817,26.858558782831675,-5.4132526417290165,-11.654152595512237,,1998-10-01,1998,,4.685002652059339,4.883126569,9.2,-13.89777945,8.580019556,-1.536666667,,,,,,,,
SYC,,,4.189680982861854,59.73683514020418,-3.779897970882762,-14.58141237059053,,1999-01-01,1999,,1.582058498410982,4.816336793,9.0,-13.27152829,-11.14045739,-1.32,,,,,,,,
SYC,,,3.471639130378601,51.989821552896,43.16325204776712,40.34525037701462,,1999-04-01,1999,,1.582058498410982,4.721885912,7.9,-6.511298726,-16.14548312,-1.15,,,,,,,,
SYC,,,0.9761052957024896,-10.24560085903168,-0.4525148160153258,4.5407656790326545,,1999-07-01,1999,,1.582058498410982,4.791118247,7.7,8.028596873,-10.42963047,-1.16,,,,,,,,
SYC,,,-2.3091914152990167,3.328986812497381,13.326959898694104,16.103279588284835,,1999-10-01,1999,,1.582058498410982,4.823574271,6.8,18.92080027,-10.71839934,-1.516666667,,,,,,,,
