run,iteration,obj,log_likelihood,trace_Q,abs_trace_Q,trace_R,abs_trace_R,trace_P0,abs_trace_P0,eig_min_Q,eig_max_Q,eig_min_R,eig_max_R,eig_min_P0,eig_max_P0
baseline,0,,,0.010445626935270975,0.010445626935270975,1.1754673756619665,1.1754673756619665,0.0759710060604123,0.0759710060604123,6.558513305735477e-06,0.004733607688029969,0.04762269528882231,0.6736015198916045,6.294157085031826e-06,0.05857371472643143
baseline,1,1.7957356860755507,-223.79100844679797,0.010470182851669224,0.010470182851669224,1.8511409636614657,1.8511409636614657,0.0759710060604123,0.0759710060604123,6.5604125447620566e-06,0.004719543959397707,0.12764365913285028,1.0713010517325268,6.294157085031826e-06,0.05857371472643143
baseline,2,1.804992881725754,-218.77231765581254,0.010439756435468663,0.010439756435468663,1.868811194873628,1.868811194873628,0.0759710060604123,0.0759710060604123,6.55768808016478e-06,0.004699694307172986,0.13729318836169357,1.076647891530793,6.294157085031826e-06,0.05857371472643143
baseline,3,1.786402787794036,-217.4141192293315,0.010422017801589887,0.010422017801589887,1.8506492092284228,1.8506492092284228,0.0759710060604123,0.0759710060604123,6.555110266468386e-06,0.004696351290227254,0.1374967606026679,1.0663340382957418,6.294157085031826e-06,0.05857371472643143
baseline,4,1.767479118480698,-216.15918771475245,0.01041026941830916,0.01041026941830916,1.8314484494163872,1.8314484494163872,0.0759710060604123,0.0759710060604123,6.552580994716195e-06,0.004701881903488586,0.1367979093382857,1.0560887069255631,6.294157085031826e-06,0.05857371472643143
baseline,5,1.7496129683297315,-214.96464078148466,0.010402934020611761,0.010402934020611761,1.8132566588176091,1.8132566588176091,0.0759710060604123,0.0759710060604123,6.550071770433211e-06,0.004714492040398465,0.1360761885381176,1.0465102130576363,6.294157085031826e-06,0.05857371472643143
baseline,6,1.7328653624918113,-213.82239559190208,0.010399619335482885,0.010399619335482885,1.7961954682153993,1.7961954682153993,0.0759710060604123,0.0759710060604123,6.547559420974872e-06,0.004733689957102732,0.1354213429276225,1.0376745387158914,6.294157085031826e-06,0.05857371472643143
baseline,7,1.7171833171286384,-212.72855405880367,0.010400266784478158,0.010400266784478158,1.7802150200006674,1.7802150200006674,0.0759710060604123,0.0759710060604123,6.54488970009255e-06,0.004759293313191837,0.1348334998339241,1.0295664521569212,6.294157085031826e-06,0.05857371472643143
baseline,8,1.7025104041103647,-211.6806909289402,0.010404968507802027,0.010404968507802027,1.7652574266036514,1.7652574266036514,0.0759710060604123,0.0759710060604123,6.53495996209847e-06,0.004791202376951378,0.1343038191118229,1.0221494621224056,6.294157085031826e-06,0.05857371472643143
baseline,9,1.6887586538915873,-210.6746715198394,0.010415432561963497,0.010415432561963497,1.7512342619328962,1.7512342619328962,0.0759710060604123,0.0759710060604123,6.172555354529534e-06,0.004828984417416584,0.13381859033625512,1.0153293227140154,6.294157085031826e-06,0.05857371472643143
baseline,10,1.6735400543969028,-209.6269475036132,0.010661349349401595,0.010661349349401595,1.7361304052597775,1.7361304052597775,0.0759710060604123,0.0759710060604123,1.0006536555619092e-05,0.004877355722782614,0.1331043948688386,1.0062970242935496,6.294157085031826e-06,0.05857371472643143
