run,scenario,counterfactual_drivers,quarter,variable,forecast,lower,upper
intervention,climate,HeatDry,2026-04-01,GDP_YoY,4.282579806960431,4.2223185149447335,4.3428410989761295
intervention,climate,HeatDry,2026-04-01,CPI_YoY,3.944674264631876,3.9132273760223937,3.9761211532413583
intervention,climate,HeatDry,2026-04-01,FX_YoY,3.4835838693803716,3.4110540016251303,3.5561137371356137
intervention,climate,HeatDry,2026-04-01,EX_YoY,13.586156969313443,13.098080707289729,14.07423323133716
intervention,climate,HeatDry,2026-07-01,GDP_YoY,4.587884684549486,4.5204833173893135,4.655286051709659
intervention,climate,HeatDry,2026-07-01,CPI_YoY,4.26210156040084,4.2232314046120925,4.300971716189586
intervention,climate,HeatDry,2026-07-01,FX_YoY,2.7068065802159054,2.587684236314735,2.825928924117076
intervention,climate,HeatDry,2026-07-01,EX_YoY,5.44912227708685,4.885553447200946,6.012691106972754
intervention,climate,HeatDry,2026-10-01,GDP_YoY,4.834414734601507,4.757406334586681,4.911423134616334
intervention,climate,HeatDry,2026-10-01,CPI_YoY,4.256731791595669,4.207984065341096,4.305479517850242
intervention,climate,HeatDry,2026-10-01,FX_YoY,2.5964035475458718,2.439514268378142,2.7532928267136016
intervention,climate,HeatDry,2026-10-01,EX_YoY,2.051317936503992,1.265176872088852,2.8374590009191323
intervention,climate,HeatDry,2027-01-01,GDP_YoY,2.873659089264137,2.6783570801315713,3.0689610983967026
intervention,climate,HeatDry,2027-01-01,CPI_YoY,3.481684312886281,3.4032371066489473,3.5601315191236145
intervention,climate,HeatDry,2027-01-01,FX_YoY,0.29676980240982354,0.06540526467296393,0.5281343401466829
intervention,climate,HeatDry,2027-01-01,EX_YoY,-8.66795334439822,-10.321058586357836,-7.014848102438605
intervention,climate,HeatDry,2027-04-01,GDP_YoY,1.3214145386698934,1.0427205736042557,1.6001085037355312
intervention,climate,HeatDry,2027-04-01,CPI_YoY,2.530522080050766,2.400595093904102,2.6604490661974305
intervention,climate,HeatDry,2027-04-01,FX_YoY,-1.412895687366664,-1.8059296336219226,-1.019861741111405
intervention,climate,HeatDry,2027-04-01,EX_YoY,-9.773160089639973,-11.940080458671822,-7.606239720608124
intervention,climate,HeatDry,2027-07-01,GDP_YoY,1.1284102017421094,0.8414148077376549,1.4154055957465639
intervention,climate,HeatDry,2027-07-01,CPI_YoY,2.134945233497006,1.9692881018072053,2.3006023651868066
intervention,climate,HeatDry,2027-07-01,FX_YoY,-1.1489869412392328,-1.6633657775942268,-0.6346081048842389
intervention,climate,HeatDry,2027-07-01,EX_YoY,-2.6759311019050367,-4.603666332621766,-0.7481958711883063
intervention,climate,HeatDry,2027-10-01,GDP_YoY,0.9451270284057731,0.5971514811487904,1.2931025756627563
intervention,climate,HeatDry,2027-10-01,CPI_YoY,2.0432245016014443,1.8516050216582245,2.234843981544665
intervention,climate,HeatDry,2027-10-01,FX_YoY,-1.1202962145959863,-1.7140627056971953,-0.5265297234947772
intervention,climate,HeatDry,2027-10-01,EX_YoY,0.5842558957926727,-1.4847490301792066,2.653260821764552
intervention,counterfactual_zero_climate,HeatDry,2026-04-01,GDP_YoY,3.847980037281305,3.789499464286706,3.9064606102759036
intervention,counterfactual_zero_climate,HeatDry,2026-04-01,CPI_YoY,3.863422194138381,3.8318646473211095,3.8949797409556526
intervention,counterfactual_zero_climate,HeatDry,2026-04-01,FX_YoY,3.2943952666025735,3.2198215273485404,3.3689690058566066
intervention,counterfactual_zero_climate,HeatDry,2026-04-01,EX_YoY,11.597524440141754,11.10521356573539,12.089835314548118
intervention,counterfactual_zero_climate,HeatDry,2026-07-01,GDP_YoY,4.455529726143514,4.3890352051667625,4.522024247120264
intervention,counterfactual_zero_climate,HeatDry,2026-07-01,CPI_YoY,4.228065986885588,4.190406330135944,4.265725643635233
intervention,counterfactual_zero_climate,HeatDry,2026-07-01,FX_YoY,2.795612694655498,2.682214143137005,2.9090112461739914
intervention,counterfactual_zero_climate,HeatDry,2026-07-01,EX_YoY,5.948906376047427,5.413213692848814,6.48459905924604
intervention,counterfactual_zero_climate,HeatDry,2026-10-01,GDP_YoY,4.878239978567228,4.802819885620793,4.953660071513663
intervention,counterfactual_zero_climate,HeatDry,2026-10-01,CPI_YoY,4.284992050436571,4.238365651816217,4.3316184490569265
intervention,counterfactual_zero_climate,HeatDry,2026-10-01,FX_YoY,2.682767260644239,2.529457358414218,2.8360771628742603
intervention,counterfactual_zero_climate,HeatDry,2026-10-01,EX_YoY,2.9558594422221036,2.1988841666535826,3.712834717790624
intervention,counterfactual_zero_climate,HeatDry,2027-01-01,GDP_YoY,4.823674076345891,4.739274439415657,4.908073713276126
intervention,counterfactual_zero_climate,HeatDry,2027-01-01,CPI_YoY,3.877039097198793,3.835462610520284,3.918615583877302
intervention,counterfactual_zero_climate,HeatDry,2027-01-01,FX_YoY,1.1133130960284277,0.9379847670414893,1.288641425015366
intervention,counterfactual_zero_climate,HeatDry,2027-01-01,EX_YoY,0.30742262459558134,-0.18630754052012755,0.8011527897112907
intervention,counterfactual_zero_climate,HeatDry,2027-04-01,GDP_YoY,4.409500759642172,4.299132134092571,4.5198693851917735
intervention,counterfactual_zero_climate,HeatDry,2027-04-01,CPI_YoY,3.1683464290116956,3.112708186863204,3.2239846711601876
intervention,counterfactual_zero_climate,HeatDry,2027-04-01,FX_YoY,-0.7682671284901426,-0.9697879459297385,-0.5667463110505471
intervention,counterfactual_zero_climate,HeatDry,2027-04-01,EX_YoY,-0.6677174970124389,-1.471772389154114,0.13633739512923615
intervention,counterfactual_zero_climate,HeatDry,2027-07-01,GDP_YoY,4.083722573320725,3.9708988681409116,4.196546278500538
intervention,counterfactual_zero_climate,HeatDry,2027-07-01,CPI_YoY,2.6588725671630034,2.5814403475040457,2.736304786821961
