lat,lon,value
-56.0,-68.0,-14.52685832977295
-56.0,-67.0,-11.807308197021484
-55.0,-72.0,-25.409835815429688
-55.0,-71.0,-26.11402130126953
-55.0,-70.0,-21.781524658203125
-55.0,-69.0,-12.244219779968262
-55.0,-68.0,-5.990239143371582
-55.0,-67.0,-5.439859867095947
-54.0,-74.0,-31.759363174438477
-54.0,-73.0,-31.92750358581543
-54.0,-72.0,-30.07840347290039
-54.0,-71.0,-24.28995132446289
-54.0,-70.0,-18.05081558227539
-54.0,-69.0,-11.352067947387695
-53.0,-74.0,-40.020015716552734
-53.0,-73.0,-37.79681396484375
-53.0,-72.0,-24.58384895324707
-53.0,-71.0,-10.979132652282715
-53.0,-70.0,-5.033984184265137
-53.0,-69.0,-3.157315254211426
-52.0,-75.0,-43.05984115600586
-52.0,-74.0,-46.56814193725586
-52.0,-73.0,-33.19868087768555
-52.0,-72.0,-15.918794631958008
-52.0,-71.0,-4.286145210266113
-52.0,-70.0,0.41197553277015686
-52.0,-69.0,0.8648874759674072
-52.0,-68.0,-0.0921492651104927
-51.0,-75.0,-54.26854705810547
-51.0,-74.0,-57.93344497680664
-51.0,-73.0,-31.991788864135742
-51.0,-72.0,-9.465514183044434
-50.0,-75.0,-67.3288345336914
-50.0,-74.0,-78.86392974853516
-50.0,-73.0,-35.79922866821289
-49.0,-76.0,-50.31544876098633
-49.0,-75.0,-72.20184326171875
-49.0,-74.0,-81.38050842285156
-49.0,-73.0,-48.19200134277344
-48.0,-76.0,-44.46733093261719
-48.0,-75.0,-68.76201629638672
-48.0,-74.0,-76.3218994140625
-48.0,-73.0,-43.20028305053711
-48.0,-72.0,-12.761592864990234
-47.0,-76.0,-32.785491943359375
-47.0,-75.0,-49.31695556640625
-47.0,-74.0,-61.499755859375
-47.0,-73.0,-39.70846939086914
-47.0,-72.0,-8.931517601013184
-46.0,-75.0,-38.91189956665039
-46.0,-74.0,-47.52769088745117
-46.0,-73.0,-37.8105583190918
-46.0,-72.0,-10.139082908630371
-45.0,-75.0,-24.604835510253906
-45.0,-74.0,-40.65254211425781
-45.0,-73.0,-43.663665771484375
-45.0,-72.0,-15.6968412399292
-45.0,-71.0,6.8103203773498535
-44.0,-75.0,-17.498130798339844
-44.0,-74.0,-31.63944435119629
-44.0,-73.0,-37.30186462402344
-44.0,-72.0,-19.345979690551758
-44.0,-71.0,3.824037790298462
-43.0,-74.0,-21.824304580688477
-43.0,-73.0,-23.420230865478516
-43.0,-72.0,-15.771028518676758
-42.0,-74.0,-15.394460678100586
-42.0,-73.0,-15.065197944641113
-42.0,-72.0,-10.167880058288574
-41.0,-74.0,-11.346792221069336
-41.0,-73.0,-11.20324420928955
-41.0,-72.0,-7.937172889709473
-40.0,-74.0,-7.377556324005127
-40.0,-73.0,-11.331128120422363
-40.0,-72.0,-6.87717342376709
-39.0,-74.0,-6.289985179901123
-39.0,-73.0,-8.905709266662598
-39.0,-72.0,-5.470161437988281
-39.0,-71.0,4.106847286224365
-38.0,-74.0,-4.843448162078857
-38.0,-73.0,-6.441717147827148
-38.0,-72.0,-4.131862640380859
-38.0,-71.0,2.948639154434204
-37.0,-74.0,-2.5195353031158447
-37.0,-73.0,-3.878725290298462
-37.0,-72.0,-2.5992190837860107
-37.0,-71.0,0.3425033390522003
-36.0,-73.0,-1.947664737701416
-36.0,-72.0,-1.406777262687683
-36.0,-71.0,1.3850065469741821
-36.0,-70.0,3.964492082595825
-35.0,-73.0,-1.006145715713501
-35.0,-72.0,-0.6735748648643494
-35.0,-71.0,-0.8263598680496216
-35.0,-70.0,-3.8620071411132812
-35.0,19.0,-0.4276024103164673
-35.0,20.0,-2.165773630142212
-34.0,-79.0,0.8010222911834717
-34.0,-72.0,-0.5443556904792786
-34.0,-71.0,-0.545473575592041
-34.0,-70.0,-4.817534923553467
-34.0,-54.0,27.781566619873047
-34.0,-53.0,21.25224494934082
-34.0,18.0,0.7895882725715637
-34.0,19.0,-0.8943077921867371
-34.0,20.0,-6.410494804382324
-34.0,21.0,-9.692914009094238
-34.0,22.0,-10.4478759765625
-34.0,23.0,-9.924005508422852
-34.0,24.0,-9.200783729553223
-34.0,25.0,-9.216232299804688
-34.0,26.0,-10.492326736450195
-34.0,27.0,-10.229923248291016
-33.0,-72.0,-0.8210045695304871
-33.0,-71.0,-1.8713364601135254
-33.0,-70.0,-8.424161911010742
-33.0,-53.0,31.11847496032715
-33.0,-52.0,25.838211059570312
-33.0,18.0,0.2571268677711487
-33.0,19.0,-1.6199455261230469
-33.0,20.0,-6.821107387542725
-33.0,21.0,-13.043488502502441
-33.0,22.0,-17.170185089111328
-33.0,23.0,-20.28496551513672
-33.0,24.0,-22.832157135009766
-33.0,25.0,-24.92462921142578
-33.0,26.0,-25.243497848510742
-33.0,27.0,-22.262771606445312
-33.0,28.0,-17.862417221069336
-33.0,29.0,-14.273946762084961
-32.0,-72.0,-0.8745992183685303
-32.0,-71.0,-5.422672748565674
-32.0,-70.0,-17.876089096069336
-32.0,-55.0,34.661556243896484
-32.0,-54.0,34.13333511352539
-32.0,-53.0,36.443050384521484
-32.0,-52.0,33.88429260253906
-32.0,-51.0,27.921049118041992
-32.0,18.0,-0.8626702427864075
-32.0,19.0,-3.268977642059326
-32.0,20.0,-8.905254364013672
-32.0,21.0,-15.744335174560547
-32.0,22.0,-21.740415573120117
-32.0,23.0,-25.970458984375
-32.0,24.0,-30.428991317749023
-32.0,25.0,-32.962921142578125
-32.0,26.0,-34.360538482666016
-32.0,27.0,-32.48653030395508
-32.0,28.0,-24.83266830444336
-32.0,29.0,-7.131296634674072
-32.0,30.0,-4.410101413726807
-31.0,-72.0,-1.2647160291671753
-31.0,-71.0,-5.63092565536499
-31.0,-70.0,-21.134859085083008
-31.0,-56.0,35.35600280761719
-31.0,-55.0,34.1414794921875
-31.0,-54.0,35.336910247802734
-31.0,-53.0,38.149017333984375
-31.0,-52.0,37.91297149658203
-31.0,-51.0,31.443464279174805
-31.0,-50.0,19.885751724243164
-31.0,17.0,-1.0042668581008911
-31.0,18.0,-2.43501877784729
-31.0,19.0,-5.8071441650390625
-31.0,20.0,-11.609623908996582
-31.0,21.0,-17.897851943969727
-31.0,22.0,-23.239654541015625
-31.0,23.0,-27.12620735168457
-31.0,24.0,-30.570924758911133
-31.0,25.0,-33.28915023803711
-31.0,26.0,-33.24456787109375
-31.0,27.0,-31.003765106201172
-31.0,28.0,-28.343990325927734
-31.0,29.0,-12.884300231933594
