lat,lon,value
-56.0,-68.0,-13.64855670928955
-56.0,-67.0,-12.163528442382812
-55.0,-72.0,-25.657270431518555
-55.0,-71.0,-23.955623626708984
-55.0,-70.0,-23.803869247436523
-55.0,-69.0,-14.544513702392578
-55.0,-68.0,-7.096370220184326
-55.0,-67.0,-5.650452613830566
-54.0,-74.0,-31.975969314575195
-54.0,-73.0,-31.421772003173828
-54.0,-72.0,-28.27952003479004
-54.0,-71.0,-20.74818992614746
-54.0,-70.0,-16.06262969970703
-54.0,-69.0,-12.258378982543945
-53.0,-74.0,-39.7598991394043
-53.0,-73.0,-36.94053649902344
-53.0,-72.0,-21.53794288635254
-53.0,-71.0,-10.073158264160156
-53.0,-70.0,-7.529469013214111
-53.0,-69.0,-6.364583969116211
-52.0,-75.0,-39.24509811401367
-52.0,-74.0,-44.29281997680664
-52.0,-73.0,-29.997554779052734
-52.0,-72.0,-12.817066192626953
-52.0,-71.0,-5.717984676361084
-52.0,-70.0,-3.1770215034484863
-52.0,-69.0,-2.350130081176758
-52.0,-68.0,-2.2035133838653564
-51.0,-75.0,-48.312705993652344
-51.0,-74.0,-58.39508819580078
-51.0,-73.0,-30.437591552734375
-51.0,-72.0,-7.041948318481445
-50.0,-75.0,-57.78853225708008
-50.0,-74.0,-78.63056945800781
-50.0,-73.0,-31.422719955444336
-49.0,-76.0,-43.75305938720703
-49.0,-75.0,-60.507781982421875
-49.0,-74.0,-76.2684097290039
-49.0,-73.0,-44.00474548339844
-48.0,-76.0,-38.09580993652344
-48.0,-75.0,-55.53348159790039
-48.0,-74.0,-69.23561096191406
-48.0,-73.0,-47.488616943359375
-48.0,-72.0,-14.733681678771973
-47.0,-76.0,-31.453258514404297
-47.0,-75.0,-47.74402618408203
-47.0,-74.0,-67.92027282714844
-47.0,-73.0,-40.143123626708984
-47.0,-72.0,-10.93405532836914
-46.0,-75.0,-37.67864990234375
-46.0,-74.0,-43.95642852783203
-46.0,-73.0,-40.17843246459961
-46.0,-72.0,-12.63478946685791
-45.0,-75.0,-23.651805877685547
-45.0,-74.0,-36.23940658569336
-45.0,-73.0,-39.38300323486328
-45.0,-72.0,-18.572032928466797
-45.0,-71.0,1.2846744060516357
-44.0,-75.0,-13.339552879333496
-44.0,-74.0,-27.52253532409668
-44.0,-73.0,-33.223934173583984
-44.0,-72.0,-19.300254821777344
-44.0,-71.0,0.47019273042678833
-43.0,-74.0,-16.81343650817871
-43.0,-73.0,-18.500141143798828
-43.0,-72.0,-14.262492179870605
-42.0,-74.0,-8.787967681884766
-42.0,-73.0,-8.477242469787598
-42.0,-72.0,-4.770287036895752
-41.0,-74.0,-4.543888568878174
-41.0,-73.0,0.6684477925300598
-41.0,-72.0,1.9730641841888428
-40.0,-74.0,5.658551216125488
-40.0,-73.0,5.2639079093933105
-40.0,-72.0,10.589651107788086
-39.0,-74.0,9.16169261932373
-39.0,-73.0,10.535501480102539
-39.0,-72.0,18.086505889892578
-39.0,-71.0,12.257684707641602
-38.0,-74.0,10.358474731445312
-38.0,-73.0,12.864030838012695
-38.0,-72.0,23.486263275146484
-38.0,-71.0,14.324427604675293
-37.0,-74.0,8.667482376098633
-37.0,-73.0,13.675091743469238
-37.0,-72.0,16.663198471069336
-37.0,-71.0,15.721787452697754
-36.0,-73.0,9.204739570617676
-36.0,-72.0,13.632645606994629
-36.0,-71.0,21.45838165283203
-36.0,-70.0,9.705220222473145
-35.0,-73.0,6.62326192855835
-35.0,-72.0,11.267876625061035
-35.0,-71.0,18.0587100982666
-35.0,-70.0,13.222856521606445
-35.0,19.0,-1.7142363786697388
-35.0,20.0,-2.9209680557250977
-34.0,-79.0,5.31112003326416
-34.0,-72.0,8.5484037399292
-34.0,-71.0,16.129915237426758
-34.0,-70.0,27.324857711791992
-34.0,-54.0,22.533613204956055
-34.0,-53.0,21.358137130737305
-34.0,18.0,-0.522790253162384
-34.0,19.0,-1.3047106266021729
-34.0,20.0,-2.9581549167633057
-34.0,21.0,-2.820695400238037
-34.0,22.0,-3.0953047275543213
-34.0,23.0,-1.7166615724563599
-34.0,24.0,-1.116805076599121
-34.0,25.0,-1.358707070350647
-34.0,26.0,-1.7989956140518188
-34.0,27.0,-1.1314959526062012
-33.0,-72.0,7.560105800628662
-33.0,-71.0,15.484125137329102
-33.0,-70.0,20.40530014038086
-33.0,-53.0,36.812103271484375
-33.0,-52.0,33.973167419433594
-33.0,18.0,0.22235530614852905
-33.0,19.0,0.29694876074790955
-33.0,20.0,-1.177281379699707
-33.0,21.0,-1.9429281949996948
-33.0,22.0,-1.7580599784851074
