lat,lon,value
-56.0,-68.0,-10.74483871459961
-56.0,-67.0,-9.587957382202148
-55.0,-72.0,-22.310096740722656
-55.0,-71.0,-20.136669158935547
-55.0,-70.0,-18.32945442199707
-55.0,-69.0,-12.242302894592285
-55.0,-68.0,-5.665852069854736
-55.0,-67.0,-2.9609978199005127
-54.0,-74.0,-27.873220443725586
-54.0,-73.0,-27.519811630249023
-54.0,-72.0,-24.68558692932129
-54.0,-71.0,-18.9139461517334
-54.0,-70.0,-13.62456226348877
-54.0,-69.0,-8.89815902709961
-53.0,-74.0,-32.01216125488281
-53.0,-73.0,-30.372034072875977
-53.0,-72.0,-18.755109786987305
-53.0,-71.0,-9.315276145935059
-53.0,-70.0,-5.247535705566406
-53.0,-69.0,-2.372769594192505
-52.0,-75.0,-33.5032958984375
-52.0,-74.0,-35.07303237915039
-52.0,-73.0,-23.068195343017578
-52.0,-72.0,-9.284524917602539
-52.0,-71.0,-2.4554176330566406
-52.0,-70.0,-0.2916529178619385
-52.0,-69.0,0.5194653868675232
-52.0,-68.0,0.09224232286214828
-51.0,-75.0,-39.958091735839844
-51.0,-74.0,-45.822566986083984
-51.0,-73.0,-23.583768844604492
-51.0,-72.0,-5.915006160736084
-50.0,-75.0,-47.95774459838867
-50.0,-74.0,-57.79779815673828
-50.0,-73.0,-22.98089027404785
-49.0,-76.0,-35.013031005859375
-49.0,-75.0,-50.654335021972656
-49.0,-74.0,-56.059837341308594
-49.0,-73.0,-30.1223087310791
-48.0,-76.0,-29.40534782409668
-48.0,-75.0,-41.14524459838867
-48.0,-74.0,-49.05847930908203
-48.0,-73.0,-30.207334518432617
-48.0,-72.0,-9.381216049194336
-47.0,-76.0,-22.12454605102539
-47.0,-75.0,-30.90361213684082
-47.0,-74.0,-44.86494445800781
-47.0,-73.0,-23.045658111572266
-47.0,-72.0,-6.556812286376953
-46.0,-75.0,-19.436922073364258
-46.0,-74.0,-25.0035457611084
-46.0,-73.0,-26.177501678466797
