lat,lon,value
-56.0,-68.0,-5.191436290740967
-56.0,-67.0,-6.361541271209717
-55.0,-72.0,-2.350862979888916
-55.0,-71.0,-4.596806526184082
-55.0,-70.0,-7.575648307800293
-55.0,-69.0,-4.951956272125244
-55.0,-68.0,-3.6302499771118164
-55.0,-67.0,-3.759032726287842
-54.0,-74.0,-2.1385257244110107
-54.0,-73.0,-4.0525712966918945
-54.0,-72.0,-6.272366523742676
-54.0,-71.0,-4.576076507568359
-54.0,-70.0,-2.2101030349731445
-54.0,-69.0,0.17777606844902039
-53.0,-74.0,-2.3885538578033447
-53.0,-73.0,-4.951202869415283
-53.0,-72.0,-1.6709818840026855
-53.0,-71.0,0.9840021729469299
-53.0,-70.0,2.7940170764923096
-53.0,-69.0,2.9792356491088867
-52.0,-75.0,-0.7439700365066528
-52.0,-74.0,-4.90089750289917
-52.0,-73.0,-3.161407709121704
-52.0,-72.0,0.45808905363082886
-52.0,-71.0,3.3757715225219727
-52.0,-70.0,4.66684627532959
-52.0,-69.0,3.0244648456573486
-52.0,-68.0,0.9045512676239014
-51.0,-75.0,-3.98474383354187
-51.0,-74.0,-10.79914665222168
-51.0,-73.0,-7.064932346343994
-51.0,-72.0,-0.07474187761545181
-50.0,-75.0,-4.257193088531494
-50.0,-74.0,-15.49708366394043
-50.0,-73.0,-3.5906219482421875
-49.0,-76.0,-4.299434185028076
-49.0,-75.0,-4.421240329742432
-49.0,-74.0,-10.236474990844727
-49.0,-73.0,-1.9997538328170776
-48.0,-76.0,-4.196657180786133
-48.0,-75.0,1.487955093383789
-48.0,-74.0,-5.047976493835449
-48.0,-73.0,-7.049581527709961
-48.0,-72.0,4.450926780700684
-47.0,-76.0,-0.7471544742584229
-47.0,-75.0,-0.4765341579914093
-47.0,-74.0,-14.138315200805664
-47.0,-73.0,0.3445192873477936
-47.0,-72.0,9.35317611694336
-46.0,-75.0,4.098633289337158
-46.0,-74.0,5.888580799102783
-46.0,-73.0,-2.8436439037323
-46.0,-72.0,8.004798889160156
-45.0,-75.0,5.749776363372803
-45.0,-74.0,6.589299201965332
-45.0,-73.0,-3.392768144607544
-45.0,-72.0,2.569627523422241
-45.0,-71.0,5.448558330535889
-44.0,-75.0,6.3000569343566895
-44.0,-74.0,6.798579216003418
-44.0,-73.0,-4.856413841247559
-44.0,-72.0,-1.1737139225006104
-44.0,-71.0,7.487440586090088
-43.0,-74.0,5.720033168792725
-43.0,-73.0,2.017800807952881
-43.0,-72.0,-3.3403351306915283
-42.0,-74.0,12.668445587158203
-42.0,-73.0,7.034198760986328
-42.0,-72.0,-4.939029216766357
-41.0,-74.0,14.809453010559082
-41.0,-73.0,14.926246643066406
-41.0,-72.0,-3.759996175765991
-40.0,-74.0,22.632923126220703
-40.0,-73.0,16.819181442260742
-40.0,-72.0,4.087905406951904
-39.0,-74.0,24.020185470581055
-39.0,-73.0,23.787195205688477
-39.0,-72.0,15.39765453338623
-39.0,-71.0,13.728963851928711
-38.0,-74.0,30.742494583129883
-38.0,-73.0,29.98636245727539
-38.0,-72.0,30.91623878479004
-38.0,-71.0,14.648283958435059
-37.0,-74.0,33.399452209472656
-37.0,-73.0,37.3704833984375
-37.0,-72.0,41.102210998535156
-37.0,-71.0,31.96874237060547
-36.0,-73.0,36.399635314941406
