country,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,CPIF_YoY,quarter,year,CPI_YoY_annual,FX_YoY_annual,US_GDP_YoY,CHN_GDP_YoY,COMMODITY_YoY,COMMODITY_AGR_YoY,ENSO,PRITHVI_HEAT_STD,PRITHVI_MOISTURE_STD,PRITHVI_MOISTURE_EXTENT,PRITHVI_HEAT_EXTENT,GDP_YoY_star,CPI_YoY_star,FX_YoY_star,EX_YoY_star
ALB,4.577988155125157,,31.01704758976458,-18.71388839928416,-24.160783239961916,-26.054553241555013,,1997-01-01,1997,,42.22837605328033,4.314068944306992,10.2,2.5045976004904213,0.0125183926242167,-0.3833333333333333,,,,,,,,
ALB,-0.7035229767890505,,50.00138864459029,-38.05397977710715,-36.22858088392955,-35.63442234643054,,1997-04-01,1997,,42.22837605328033,4.31127171595187,10.1,-4.801525394349104,-3.531976853575425,0.63,,,,,,,,
ALB,-2.0885517852196056,,45.67745274116473,-37.06041475712092,-36.26343505297353,-36.04594176991124,,1997-07-01,1997,,42.22837605328033,4.674702492340366,8.7,-5.427302029793523,-6.428428169438726,1.86,,,,,,,,
ALB,-0.8406238364212948,,42.217615237601706,-37.44330463351949,-30.075816579442005,-28.049395021341414,,1997-10-01,1997,,42.22837605328033,4.483552816031211,8.6,-11.528261229902192,-4.19077382749845,2.3533333333333335,,,,,,,,
ALB,10.757694934579142,,22.070404172099156,16.804635636284782,20.251785756862283,21.56926369369927,,1998-01-01,1998,,2.1036566562139702,4.855526883310857,7.3,-20.35027765912004,-11.25458810088914,1.9166666666666667,,,,,,,,
ALB,16.494558261402425,,-3.4993519718570565,46.29331147532474,40.08602071819916,38.14152770705055,,1998-04-01,1998,,2.1036566562139702,4.09279008633523,7.0,-18.262927895120185,-15.057418807008473,0.32,,,,,,,,
ALB,18.003148904563247,,-6.664716391712755,47.96229502204534,26.6934781601851,20.98135335862523,,1998-07-01,1998,,2.1036566562139702,4.103452727565782,7.9,-22.54974207811349,-14.498548567793057,-1.1766666666666667,,,,,,,,
ALB,18.33484937735197,,-3.4917091836734637,79.37297017925174,27.322236659211185,14.87489646037423,,1998-10-01,1998,,2.1036566562139702,4.883126568525764,9.2,-24.646370023419205,-10.939291289007958,-1.5366666666666664,,,,,,,,
ALB,18.26483635779992,,-9.6979536036229,50.049989728063714,-9.352685320858733,-31.166190107277323,,1999-01-01,1999,,-8.519657674558312,4.816336792733988,9.0,-16.143326698122916,-12.287627887845598,-1.32,,,,,,,,
ALB,15.960554228359868,,-9.709004860578164,44.9848971020643,40.21610122179658,38.634076566515986,,1999-04-01,1999,,-8.519657674558312,4.721885912228041,7.9,-3.1192603229338256,-14.104949939683875,-1.15,,,,,,,,
ALB,15.784198393427353,,-9.60216714800637,38.61173961447306,27.003664403202144,23.190836619084987,,1999-07-01,1999,,-8.519657674558312,4.791118246732284,7.7,18.299252699131777,-10.296345734846346,-1.16,,,,,,,,
ALB,15.06154396302226,,-5.069505086025816,7.822416884381833,-2.3779785937432796,-6.186869921878346,,1999-10-01,1999,,-8.519657674558312,4.8235742707329665,6.8,34.541249578555444,-9.691189660557164,-1.5166666666666666,,,,,,,,
ALB,14.904310421934696,,-1.368689974925441,1.9758308530317237,47.68048478587341,84.26640926699254,,2000-01-01,2000,,4.477723070338604,4.224744861233032,8.8,49.19810018035218,-5.349097955152294,-1.4333333333333331,,,,,,,,
ALB,14.015473888907248,,1.6579425174187978,-10.571044362428816,2.243033112654813,6.688778945335083,,2000-04-01,2000,,4.477723070338604,5.2444568111355006,9.2,35.45952884948787,-0.8460848269213894,-0.84,,,,,,,,
ALB,13.318864708119316,,7.127643766407488,-11.1805859337489,14.982244252472832,24.65150580913207,,2000-07-01,2000,,4.477723070338604,3.973172352551902,8.9,28.325668739012233,-3.143075421755337,-0.56,,,,,,,,
ALB,13.40571969373354,,10.493995972453574,-8.971552560686124,32.164535863319045,49.818815475563014,,2000-10-01,2000,,4.477723070338604,2.9055943095086967,7.6,21.655011882152778,-4.610227599051264,-0.8033333333333333,,,,,,,,
ALB,13.255872308438631,,2.867462597792536,4.763628527282937,18.167638549932377,24.10562814215178,,2001-01-01,2001,,-0.0872819897967003,2.1975051856706784,9.5,6.119343305575531,-5.316317590035757,-0.6133333333333333,,,,,,,,
