country,quarter,year,raw_impact_score,model_surprise_score
CHL,2003-03-31,2003,0.5954632675438596,0.7104357798165137
CHL,2003-06-30,2003,0.5954632675438596,0.7104357798165137
CHL,2003-09-30,2003,0.5954632675438596,0.7104357798165137
CHL,2003-12-31,2003,0.5954632675438596,0.7104357798165137
CHL,2020-03-31,2020,0.6147203947368421,0.39134174311926606
CHL,2020-06-30,2020,0.6147203947368421,0.39134174311926606
CHL,2020-09-30,2020,0.6147203947368421,0.39134174311926606
CHL,2020-12-31,2020,0.6147203947368421,0.39134174311926606
CHL,2021-03-31,2021,0.6308251096491229,0.24770642201834864
CHL,2021-06-30,2021,0.6308251096491229,0.24770642201834864
CHL,2021-09-30,2021,0.6308251096491229,0.24770642201834864
CHL,2021-12-31,2021,0.6308251096491229,0.24770642201834864
MEX,2008-03-31,2008,0.6800301535087719,0.7491399082568807
MEX,2008-06-30,2008,0.6800301535087719,0.7491399082568807
MEX,2008-09-30,2008,0.6800301535087719,0.7491399082568807
MEX,2008-12-31,2008,0.6800301535087719,0.7491399082568807
MEX,2009-03-31,2009,0.6489857456140351,0.6040711009174311
MEX,2009-06-30,2009,0.6489857456140351,0.6040711009174311
MEX,2009-09-30,2009,0.6489857456140351,0.6040711009174311
MEX,2009-12-31,2009,0.6489857456140351,0.6040711009174311
MEX,2020-03-31,2020,0.6834566885964912,0.8130733944954128
MEX,2020-06-30,2020,0.6834566885964912,0.8130733944954128
MEX,2020-09-30,2020,0.6834566885964912,0.8130733944954128
MEX,2020-12-31,2020,0.6834566885964912,0.8130733944954128
BRA,2001-03-31,2001,0.5801809210526316,0.7614678899082569
BRA,2001-06-30,2001,0.5801809210526316,0.7614678899082569
BRA,2001-09-30,2001,0.5801809210526316,0.7614678899082569
BRA,2001-12-31,2001,0.5801809210526316,0.7614678899082569
BRA,2002-03-31,2002,0.6635142543859649,0.4931192660550459
BRA,2002-06-30,2002,0.6635142543859649,0.4931192660550459
BRA,2002-09-30,2002,0.6635142543859649,0.4931192660550459
BRA,2002-12-31,2002,0.6635142543859649,0.4931192660550459
BRA,2021-03-31,2021,0.6169819078947368,0.5819954128440367
BRA,2021-06-30,2021,0.6169819078947368,0.5819954128440367
BRA,2021-09-30,2021,0.6169819078947368,0.5819954128440367
BRA,2021-12-31,2021,0.6169819078947368,0.5819954128440367
COL,2008-03-31,2008,0.6030543606612686,0.4824486301369863
COL,2008-06-30,2008,0.6030543606612686,0.4824486301369863
COL,2008-09-30,2008,0.6030543606612686,0.4824486301369863
COL,2008-12-31,2008,0.6030543606612686,0.4824486301369863
COL,2014-03-31,2014,0.567950826585695,0.610445205479452
COL,2014-06-30,2014,0.567950826585695,0.610445205479452
COL,2014-09-30,2014,0.567950826585695,0.610445205479452
COL,2014-12-31,2014,0.567950826585695,0.610445205479452
COL,2020-03-31,2020,0.7022393724696356,0.6866438356164384
COL,2020-06-30,2020,0.7022393724696356,0.6866438356164384
COL,2020-09-30,2020,0.7022393724696356,0.6866438356164384
COL,2020-12-31,2020,0.7022393724696356,0.6866438356164384
COL,2021-03-31,2021,0.7439482118758435,0.6040239726027397
COL,2021-06-30,2021,0.7439482118758435,0.6040239726027397
COL,2021-09-30,2021,0.7439482118758435,0.6040239726027397
COL,2021-12-31,2021,0.7439482118758435,0.6040239726027397
AUS,2008-03-31,2008,0.7687088815789473,0.6080848623853211
AUS,2008-06-30,2008,0.7687088815789473,0.6080848623853211
AUS,2008-09-30,2008,0.7687088815789473,0.6080848623853211
AUS,2008-12-31,2008,0.7687088815789473,0.6080848623853211
AUS,2009-03-31,2009,0.6223958333333333,0.6814793577981652
AUS,2009-06-30,2009,0.6223958333333333,0.6814793577981652
AUS,2009-09-30,2009,0.6223958333333333,0.6814793577981652
AUS,2009-12-31,2009,0.6223958333333333,0.6814793577981652
CAN,2008-03-31,2008,0.7609649122807017,0.684059633027523
CAN,2008-06-30,2008,0.7609649122807017,0.684059633027523
CAN,2008-09-30,2008,0.7609649122807017,0.684059633027523
CAN,2008-12-31,2008,0.7609649122807017,0.684059633027523
CAN,2009-03-31,2009,0.6417900219298246,0.6152522935779817
CAN,2009-06-30,2009,0.6417900219298246,0.6152522935779817
CAN,2009-09-30,2009,0.6417900219298246,0.6152522935779817
CAN,2009-12-31,2009,0.6417900219298246,0.6152522935779817
NOR,2008-03-31,2008,0.6924536174507063,0.875
NOR,2008-06-30,2008,0.6924536174507063,0.875
NOR,2008-09-30,2008,0.6924536174507063,0.875
NOR,2008-12-31,2008,0.6924536174507063,0.875
NOR,2009-03-31,2009,0.5935607824871914,0.798165137614679
NOR,2009-06-30,2009,0.5935607824871914,0.798165137614679
NOR,2009-09-30,2009,0.5935607824871914,0.798165137614679
NOR,2009-12-31,2009,0.5935607824871914,0.798165137614679
PHL,2013-03-31,2013,0.4996584339481982,0.7146226415094339
PHL,2013-06-30,2013,0.4996584339481982,0.7146226415094339
PHL,2013-09-30,2013,0.4996584339481982,0.7146226415094339
PHL,2013-12-31,2013,0.4996584339481982,0.7146226415094339
PHL,2020-03-31,2020,0.571251644569541,0.7494103773584906
PHL,2020-06-30,2020,0.571251644569541,0.7494103773584906
PHL,2020-09-30,2020,0.571251644569541,0.7494103773584906
PHL,2020-12-31,2020,0.571251644569541,0.7494103773584906
PHL,2021-03-31,2021,0.542193497743443,0.5919811320754718
PHL,2021-06-30,2021,0.542193497743443,0.5919811320754718
PHL,2021-09-30,2021,0.542193497743443,0.5919811320754718
PHL,2021-12-31,2021,0.542193497743443,0.5919811320754718
IND,2000-03-31,2000,0.40546523249495425,0.8833912037037037
IND,2000-06-30,2000,0.40546523249495425,0.8833912037037037
IND,2000-09-30,2000,0.40546523249495425,0.8833912037037037
IND,2000-12-31,2000,0.40546523249495425,0.8833912037037037
IND,2007-03-31,2007,0.6515626212932775,0.3833912037037037
IND,2007-06-30,2007,0.6515626212932775,0.3833912037037037
IND,2007-09-30,2007,0.6515626212932775,0.3833912037037037
IND,2007-12-31,2007,0.6515626212932775,0.3833912037037037
IND,2008-03-31,2008,0.7645867295451017,0.5379050925925926
IND,2008-06-30,2008,0.7645867295451017,0.5379050925925926
IND,2008-09-30,2008,0.7645867295451017,0.5379050925925926
IND,2008-12-31,2008,0.7645867295451017,0.5379050925925926
IND,2009-03-31,2009,0.6833851255628007,0.5798611111111112
IND,2009-06-30,2009,0.6833851255628007,0.5798611111111112
IND,2009-09-30,2009,0.6833851255628007,0.5798611111111112
IND,2009-12-31,2009,0.6833851255628007,0.5798611111111112
THA,2021-03-31,2021,0.6148527298850575,0.7069575471698113
THA,2021-06-30,2021,0.6148527298850575,0.7069575471698113
THA,2021-09-30,2021,0.6148527298850575,0.7069575471698113
THA,2021-12-31,2021,0.6148527298850575,0.7069575471698113
IDN,1998-03-31,1998,0.7861842105263158,0.8818807339449541
IDN,1998-06-30,1998,0.7861842105263158,0.8818807339449541
IDN,1998-09-30,1998,0.7861842105263158,0.8818807339449541
IDN,1998-12-31,1998,0.7861842105263158,0.8818807339449541
IDN,1999-03-31,1999,0.7347176535087719,0.8738532110091743
IDN,1999-06-30,1999,0.7347176535087719,0.8738532110091743
IDN,1999-09-30,1999,0.7347176535087719,0.8738532110091743
IDN,1999-12-31,1999,0.7347176535087719,0.8738532110091743
IDN,2000-03-31,2000,0.6714638157894737,0.7732224770642202
IDN,2000-06-30,2000,0.6714638157894737,0.7732224770642202
IDN,2000-09-30,2000,0.6714638157894737,0.7732224770642202
IDN,2000-12-31,2000,0.6714638157894737,0.7732224770642202
IDN,2010-03-31,2010,0.4854714912280702,0.8262614678899083
IDN,2010-06-30,2010,0.4854714912280702,0.8262614678899083
IDN,2010-09-30,2010,0.4854714912280702,0.8262614678899083
IDN,2010-12-31,2010,0.4854714912280702,0.8262614678899083
SWE,2008-03-31,2008,0.716282894736842,0.4610091743119266
SWE,2008-06-30,2008,0.716282894736842,0.4610091743119266
SWE,2008-09-30,2008,0.716282894736842,0.4610091743119266
SWE,2008-12-31,2008,0.716282894736842,0.4610091743119266
SWE,2009-03-31,2009,0.6598135964912282,0.4065366972477064
SWE,2009-06-30,2009,0.6598135964912282,0.4065366972477064
SWE,2009-09-30,2009,0.6598135964912282,0.4065366972477064
SWE,2009-12-31,2009,0.6598135964912282,0.4065366972477064
NZL,2008-03-31,2008,0.6557017543859649,0.8162270642201835
NZL,2008-06-30,2008,0.6557017543859649,0.8162270642201835
NZL,2008-09-30,2008,0.6557017543859649,0.8162270642201835
NZL,2008-12-31,2008,0.6557017543859649,0.8162270642201835
NZL,2009-03-31,2009,0.5513980263157895,0.8133600917431193
NZL,2009-06-30,2009,0.5513980263157895,0.8133600917431193
NZL,2009-09-30,2009,0.5513980263157895,0.8133600917431193
NZL,2009-12-31,2009,0.5513980263157895,0.8133600917431193
NZL,2020-03-31,2020,0.6464501096491228,0.9306192660550459
NZL,2020-06-30,2020,0.6464501096491228,0.9306192660550459
NZL,2020-09-30,2020,0.6464501096491228,0.9306192660550459
