quarter,GDP_YoY,CPI_YoY,CPIF_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,21.16856532573869,28.01180021953894,,,,,PRT
1980-04-01,,16.35862989695023,15.83208579022951,,,,,PRT
1980-07-01,,14.90458168934697,12.09016986428223,,,,,PRT
1980-10-01,,11.78669514800122,9.494605971064559,,,,,PRT
1981-01-01,,14.59473355613501,10.69189131250335,12.574438529440378,-8.886455909858126,7.442073215717326,26.539824142052225,PRT
1981-04-01,,16.88060236643958,16.16595890591617,22.382985034632075,-12.820027746247952,14.824561403508785,43.65259420003946,PRT
1981-07-01,,20.64120532585845,22.79333935717051,32.40948012727329,-9.612054532408521,-1.58634111978615,5.588054187192104,PRT
1981-10-01,,23.66750836006282,27.73746785814305,24.30549318159865,-10.730712771162953,-2.0965450324011647,5.6261078246153895,PRT
1982-01-01,,24.07460821074897,30.82453761983157,22.91832927047277,-0.3304461022380134,12.78519373031568,23.830565932722237,PRT
1982-04-01,,24.47696177679615,29.45824440306974,21.84647884999422,-10.253164556962025,-14.587786741051712,-17.330998729700966,PRT
1982-07-01,,20.38860329354361,21.36279539147254,30.749351380167656,5.326107665276569,2.431403138478472,0.2162608737911409,PRT
1982-10-01,,18.32680315655868,19.10551281540238,39.65574193753063,7.471085856278914,-8.881967058379336,-21.243594878665238,PRT
1983-01-01,,19.90701278574196,20.14766566125717,34.98086422880908,7.068870246646908,-24.445869541393883,-45.80773893027881,PRT
1983-04-01,,19.98422751805209,20.5521257190964,37.01621783063334,21.402377594197052,0.38279435778347803,-14.058584935697771,PRT
1983-07-01,,25.02955296615278,27.85448245993933,42.49009779522592,10.219073459953766,-18.856472211396746,-42.24070347291258,PRT
1983-10-01,,30.51021359947763,36.28681392235607,41.7380249735474,1.0387623257395173,-16.06066884204348,-33.69927396443478,PRT
1984-01-01,,30.07410279608808,36.9680728180012,44.557359386952335,24.031866079890385,10.882738466166696,-6.726818050441707,PRT
1984-04-01,,30.63919812677153,35.15145342916172,36.59517124865972,7.932516762929054,-15.604883372093504,-38.44865217496356,PRT
1984-07-01,,29.73989889244783,33.98596282044334,24.34052462834042,12.46546740944028,3.3255310692046125,-10.701742111523128,PRT
