quarter,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,39.01190853047164,,,,,CHL
1980-04-01,,38.67628269641717,,,,,CHL
1980-07-01,,32.91011787385195,,,,,CHL
1980-10-01,,31.28572472598612,,,,,CHL
1981-01-01,,28.36715268814415,0.0,-12.810014959451998,33.81439838899145,-722.4776500638569,CHL
1981-04-01,,22.80028651822359,0.0,-24.718649517684888,45.89324700745314,1087.900355871886,CHL
1981-07-01,,18.04452652007129,0.0,-14.482508609751676,2.7027027027026973,46.213859568609465,CHL
1981-10-01,,11.44068414209624,0.0,-23.738749896788036,-35.19191460367931,-60.40719869114706,CHL
1982-01-01,,7.610902791067535,0.0,-11.296731081813272,-42.61976423375972,-113.78744357816987,CHL
1982-04-01,,4.485828238183794,3.4358974358974503,0.9610250934329878,-43.232364931111,-84.56161374076294,CHL
1982-07-01,,8.274292400664878,41.05128205128206,-3.242899533700727,-50.575657894736835,-120.66854990583803,CHL
1982-10-01,,19.0104267114634,77.64957264957263,8.213512343005625,-35.20238303837393,-219.31129476584022,CHL
1983-01-01,,23.34458706970195,92.22222222222223,-7.686042960399064,-26.488908316031036,248.3630952380952,CHL
1983-04-01,,30.75961256038675,86.59725665179306,12.205182443151784,-34.61503499681847,-320.95730918499356,CHL
1983-07-01,,30.94072609202013,44.84639156516999,5.607886089813796,-8.37066427748624,88.53454821564164,CHL
1983-10-01,,24.31271630752871,23.02140967043542,-8.48458167410402,12.168739859383448,-67.26698991764796,CHL
1984-01-01,,21.08371169978358,17.447754557581142,4.642699602999567,12.814033001337876,-18.838103374626225,CHL
1984-04-01,,19.47670629152821,19.506686741652658,2.1585446319162926,28.49993048797441,-53.30796252927401,CHL
1984-07-01,,16.31180723453225,19.44444444444442,-13.949388093756475,33.94328816873866,-152.03383004430125,CHL
1984-10-01,,22.51914382849396,41.65037152913567,-12.710734043251048,2.86885245901638,-164.66023983070772,CHL
1985-01-01,,28.772342836528,53.899447262815144,-0.36884813995152754,-0.3162471998945815,-0.5789473684210455,CHL
1985-04-01,,32.69085034803355,68.95912846926299,-4.825613581841659,-4.965920155793569,-4.0125391849529795,CHL
1985-07-01,,35.47832098062806,84.04665172317173,6.436061226949508,-24.92439253311086,-226.3157894736842,CHL
1985-10-01,,26.31033928341976,49.7377139425732,22.119238476953917,-12.749003984063744,-518.909090909091,CHL
1986-01-01,,24.3924783936581,37.944946003296366,2.4857203300190367,-9.940515532055528,52.249867654843854,CHL
1986-04-01,,19.8457351404818,24.111235410224353,11.255453223460975,-15.01593806921676,161.98563030698892,CHL
1986-07-01,,17.12992182340206,10.97071304877355,20.473332578416947,26.54535352132241,-6.31127450980391,CHL
1986-10-01,,17.23531505805037,11.616115075433942,7.969230769230773,15.37738383024443,-15.972222222222232,CHL
1987-01-01,,17.25890800006502,10.273557315465709,15.687893487460025,37.79539116395127,-36.68289290681502,CHL
