quarter,EX_YoY,country
1980-01-01,,World
1980-04-01,,World
1980-07-01,,World
1980-10-01,,World
1981-01-01,19.49246934538067,World
1981-04-01,19.451251742078068,World
1981-07-01,14.782926152153841,World
1981-10-01,15.968798647625949,World
1982-01-01,-4.191897274582201,World
1982-04-01,-6.466322396431434,World
1982-07-01,-7.2968933452113856,World
1982-10-01,-10.5377438228608,World
1983-01-01,-7.677645090996743,World
1983-04-01,-5.113123619252424,World
1983-07-01,-1.1623937997853773,World
1983-10-01,3.657351377331941,World
1984-01-01,9.23598821242786,World
1984-04-01,8.834799316687914,World
1984-07-01,6.860959957368529,World
1984-10-01,2.059723261422608,World
1985-01-01,-4.681108279189184,World
1985-04-01,-0.6491984933436168,World
1985-07-01,3.3528027877657074,World
1985-10-01,10.47131759975446,World
1986-01-01,12.479307766953873,World
1986-04-01,10.107982718720798,World
1986-07-01,9.426091166215201,World
1986-10-01,4.543242694711291,World
1987-01-01,11.664212470415446,World
1987-04-01,16.14327434950722,World
1987-07-01,18.22042996963753,World
1987-10-01,25.64743101259255,World
1988-01-01,18.282231726777276,World
1988-04-01,17.84871384241662,World
1988-07-01,12.088149753195054,World
1988-10-01,9.743911708415908,World
1989-01-01,10.590780110736642,World
1989-04-01,7.2005314570927625,World
1989-07-01,9.113041030966883,World
1989-10-01,5.8588234839001885,World
1990-01-01,11.722824830151879,World
1990-04-01,9.261623002095432,World
1990-07-01,13.856483261497822,World
1990-10-01,19.77792170322448,World
1991-01-01,9.376726653645417,World
1991-04-01,4.098661512253132,World
1991-07-01,1.3742780653828612,World
1991-10-01,-2.1723851096526636,World
1992-01-01,2.1638223846866422,World
1992-04-01,8.313303340755018,World
1992-07-01,13.10134269031522,World
1992-10-01,3.87454949231798,World
1993-01-01,-0.4471206374986103,World
1993-04-01,1.7363191972918024,World
1993-07-01,-4.099264730236884,World
1993-10-01,1.2066496660765758,World
1994-01-01,5.788291644038845,World
1994-04-01,10.622578730362765,World
1994-07-01,18.104991928451277,World
1994-10-01,21.675666946781735,World
1995-01-01,26.518297271116296,World
1995-04-01,23.900440986180826,World
1995-07-01,16.324271854460925,World
1995-10-01,11.686871109645235,World
1996-01-01,6.597624669525803,World
1996-04-01,1.2944004082550364,World
1996-07-01,4.320122713177321,World
1996-10-01,5.503684304092937,World
1997-01-01,3.4524825540884096,World
1997-04-01,6.800785260551279,World
1997-07-01,5.133953750729892,World
1997-10-01,3.6244797514790594,World
1998-01-01,0.662220651933354,World
1998-04-01,-2.6356489642969327,World
1998-07-01,-3.9963007565291697,World
1998-10-01,-3.047374002622194,World
