quarter,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,,,,,,GHA
1980-04-01,,,,,,,GHA
1980-07-01,,,,,,,GHA
1980-10-01,,,,,,,GHA
1981-01-01,,,0.0,,,,GHA
1981-04-01,,,0.0,,,,GHA
1981-07-01,,,0.0,,,,GHA
1981-10-01,,,0.0,,,,GHA
1982-01-01,,,0.0,-32.933228600010935,-13.523419860797459,-305.84454825718666,GHA
1982-04-01,,,0.0,3.1009130168586196,-23.9024644863721,-115.38197013008285,GHA
1982-07-01,,,0.0,-20.91258863820916,-22.706745853921216,-35.11263413245944,GHA
1982-10-01,,,0.0,-42.92857376842182,-18.88885113867821,21.55241942161734,GHA
1983-01-01,,,0.0,-36.58419035100826,-13.87191664640255,97.5748811177515,GHA
1983-04-01,,,0.0,-4.829647567399487,-31.035291965687996,564.0114918684138,GHA
1983-07-01,,,0.0,-22.319172981539936,-27.731011914654125,-73.34094645933587,GHA
1983-10-01,,,884.3606741082472,39.927696108540985,-25.756431826307157,-77.6377373035134,GHA
1984-01-01,,,1001.9290381732712,-44.38430702996132,-39.52251802723562,-31.865337252085133,GHA
1984-04-01,,,1172.7278680890079,-50.27533865530898,-25.218334322510096,-106.76599342313311,GHA
1984-07-01,,,1228.063830716167,-11.207989944276397,-21.683324454574148,-278.93108354410447,GHA
1984-10-01,,,55.59713698030151,-55.622145803849946,-13.412409890498001,195.20523145044754,GHA
1985-01-01,,,64.99999669822505,16.757904628333463,37.057506519205944,63.154444677124964,GHA
1985-04-01,,,49.71430351977835,21.536926899468845,34.62158775686497,347.5788860658037,GHA
1985-07-01,,,51.26151646069677,-10.975948132409796,46.31943175915267,-651.8991443503371,GHA
1985-10-01,,,42.01490117548967,19.813441979050218,40.19245736296806,55.3337810052186,GHA
1986-01-01,,,73.63332527566817,154.14817394053196,-24.874639051648362,-189.57623049596646,GHA
1986-04-01,,,71.75571294720844,55.255652632914696,-4.005377978954816,-388.8899236920865,GHA
1986-07-01,,,62.915588053167305,85.54391038854897,0.16924401583631177,-167.65258560682534,GHA
1986-10-01,,,50.45972610631082,104.54428842094221,17.755739675409,-31.981617229615445,GHA
1987-01-01,,,49.74083781731451,-1.2159998212377454,78.61808410788372,-129.7695652798328,GHA
1987-04-01,,,66.66666666666667,20.280869776055543,60.639722552989525,-80.22917403066053,GHA
1987-07-01,,,78.34074342860566,5.287401258416069,44.327926251815875,-166.1455562009257,GHA
1987-10-01,,,93.80741489785453,9.777344447275604,8.425564794251382,6.095933257561814,GHA
1988-01-01,,,38.47948716429164,-15.097034828386501,-7.136000952731836,61.81922999043057,GHA
1988-04-01,,,23.848896089797613,-15.782433106465776,-13.666622973677722,-58.595414720987485,GHA
1988-07-01,,,33.15957942248857,-20.185687295276068,-16.27145109400312,17.318123273182984,GHA
1988-10-01,,,31.778398212752613,18.278235975250002,-12.580113421059124,-67.6061214484335,GHA
1989-01-01,,,36.28788525095379,34.41104527461383,5.302110446796382,-126.98477354847866,GHA
1989-04-01,,,43.37184754353154,20.926423621303325,48.7271619796662,-1152.0395187324568,GHA
1989-07-01,,,28.941499404372607,33.74293513568121,37.14119403270437,56.9806429826752,GHA
1989-10-01,,,27.347475280988043,-9.996157049498422,35.72581739891145,333.41440177422913,GHA
1990-01-01,,,25.297195651430116,4.882056073903218,49.15882683099531,-953.1062375373781,GHA
1990-04-01,,,20.661041721206708,14.194658957115847,20.347433165337225,50.89400171001819,GHA
1990-07-01,,,21.211718768436526,27.058903970372448,28.040202558928517,32.921093043836635,GHA
1990-10-01,,,17.003931066417334,46.77906330266517,17.879776836713113,-21.193698364491308,GHA
1991-01-01,,,14.313904324403559,-36.393771612144235,-65.00429336893156,-144.6258211791806,GHA
1991-04-01,,,13.60190294089847,-49.73739265498677,-70.08106488494718,-146.5164782488221,GHA
1991-07-01,,,11.3079156185095,-56.44953613293677,-67.36641388712424,-119.27121569014211,GHA
1991-10-01,,,11.827106558236956,-56.16366897551332,-70.64195222371801,-107.10182535758732,GHA
1992-01-01,,,11.894600096016571,110.67636796455903,303.97328255577304,-462.75780824369673,GHA
1992-04-01,,,12.219815676740065,122.61681120295958,323.0410743071902,-490.63913071230945,GHA
1992-07-01,,,19.726566699344605,78.45591367516822,290.7903246456076,-1990.6711763138326,GHA
1992-10-01,,,30.617325523148086,83.44841355511858,357.3657753761416,-3900.400856665167,GHA
1993-01-01,,,45.369005802137806,-29.164076234704094,-3.1781781817730392,56.68433365398442,GHA
1993-04-01,,,46.691509045575664,-24.0926549522143,-9.783621823830146,23.321558444665502,GHA
1993-07-01,,,51.13928221449056,11.67512394872987,12.716787467643865,13.773203925064248,GHA
1993-10-01,,,50.08329149258355,30.12282503513419,-10.387321336787569,-40.78291704590402,GHA
1994-01-01,,,58.442579989647705,28.934549887435512,-4.738329663326313,-39.807496597360434,GHA
1994-04-01,,,55.21323544199004,40.67110167579451,-4.37213706256987,-68.51673322283958,GHA
1994-07-01,,,43.46960407488418,33.96102553562468,-17.2729563895301,-68.27437653634514,GHA
