quarter,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,,,,,,MLT
1980-04-01,,,,,,,MLT
1980-07-01,,,,,,,MLT
1980-10-01,,,,,,,MLT
1981-01-01,,,6.100567018387326,-12.150457807473403,-6.125119972079219,0.638948050745447,MLT
1981-04-01,,,11.99779220869126,-2.3667735532142298,-10.017074558907224,-18.730434782608697,MLT
1981-07-01,,,18.75318960885992,-8.41780520052886,-13.360704815670166,-18.01944005981556,MLT
1981-10-01,,,11.105612801833287,-7.305289462723863,-4.177127521426716,-0.793007119041178,MLT
1982-01-01,,,8.089125929836595,2.704225352112677,-8.792638721070734,-20.058888479941118,MLT
1982-04-01,,,5.529185032368922,-10.361276196434154,-7.160928887684104,-2.7819387973464504,MLT
1982-07-01,,,3.8429752193156252,-14.802694898941294,-6.585052818639547,2.0672882042967133,MLT
1982-10-01,,,9.024256574702827,-11.565420560747663,-10.466639562723046,-9.355981469706599,MLT
1983-01-01,,,5.875613620912734,-16.79466081550557,-3.2304086415978817,13.846685082872924,MLT
1983-04-01,,,4.881445925379646,-17.220622873593292,-9.21212711080831,0.8914813999559845,MLT
1983-07-01,,,4.8324711654037955,-3.6375960234975135,-12.153878672585073,-19.63860206513106,MLT
1983-10-01,,,4.173213591770497,-6.371303729295796,-4.228052472250255,-2.114440324681832,MLT
1984-01-01,,,5.498992781484158,11.27348643006263,-13.600463352990722,-36.4877161055505,MLT
1984-04-01,,,4.994844163039169,16.397934450416262,8.115351629502566,-0.45816515763063004,MLT
1984-07-01,,,6.775633779552814,6.670574443141852,-1.221126082771895,-9.537929330368177,MLT
1984-10-01,,,9.06561088023896,-0.43412198827871284,-1.806975028974822,-3.101965601965606,MLT
1985-01-01,,,12.920856537680292,-6.418485237483951,1.365104515814508,13.912766634829676,MLT
1985-04-01,,,7.549514324247819,-13.227704843820732,-9.5884977689638,-5.183561643835621,MLT
1985-07-01,,,-2.217608482383271,12.078250357182107,19.134035686011796,27.902212510243118,MLT
1985-10-01,,,-10.054556205643495,16.339655548288647,13.74537260582649,11.23085050184891,MLT
1986-01-01,,,-17.972484733963213,22.063944286166514,16.59351890819454,9.348798211291221,MLT
1986-04-01,,,-17.45173051922252,22.141068447412348,28.789208159684133,36.15349052242256,MLT
1986-07-01,,,-16.45555820163489,32.967248480094135,10.703879773040947,-13.539775760811533,MLT
1986-10-01,,,-12.63068888376383,21.81204909584933,13.107872270175935,4.283814589665669,MLT
1987-01-01,,,-13.902584841253962,19.42427385892116,22.67828597947712,27.488817891373806,MLT
1987-04-01,,,-13.046611730089497,35.05894413121475,22.277101251809594,9.575551782682524,MLT
1987-07-01,,,-8.251738426590782,3.4365781710914423,39.30368933832018,99.3701370878103,MLT
1987-10-01,,,-12.980202299146681,29.32082147527113,29.645537948290233,30.030057382275245,MLT
1988-01-01,,,-8.963743310989692,23.34419109663408,25.207011054600482,27.786688051323182,MLT
1988-04-01,,,-6.371556988376814,12.789373814041749,26.62789887875199,43.57762627827704,MLT
1988-07-01,,,-1.9788269314157003,14.30914016825897,8.548510059995373,3.5433314749427014,MLT
1988-10-01,,,0.6906106291330483,12.19889371319811,15.976712020328732,20.425889604931346,MLT
1989-01-01,,,4.970609575096008,15.387323943661979,12.766885994360155,9.264198305616556,MLT
1989-04-01,,,9.176814630587483,18.36108955838276,-0.05622579363542268,-17.77691685051709,MLT
1989-07-01,,,2.8317044448192386,33.305278130911596,7.074613776082561,-18.08579553297961,MLT
1989-10-01,,,4.520942544741513,18.04964605477948,19.007273959149916,20.058035521972386,MLT
1990-01-01,,,-2.1112092543471794,22.049879682091643,25.32398907159643,29.94568042176109,MLT
1990-04-01,,,-7.076049951914931,34.84252352252726,28.690560030163436,20.169703047610167,MLT
1990-07-01,,,-12.116962889514982,33.70763233082958,46.08458839816289,65.40473371034588,MLT
1990-10-01,,,-13.752485913888425,43.64348236452893,30.658815809333873,16.64967039745051,MLT
1991-01-01,,,-8.472415964841362,12.213769917542038,23.937915037922753,39.48197442856616,MLT
1991-04-01,,,1.4803618225802007,12.751809526212753,9.144744844108498,3.5387158420148834,MLT
1991-07-01,,,7.799231214058544,3.9972519798772366,-5.101426612839877,-16.582516766343403,MLT
1991-10-01,,,6.954516592587656,26.179192191171396,6.148977414259749,-20.46249207715939,MLT
1992-01-01,,,4.991282684030218,49.19498570976379,12.30308157191773,-27.046706680248633,MLT
1992-04-01,,,-4.808230678283254,13.317041996696721,11.681495088141913,8.913373510220879,MLT
1992-07-01,,,-10.84598286294407,41.51381005156909,23.154198734476815,-5.728187198070167,MLT
1992-10-01,,,6.240886451693517,-12.468061711616896,-0.8712619990282167,23.57076225390655,MLT
1993-01-01,,,18.60450543597456,-23.86088104678604,-12.853114277996136,11.1584178638648,MLT
1993-04-01,,,17.85425418524451,-7.25825540484003,4.812766588683237,26.068701744476463,MLT
1993-07-01,,,29.49323650022646,-23.032241082963633,-16.399367616006376,-0.7358874304616347,MLT
1993-10-01,,,14.467766180216234,9.576436958807255,-4.292441653728063,-24.9982019006594,MLT
1994-01-01,,,3.7481619336943606,12.12283429551475,-3.8762117304728116,-27.780742957897296,MLT
1994-04-01,,,2.6556631383093388,12.522598841426923,-3.842219800035296,-25.041218725262716,MLT
1994-07-01,,,-4.702404943167748,31.407806615139865,31.716832476451827,32.282678088094066,MLT
1994-10-01,,,-6.006592910169517,5.600697936039478,26.856177177074493,73.21861186861456,MLT
1995-01-01,,,-8.194252999285146,26.52290125274337,41.86000512774686,77.43710590153322,MLT
1995-04-01,,,-9.351453701123313,20.014731472352643,31.560443730109267,54.011776303483884,MLT
1995-07-01,,,-4.64026660021074,10.20893077866456,6.603602752563176,0.045682988602702146,MLT
1995-10-01,,,-3.8903563846634848,35.8153417446017,9.933420086960542,-24.48287257667475,MLT
1996-01-01,5.341847067002026,,-0.7484335326407909,-2.304095255696803,-3.3628974981574578,-5.11422248569956,MLT
1996-04-01,5.173797006770231,,4.666432885308258,-1.953519274114468,-8.268599076102257,-17.837914372286313,MLT
1996-07-01,4.8670276164406445,,2.217950779541944,-16.256217262026496,2.6658780049818587,40.58069590710749,MLT
1996-10-01,5.470203110208027,,2.3429372922277647,-14.013608102671038,-8.869909368329598,3.4312617844504123,MLT
1997-01-01,5.888509171494261,,5.362823380236659,-5.6906814778020065,-5.759074587941438,-5.875551402178337,MLT
1997-04-01,6.059143411900392,,5.365544785494913,-7.475998875875456,-2.282457042993591,7.108853683798455,MLT
1997-07-01,6.338926468242678,,9.982988854465912,0.19754318363149892,-19.915167840526426,-43.922132269735634,MLT
1997-10-01,5.97485932593238,,7.6092100116806005,-8.357844909110067,-7.552650258438676,-5.9518036473076075,MLT
1998-01-01,6.495233810438772,,5.07021758207622,14.709858055232905,45.226342790245425,97.29948642407291,MLT
1998-04-01,6.561663798605966,,2.337210770592457,11.801609567082982,44.07131966614139,94.47783483244756,MLT
1998-07-01,6.730450903013474,,-1.6640123332886558,17.469224747405686,47.27814317919026,110.85198174848645,MLT
1998-10-01,6.455400831556468,,-2.9774377337738023,5.618886815123303,46.89133598767115,126.84785969527765,MLT
1999-01-01,3.200716824656036,,-2.1455616305043557,6.378325595417378,-29.424869211226667,-64.94510671409317,MLT
1999-04-01,5.848678542965313,,2.367400856050139,6.237214910852096,-28.098457540713007,-58.93140993523648,MLT
1999-07-01,6.095757816763614,,3.1735873450953633,1.1946998220316862,-20.71112258782277,-46.738966525683864,MLT
1999-10-01,5.816252844999936,,7.614161199518676,16.348654065924894,-15.928385579709436,-45.04187478298315,MLT
2000-01-01,8.238405619006661,,7.600421317626482,16.875980797804324,19.505897385160175,27.423624953425517,MLT
2000-04-01,8.156888007222385,,7.957838375873183,24.263061969771393,26.34817061752188,31.19173557089876,MLT
2000-07-01,5.198598472063276,,10.808567168195715,30.17295094015211,22.543153659686844,5.318923984277935,MLT
2000-10-01,10.006534826929126,,12.897507482252845,21.214234971211265,10.651541971284928,-9.518401181293324,MLT
2001-01-01,4.949388201209737,,5.871792779172869,-8.728260610190318,-13.276540983171348,-25.836294638411584,MLT
2001-04-01,1.6368036646759565,,5.318131750284771,-24.658190462602867,-29.38786082679201,-39.79431762243425,MLT
2001-07-01,6.385890131179961,,1.4905925243411833,-32.84692817183835,-32.427620162250356,-31.257651298986822,MLT
2001-10-01,1.4701775828872554,,-1.4558627776644073,-33.43707534041942,-25.86217364436014,-6.484556245367134,MLT
