quarter,GDP_YoY,CPI_YoY,FX_YoY,EX_YoY,IM_YoY,BAL_YoY,country
1980-01-01,,,,,,,ROU
1980-04-01,,,,,,,ROU
1980-07-01,,,,,,,ROU
1980-10-01,,,,,,,ROU
1981-01-01,,,-16.666666666666664,,,,ROU
1981-04-01,,,-16.666666666666664,,,,ROU
1981-07-01,,,-16.666666666666664,,,,ROU
1981-10-01,,,-16.666666666666664,,,,ROU
1982-01-01,,,0.0,-0.2988068786659026,-20.52880390303574,-128.74383977103432,ROU
1982-04-01,,,0.0,-12.123580798246236,-27.860498365613605,-146.33713033664918,ROU
1982-07-01,,,0.0,-9.693295891435106,-25.024701484430743,-425.83431171954766,ROU
1982-10-01,,,0.0,-14.927607174958057,-23.00667088357118,223.57763018101923,ROU
1983-01-01,,,9.999999999999986,-7.226600606050326,-17.00504538611178,164.42831680854258,ROU
1983-04-01,,,9.999999999999986,-5.782891186520745,-12.024237863843112,77.08742616256636,ROU
1983-07-01,,,18.448866666666653,0.8009136097895775,-5.920762979259164,42.78237483949239,ROU
1983-10-01,,,19.64446666666666,11.821845407349985,-0.5192942740796735,98.51139842965149,ROU
1984-01-01,,,30.60606060606059,2.8244040253164737,-10.122733072519818,74.15961329511269,ROU
1984-04-01,,,30.94545454545454,9.096403854175339,-7.779469854813836,120.41360398999021,ROU
1984-07-01,,,27.057188671567435,9.163525663284666,-7.683619134688047,78.49420124786666,ROU
1984-10-01,,,8.042327629582523,4.086932529506893,25.175806305809843,-70.14970487825136,ROU
1985-01-01,,,-15.517401392111363,-4.619389935724216,4.482514451037223,-30.49942543234925,ROU
1985-04-01,,,-18.476349162269734,13.849271399474517,47.34335609019753,-78.58932458774413,ROU
1985-07-01,,,-25.49614235778419,8.56449220607962,17.080609392243808,-9.561233810337955,ROU
1985-10-01,,,-17.861423414130996,0.46089773348616525,-4.3889905742957485,72.05354307937819,ROU
1986-01-01,,,-12.64786334175546,12.586104603455595,20.32416648951272,-20.49043117472361,ROU
1986-04-01,,,-0.30657431588508866,-17.431091530932207,-17.12402804250016,-23.263038900179044,ROU
1986-07-01,,,-6.726499791902018,-16.45860343313125,6.775504069310001,-80.47778562013235,ROU
1986-10-01,,,-2.9133522575654602,-12.446190278912916,-12.620979774186559,-11.012364830966504,ROU
1987-01-01,,,-6.797318549008291,-1.2055749137894867,3.243444836481668,-29.985232112068307,ROU
1987-04-01,,,-17.133656036446464,9.347714830200315,7.802622942474957,41.04074522784833,ROU
1987-07-01,,,-6.3787037845645544,17.519886115398652,5.652773410085277,196.3628041233174,ROU
1987-10-01,,,-8.377207817278641,13.607259537108284,18.45984975399464,-25.479717098283906,ROU
1988-01-01,,,-5.995413676527239,9.017323283834333,-5.455763636278177,147.07332349135655,ROU
1988-04-01,,,-3.704128763487591,13.106839389648982,-5.885778483477777,310.87552167436644,ROU
1988-07-01,,,0.4017158030911627,4.22851314538919,-10.75742950197619,84.74187348754951,ROU
